"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietny_czas_trwania_budowy_nowych_budynkow_mieszkalnych_wielorodzinnych_mc"
"27697",2411000,"Powiat raciborski",2002,NA
"27698",2412000,"Powiat rybnicki",2002,NA
"27699",2413000,"Powiat tarnogórski",2002,NA
"27700",2414000,"Powiat bieruńsko-lędziński",2002,NA
"27701",2415000,"Powiat wodzisławski",2002,NA
"27702",2416000,"Powiat zawierciański",2002,NA
"27703",2417000,"Powiat żywiecki",2002,NA
"27704",2461000,"Powiat m.Bielsko-Biała",2002,NA
"27705",2462000,"Powiat m.Bytom",2002,NA
"27706",2463000,"Powiat m.Chorzów",2002,NA
"27707",2464000,"Powiat m.Częstochowa",2002,NA
"27708",2465000,"Powiat m.Dąbrowa Górnicza",2002,NA
"27709",2466000,"Powiat m.Gliwice",2002,NA
"27710",2467000,"Powiat m.Jastrzębie-Zdrój",2002,NA
"27711",2468000,"Powiat m.Jaworzno",2002,NA
"27712",2469000,"Powiat m.Katowice",2002,NA
"27713",2470000,"Powiat m.Mysłowice",2002,NA
"27714",2471000,"Powiat m.Piekary Śląskie",2002,NA
"27715",2472000,"Powiat m.Ruda Śląska",2002,NA
"27716",2473000,"Powiat m.Rybnik",2002,NA
"27717",2474000,"Powiat m.Siemianowice Śląskie",2002,NA
"27718",2475000,"Powiat m.Sosnowiec",2002,NA
"27719",2476000,"Powiat m.Świętochłowice",2002,NA
"27720",2477000,"Powiat m.Tychy",2002,NA
"27721",2478000,"Powiat m.Zabrze",2002,NA
"27722",2479000,"Powiat m.Żory",2002,NA
"27723",2601000,"Powiat buski",2002,NA
"27724",2602000,"Powiat jędrzejowski",2002,NA
"27725",2603000,"Powiat kazimierski",2002,NA
"27726",2604000,"Powiat kielecki",2002,NA
"27727",2605000,"Powiat konecki",2002,NA
"27728",2606000,"Powiat opatowski",2002,NA
"27729",2607000,"Powiat ostrowiecki",2002,NA
"27730",2608000,"Powiat pińczowski",2002,NA
"27731",2609000,"Powiat sandomierski",2002,NA
"27732",2610000,"Powiat skarżyski",2002,NA
"27733",2611000,"Powiat starachowicki",2002,NA
"27734",2612000,"Powiat staszowski",2002,NA
"27735",2613000,"Powiat włoszczowski",2002,NA
"27736",2661000,"Powiat m.Kielce",2002,NA
"27737",2801000,"Powiat bartoszycki",2002,NA
"27738",2802000,"Powiat braniewski",2002,NA
"27739",2803000,"Powiat działdowski",2002,NA
"27740",2804000,"Powiat elbląski",2002,NA
"27741",2805000,"Powiat ełcki",2002,NA
"27742",2806000,"Powiat giżycki",2002,NA
"27743",2807000,"Powiat iławski",2002,NA
"27744",2808000,"Powiat kętrzyński",2002,NA
"27745",2809000,"Powiat lidzbarski",2002,NA
"27746",2810000,"Powiat mrągowski",2002,NA
"27747",2811000,"Powiat nidzicki",2002,NA
"27748",2812000,"Powiat nowomiejski",2002,NA
"27749",2813000,"Powiat olecki",2002,NA
"27750",2814000,"Powiat olsztyński",2002,NA
"27751",2815000,"Powiat ostródzki",2002,NA
"27752",2816000,"Powiat piski",2002,NA
"27753",2817000,"Powiat szczycieński",2002,NA
"27754",2818000,"Powiat gołdapski",2002,NA
"27755",2819000,"Powiat węgorzewski",2002,NA
"27756",2861000,"Powiat m.Elbląg",2002,NA
"27757",2862000,"Powiat m.Olsztyn",2002,NA
"27758",3001000,"Powiat chodzieski",2002,NA
"27759",3002000,"Powiat czarnkowsko-trzcianecki",2002,NA
"27760",3003000,"Powiat gnieźnieński",2002,NA
"27761",3004000,"Powiat gostyński",2002,NA
"27762",3005000,"Powiat grodziski",2002,NA
"27763",3006000,"Powiat jarociński",2002,NA
"27764",3007000,"Powiat kaliski",2002,NA
"27765",3008000,"Powiat kępiński",2002,NA
"27766",3009000,"Powiat kolski",2002,NA
"27767",3010000,"Powiat koniński",2002,NA
"27768",3011000,"Powiat kościański",2002,NA
"27769",3012000,"Powiat krotoszyński",2002,NA
"27770",3013000,"Powiat leszczyński",2002,NA
"27771",3014000,"Powiat międzychodzki",2002,NA
"27772",3015000,"Powiat nowotomyski",2002,NA
"27773",3016000,"Powiat obornicki",2002,NA
"27774",3017000,"Powiat ostrowski",2002,NA
"27775",3018000,"Powiat ostrzeszowski",2002,NA
"27776",3019000,"Powiat pilski",2002,NA
"27777",3020000,"Powiat pleszewski",2002,NA
"27778",3021000,"Powiat poznański",2002,NA
"27779",3022000,"Powiat rawicki",2002,NA
"27780",3023000,"Powiat słupecki",2002,NA
"27781",3024000,"Powiat szamotulski",2002,NA
"27782",3025000,"Powiat średzki",2002,NA
"27783",3026000,"Powiat śremski",2002,NA
"27784",3027000,"Powiat turecki",2002,NA
"27785",3028000,"Powiat wągrowiecki",2002,NA
"27786",3029000,"Powiat wolsztyński",2002,NA
"27787",3030000,"Powiat wrzesiński",2002,NA
"27788",3031000,"Powiat złotowski",2002,NA
"27789",3061000,"Powiat m.Kalisz",2002,NA
"27790",3062000,"Powiat m.Konin",2002,NA
"27791",3063000,"Powiat m.Leszno",2002,NA
"27792",3064000,"Powiat m.Poznań",2002,NA
"27793",3201000,"Powiat białogardzki",2002,NA
"27794",3202000,"Powiat choszczeński",2002,NA
"27795",3203000,"Powiat drawski",2002,NA
"27796",3204000,"Powiat goleniowski",2002,NA
"27797",3205000,"Powiat gryficki",2002,NA
"27798",3206000,"Powiat gryfiński",2002,NA
"27799",3207000,"Powiat kamieński",2002,NA
