"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_samobojstw_zakonczonych_zgonem_na_100_tys_ludnosci_ogolem_osoba"
"2559",2469000,"Powiat m.Katowice",2018,38
"2560",2470000,"Powiat m.Mysłowice",2018,16
"2561",2471000,"Powiat m.Piekary Śląskie",2018,65
"2562",2472000,"Powiat m.Ruda Śląska",2018,36
"2563",2473000,"Powiat m.Rybnik",2018,32
"2564",2474000,"Powiat m.Siemianowice Śląskie",2018,77
"2565",2475000,"Powiat m.Sosnowiec",2018,56
"2566",2476000,"Powiat m.Świętochłowice",2018,66
"2567",2477000,"Powiat m.Tychy",2018,9
"2568",2478000,"Powiat m.Zabrze",2018,14
"2569",2479000,"Powiat m.Żory",2018,64
"2570",2601000,"Powiat buski",2018,31
"2571",2602000,"Powiat jędrzejowski",2018,33
"2572",2603000,"Powiat kazimierski",2018,32
"2573",2604000,"Powiat kielecki",2018,92
"2574",2605000,"Powiat konecki",2018,30
"2575",2606000,"Powiat opatowski",2018,40
"2576",2607000,"Powiat ostrowiecki",2018,33
"2577",2608000,"Powiat pińczowski",2018,51
"2578",2609000,"Powiat sandomierski",2018,44
"2579",2610000,"Powiat skarżyski",2018,43
"2580",2611000,"Powiat starachowicki",2018,51
"2581",2612000,"Powiat staszowski",2018,44
"2582",2613000,"Powiat włoszczowski",2018,40
"2583",2661000,"Powiat m.Kielce",2018,99
"2584",2801000,"Powiat bartoszycki",2018,22
"2585",2802000,"Powiat braniewski",2018,56
"2586",2803000,"Powiat działdowski",2018,34
"2587",2804000,"Powiat elbląski",2018,261
"2588",2805000,"Powiat ełcki",2018,39
"2589",2806000,"Powiat giżycki",2018,33
"2590",2807000,"Powiat iławski",2018,56
"2591",2808000,"Powiat kętrzyński",2018,43
"2592",2809000,"Powiat lidzbarski",2018,43
"2593",2810000,"Powiat mrągowski",2018,30
"2594",2811000,"Powiat nidzicki",2018,27
"2595",2812000,"Powiat nowomiejski",2018,16
"2596",2813000,"Powiat olecki",2018,61
"2597",2814000,"Powiat olsztyński",2018,41
"2598",2815000,"Powiat ostródzki",2018,32
"2599",2816000,"Powiat piski",2018,25
"2600",2817000,"Powiat szczycieński",2018,19
"2601",2818000,"Powiat gołdapski",2018,48
"2602",2819000,"Powiat węgorzewski",2018,35
"2603",2861000,"Powiat m.Elbląg",2018,125
"2604",2862000,"Powiat m.Olsztyn",2018,30
"2605",3001000,"Powiat chodzieski",2018,40
"2606",3002000,"Powiat czarnkowsko-trzcianecki",2018,54
"2607",3003000,"Powiat gnieźnieński",2018,23
"2608",3004000,"Powiat gostyński",2018,13
"2609",3005000,"Powiat grodziski",2018,2
"2610",3006000,"Powiat jarociński",2018,8
"2611",3007000,"Powiat kaliski",2018,59
"2612",3008000,"Powiat kępiński",2018,12
"2613",3009000,"Powiat kolski",2018,6
"2614",3010000,"Powiat koniński",2018,75
"2615",3011000,"Powiat kościański",2018,14
"2616",3012000,"Powiat krotoszyński",2018,12
"2617",3013000,"Powiat leszczyński",2018,25
"2618",3014000,"Powiat międzychodzki",2018,19
"2619",3015000,"Powiat nowotomyski",2018,5
"2620",3016000,"Powiat obornicki",2018,33
"2621",3017000,"Powiat ostrowski",2018,22
"2622",3018000,"Powiat ostrzeszowski",2018,22
"2623",3019000,"Powiat pilski",2018,56
"2624",3020000,"Powiat pleszewski",2018,43
"2625",3021000,"Powiat poznański",2018,16
"2626",3022000,"Powiat rawicki",2018,12
"2627",3023000,"Powiat słupecki",2018,62
"2628",3024000,"Powiat szamotulski",2018,26
"2629",3025000,"Powiat średzki",2018,12
"2630",3026000,"Powiat śremski",2018,8
"2631",3027000,"Powiat turecki",2018,12
"2632",3028000,"Powiat wągrowiecki",2018,23
"2633",3029000,"Powiat wolsztyński",2018,7
"2634",3030000,"Powiat wrzesiński",2018,9
"2635",3031000,"Powiat złotowski",2018,56
"2636",3061000,"Powiat m.Kalisz",2018,49
"2637",3062000,"Powiat m.Konin",2018,131
"2638",3063000,"Powiat m.Leszno",2018,22
"2639",3064000,"Powiat m.Poznań",2018,11
"2640",3201000,"Powiat białogardzki",2018,8
"2641",3202000,"Powiat choszczeński",2018,27
"2642",3203000,"Powiat drawski",2018,17
"2643",3204000,"Powiat goleniowski",2018,31
"2644",3205000,"Powiat gryficki",2018,13
"2645",3206000,"Powiat gryfiński",2018,8
"2646",3207000,"Powiat kamieński",2018,23
"2647",3208000,"Powiat kołobrzeski",2018,36
