"","Kod","Nazwa","rok","Lekarze_wskazniki_lekarze_personel_pracujacy_ogolem_na_10_tys_ludnosci_osoba"
"5728",262000,"Powiat m.Legnica",2013,51.1
"5729",264000,"Powiat m.Wrocław",2013,106
"5730",265000,"Powiat m.Wałbrzych od 2013",2013,2
"5731",401000,"Powiat aleksandrowski",2013,50.8
"5732",402000,"Powiat brodnicki",2013,17.9
"5733",403000,"Powiat bydgoski",2013,19.8
"5734",404000,"Powiat chełmiński",2013,19
"5735",405000,"Powiat golubsko-dobrzyński",2013,27.5
"5736",406000,"Powiat grudziądzki",2013,13.7
"5737",407000,"Powiat inowrocławski",2013,28.8
"5738",408000,"Powiat lipnowski",2013,22.8
"5739",409000,"Powiat mogileński",2013,24
"5740",410000,"Powiat nakielski",2013,23.7
"5741",411000,"Powiat radziejowski",2013,36
"5742",412000,"Powiat rypiński",2013,21.9
"5743",413000,"Powiat sępoleński",2013,32.7
"5744",414000,"Powiat świecki",2013,29
"5745",415000,"Powiat toruński",2013,14.1
"5746",416000,"Powiat tucholski",2013,24.2
"5747",417000,"Powiat wąbrzeski",2013,32.5
"5748",418000,"Powiat włocławski",2013,11.7
"5749",419000,"Powiat żniński",2013,26.1
"5750",461000,"Powiat m.Bydgoszcz",2013,98.4
"5751",462000,"Powiat m.Grudziądz",2013,57.6
"5752",463000,"Powiat m.Toruń",2013,66.2
"5753",464000,"Powiat m.Włocławek",2013,55.2
"5754",601000,"Powiat bialski",2013,13.1
"5755",602000,"Powiat biłgorajski",2013,16
"5756",603000,"Powiat chełmski",2013,5.8
"5757",604000,"Powiat hrubieszowski",2013,21.1
"5758",605000,"Powiat janowski",2013,39.7
"5759",606000,"Powiat krasnostawski",2013,30.5
"5760",607000,"Powiat kraśnicki",2013,29.6
"5761",608000,"Powiat lubartowski",2013,31.4
"5762",609000,"Powiat lubelski",2013,17.8
"5763",610000,"Powiat łęczyński",2013,37.5
"5764",611000,"Powiat łukowski",2013,20.5
"5765",612000,"Powiat opolski",2013,28
"5766",613000,"Powiat parczewski",2013,41.1
