"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_do_40_m2_zl"
"11721",2818000,"Powiat gołdapski",2015,0
"11722",2819000,"Powiat węgorzewski",2015,0
"11723",2861000,"Powiat m.Elbląg",2015,0
"11724",2862000,"Powiat m.Olsztyn",2015,4595
"11725",3001000,"Powiat chodzieski",2015,0
"11726",3002000,"Powiat czarnkowsko-trzcianecki",2015,0
"11727",3003000,"Powiat gnieźnieński",2015,3611
"11728",3004000,"Powiat gostyński",2015,0
"11729",3005000,"Powiat grodziski",2015,0
"11730",3006000,"Powiat jarociński",2015,2862
"11731",3007000,"Powiat kaliski",2015,0
"11732",3008000,"Powiat kępiński",2015,0
"11733",3009000,"Powiat kolski",2015,0
"11734",3010000,"Powiat koniński",2015,0
"11735",3011000,"Powiat kościański",2015,3318
"11736",3012000,"Powiat krotoszyński",2015,0
"11737",3013000,"Powiat leszczyński",2015,0
"11738",3014000,"Powiat międzychodzki",2015,0
"11739",3015000,"Powiat nowotomyski",2015,0
"11740",3016000,"Powiat obornicki",2015,3779
"11741",3017000,"Powiat ostrowski",2015,2795
"11742",3018000,"Powiat ostrzeszowski",2015,0
"11743",3019000,"Powiat pilski",2015,3798
"11744",3020000,"Powiat pleszewski",2015,0
"11745",3021000,"Powiat poznański",2015,4287
"11746",3022000,"Powiat rawicki",2015,3088
"11747",3023000,"Powiat słupecki",2015,0
"11748",3024000,"Powiat szamotulski",2015,0
"11749",3025000,"Powiat średzki",2015,0
"11750",3026000,"Powiat śremski",2015,0
"11751",3027000,"Powiat turecki",2015,0
"11752",3028000,"Powiat wągrowiecki",2015,3450
"11753",3029000,"Powiat wolsztyński",2015,0
"11754",3030000,"Powiat wrzesiński",2015,3402
"11755",3031000,"Powiat złotowski",2015,3029
"11756",3061000,"Powiat m.Kalisz",2015,2698
"11757",3062000,"Powiat m.Konin",2015,3955
"11758",3063000,"Powiat m.Leszno",2015,3945
"11759",3064000,"Powiat m.Poznań",2015,5806
"11760",3201000,"Powiat białogardzki",2015,0
"11761",3202000,"Powiat choszczeński",2015,0
"11762",3203000,"Powiat drawski",2015,0
"11763",3204000,"Powiat goleniowski",2015,0
"11764",3205000,"Powiat gryficki",2015,0
"11765",3206000,"Powiat gryfiński",2015,0
"11766",3207000,"Powiat kamieński",2015,4495
"11767",3208000,"Powiat kołobrzeski",2015,5307
"11768",3209000,"Powiat koszaliński",2015,7990
"11769",3210000,"Powiat myśliborski",2015,3043
"11770",3211000,"Powiat policki",2015,4852
"11771",3212000,"Powiat pyrzycki",2015,0
"11772",3213000,"Powiat sławieński",2015,4498
"11773",3214000,"Powiat stargardzki",2015,3221
"11774",3215000,"Powiat szczecinecki",2015,0
"11775",3216000,"Powiat świdwiński",2015,0
"11776",3217000,"Powiat wałecki",2015,0
"11777",3218000,"Powiat łobeski",2015,0
"11778",3261000,"Powiat m.Koszalin",2015,0
"11779",3262000,"Powiat m.Szczecin",2015,4675
"11780",3263000,"Powiat m.Świnoujście",2015,0
"11781",201000,"Powiat bolesławiecki",2016,0
"11782",202000,"Powiat dzierżoniowski",2016,0
"11783",203000,"Powiat głogowski",2016,3781
"11784",204000,"Powiat górowski",2016,0
"11785",205000,"Powiat jaworski",2016,0
"11786",206000,"Powiat jeleniogórski",2016,8975
"11787",207000,"Powiat kamiennogórski",2016,0
"11788",208000,"Powiat kłodzki",2016,4803
"11789",209000,"Powiat legnicki",2016,0
"11790",210000,"Powiat lubański",2016,0
"11791",211000,"Powiat lubiński",2016,4048
"11792",212000,"Powiat lwówecki",2016,0
"11793",213000,"Powiat milicki",2016,3520
"11794",214000,"Powiat oleśnicki",2016,2922
"11795",215000,"Powiat oławski",2016,3786
"11796",216000,"Powiat polkowicki",2016,2258
"11797",217000,"Powiat strzeliński",2016,4113
"11798",218000,"Powiat średzki",2016,4025
"11799",219000,"Powiat świdnicki",2016,3281
"11800",220000,"Powiat trzebnicki",2016,3759
"11801",221000,"Powiat wałbrzyski",2016,0
"11802",222000,"Powiat wołowski",2016,3716
"11803",223000,"Powiat wrocławski",2016,4644
"11804",224000,"Powiat ząbkowicki",2016,0
"11805",225000,"Powiat zgorzelecki",2016,0
"11806",226000,"Powiat złotoryjski",2016,3017
"11807",261000,"Powiat m.Jelenia Góra",2016,3651
"11808",262000,"Powiat m.Legnica",2016,3278
"11809",264000,"Powiat m.Wrocław",2016,6010
"11810",265000,"Powiat m.Wałbrzych od 2013",2016,0
"11811",401000,"Powiat aleksandrowski",2016,3410
"11812",402000,"Powiat brodnicki",2016,3105
"11813",403000,"Powiat bydgoski",2016,3661
"11814",404000,"Powiat chełmiński",2016,0
"11815",405000,"Powiat golubsko-dobrzyński",2016,0
"11816",406000,"Powiat grudziądzki",2016,0
"11817",407000,"Powiat inowrocławski",2016,3796
"11818",408000,"Powiat lipnowski",2016,0
"11819",409000,"Powiat mogileński",2016,0
"11820",410000,"Powiat nakielski",2016,0
"11821",411000,"Powiat radziejowski",2016,0
"11822",412000,"Powiat rypiński",2016,0
"11823",413000,"Powiat sępoleński",2016,0
"11824",414000,"Powiat świecki",2016,0
"11825",415000,"Powiat toruński",2016,4348
"11826",416000,"Powiat tucholski",2016,0
"11827",417000,"Powiat wąbrzeski",2016,0
"11828",418000,"Powiat włocławski",2016,0
"11829",419000,"Powiat żniński",2016,0
"11830",461000,"Powiat m.Bydgoszcz",2016,4702
"11831",462000,"Powiat m.Grudziądz",2016,3022
"11832",463000,"Powiat m.Toruń",2016,0
"11833",464000,"Powiat m.Włocławek",2016,2857
"11834",601000,"Powiat bialski",2016,0
"11835",602000,"Powiat biłgorajski",2016,0
"11836",603000,"Powiat chełmski",2016,0
"11837",604000,"Powiat hrubieszowski",2016,0
"11838",605000,"Powiat janowski",2016,0
"11839",606000,"Powiat krasnostawski",2016,0
"11840",607000,"Powiat kraśnicki",2016,0
"11841",608000,"Powiat lubartowski",2016,0
"11842",609000,"Powiat lubelski",2016,0
"11843",610000,"Powiat łęczyński",2016,4315
"11844",611000,"Powiat łukowski",2016,0
"11845",612000,"Powiat opolski",2016,0
"11846",613000,"Powiat parczewski",2016,0
