"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_wypadki_drogowe_na_100_tys_ludnosci_osoba"
"363",3204000,"Powiat goleniowski",2002,NA
"364",3205000,"Powiat gryficki",2002,NA
"365",3206000,"Powiat gryfiński",2002,NA
"366",3207000,"Powiat kamieński",2002,NA
"367",3208000,"Powiat kołobrzeski",2002,NA
"368",3209000,"Powiat koszaliński",2002,NA
"369",3210000,"Powiat myśliborski",2002,NA
"370",3211000,"Powiat policki",2002,NA
"371",3212000,"Powiat pyrzycki",2002,NA
"372",3213000,"Powiat sławieński",2002,NA
"373",3214000,"Powiat stargardzki",2002,NA
"374",3215000,"Powiat szczecinecki",2002,NA
"375",3216000,"Powiat świdwiński",2002,NA
"376",3217000,"Powiat wałecki",2002,NA
"377",3218000,"Powiat łobeski",2002,NA
"378",3261000,"Powiat m.Koszalin",2002,NA
"379",3262000,"Powiat m.Szczecin",2002,NA
"380",3263000,"Powiat m.Świnoujście",2002,NA
"381",201000,"Powiat bolesławiecki",2003,NA
"382",202000,"Powiat dzierżoniowski",2003,NA
"383",203000,"Powiat głogowski",2003,NA
"384",204000,"Powiat górowski",2003,NA
"385",205000,"Powiat jaworski",2003,NA
"386",206000,"Powiat jeleniogórski",2003,NA
"387",207000,"Powiat kamiennogórski",2003,NA
"388",208000,"Powiat kłodzki",2003,NA
"389",209000,"Powiat legnicki",2003,NA
"390",210000,"Powiat lubański",2003,NA
"391",211000,"Powiat lubiński",2003,NA
"392",212000,"Powiat lwówecki",2003,NA
"393",213000,"Powiat milicki",2003,NA
"394",214000,"Powiat oleśnicki",2003,NA
"395",215000,"Powiat oławski",2003,NA
"396",216000,"Powiat polkowicki",2003,NA
"397",217000,"Powiat strzeliński",2003,NA
"398",218000,"Powiat średzki",2003,NA
"399",219000,"Powiat świdnicki",2003,NA
"400",220000,"Powiat trzebnicki",2003,NA
"401",221000,"Powiat wałbrzyski",2003,NA
"402",222000,"Powiat wołowski",2003,NA
"403",223000,"Powiat wrocławski",2003,NA
"404",224000,"Powiat ząbkowicki",2003,NA
"405",225000,"Powiat zgorzelecki",2003,NA
"406",226000,"Powiat złotoryjski",2003,NA
"407",261000,"Powiat m.Jelenia Góra",2003,NA
"408",262000,"Powiat m.Legnica",2003,NA
"409",264000,"Powiat m.Wrocław",2003,NA
"410",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"411",401000,"Powiat aleksandrowski",2003,NA
"412",402000,"Powiat brodnicki",2003,NA
"413",403000,"Powiat bydgoski",2003,NA
"414",404000,"Powiat chełmiński",2003,NA
"415",405000,"Powiat golubsko-dobrzyński",2003,NA
"416",406000,"Powiat grudziądzki",2003,NA
"417",407000,"Powiat inowrocławski",2003,NA
"418",408000,"Powiat lipnowski",2003,NA
"419",409000,"Powiat mogileński",2003,NA
"420",410000,"Powiat nakielski",2003,NA
"421",411000,"Powiat radziejowski",2003,NA
"422",412000,"Powiat rypiński",2003,NA
"423",413000,"Powiat sępoleński",2003,NA
"424",414000,"Powiat świecki",2003,NA
"425",415000,"Powiat toruński",2003,NA
"426",416000,"Powiat tucholski",2003,NA
"427",417000,"Powiat wąbrzeski",2003,NA
"428",418000,"Powiat włocławski",2003,NA
"429",419000,"Powiat żniński",2003,NA
"430",461000,"Powiat m.Bydgoszcz",2003,NA
"431",462000,"Powiat m.Grudziądz",2003,NA
"432",463000,"Powiat m.Toruń",2003,NA
"433",464000,"Powiat m.Włocławek",2003,NA
"434",601000,"Powiat bialski",2003,NA
"435",602000,"Powiat biłgorajski",2003,NA
"436",603000,"Powiat chełmski",2003,NA
"437",604000,"Powiat hrubieszowski",2003,NA
"438",605000,"Powiat janowski",2003,NA
"439",606000,"Powiat krasnostawski",2003,NA
"440",607000,"Powiat kraśnicki",2003,NA
"441",608000,"Powiat lubartowski",2003,NA
"442",609000,"Powiat lubelski",2003,NA
"443",610000,"Powiat łęczyński",2003,NA
"444",611000,"Powiat łukowski",2003,NA
"445",612000,"Powiat opolski",2003,NA
"446",613000,"Powiat parczewski",2003,NA
"447",614000,"Powiat puławski",2003,NA
"448",615000,"Powiat radzyński",2003,NA
"449",616000,"Powiat rycki",2003,NA
"450",617000,"Powiat świdnicki",2003,NA
"451",618000,"Powiat tomaszowski",2003,NA
"452",619000,"Powiat włodawski",2003,NA
"453",620000,"Powiat zamojski",2003,NA
"454",661000,"Powiat m.Biała Podlaska",2003,NA
"455",662000,"Powiat m.Chełm",2003,NA
"456",663000,"Powiat m.Lublin",2003,NA
"457",664000,"Powiat m.Zamość",2003,NA
"458",801000,"Powiat gorzowski",2003,NA
"459",802000,"Powiat krośnieński",2003,NA
"460",803000,"Powiat międzyrzecki",2003,NA
"461",804000,"Powiat nowosolski",2003,NA
"462",805000,"Powiat słubicki",2003,NA
"463",806000,"Powiat strzelecko-drezdenecki",2003,NA
"464",807000,"Powiat sulęciński",2003,NA
"465",808000,"Powiat świebodziński",2003,NA
"466",809000,"Powiat zielonogórski",2003,NA
"467",810000,"Powiat żagański",2003,NA
"468",811000,"Powiat żarski",2003,NA
"469",812000,"Powiat wschowski",2003,NA
"470",861000,"Powiat m.Gorzów Wielkopolski",2003,NA
"471",862000,"Powiat m.Zielona Góra",2003,NA
"472",1001000,"Powiat bełchatowski",2003,NA
"473",1002000,"Powiat kutnowski",2003,NA
"474",1003000,"Powiat łaski",2003,NA
"475",1004000,"Powiat łęczycki",2003,NA
"476",1005000,"Powiat łowicki",2003,NA
"477",1006000,"Powiat łódzki wschodni",2003,NA
"478",1007000,"Powiat opoczyński",2003,NA
"479",1008000,"Powiat pabianicki",2003,NA
"480",1009000,"Powiat pajęczański",2003,NA
"481",1010000,"Powiat piotrkowski",2003,NA
"482",1011000,"Powiat poddębicki",2003,NA
"483",1012000,"Powiat radomszczański",2003,NA
"484",1013000,"Powiat rawski",2003,NA
"485",1014000,"Powiat sieradzki",2003,NA
"486",1015000,"Powiat skierniewicki",2003,NA
"487",1016000,"Powiat tomaszowski",2003,NA
"488",1017000,"Powiat wieluński",2003,NA
"489",1018000,"Powiat wieruszowski",2003,NA
"490",1019000,"Powiat zduńskowolski",2003,NA
"491",1020000,"Powiat zgierski",2003,NA
"492",1021000,"Powiat brzeziński",2003,NA
"493",1061000,"Powiat m.Łódź",2003,NA
"494",1062000,"Powiat m.Piotrków Trybunalski",2003,NA
"495",1063000,"Powiat m.Skierniewice",2003,NA
"496",1201000,"Powiat bocheński",2003,NA
"497",1202000,"Powiat brzeski",2003,NA
"498",1203000,"Powiat chrzanowski",2003,NA
"499",1204000,"Powiat dąbrowski",2003,NA
"500",1205000,"Powiat gorlicki",2003,NA
"501",1206000,"Powiat krakowski",2003,NA
"502",1207000,"Powiat limanowski",2003,NA
"503",1208000,"Powiat miechowski",2003,NA
"504",1209000,"Powiat myślenicki",2003,NA
"505",1210000,"Powiat nowosądecki",2003,NA
"506",1211000,"Powiat nowotarski",2003,NA
"507",1212000,"Powiat olkuski",2003,NA
"508",1213000,"Powiat oświęcimski",2003,NA
"509",1214000,"Powiat proszowicki",2003,NA
"510",1215000,"Powiat suski",2003,NA
"511",1216000,"Powiat tarnowski",2003,NA
"512",1217000,"Powiat tatrzański",2003,NA
"513",1218000,"Powiat wadowicki",2003,NA
"514",1219000,"Powiat wielicki",2003,NA
"515",1261000,"Powiat m.Kraków",2003,NA
"516",1262000,"Powiat m.Nowy Sącz",2003,NA
"517",1263000,"Powiat m.Tarnów",2003,NA
"518",1401000,"Powiat białobrzeski",2003,NA
"519",1402000,"Powiat ciechanowski",2003,NA
"520",1403000,"Powiat garwoliński",2003,NA
"521",1404000,"Powiat gostyniński",2003,NA
"522",1405000,"Powiat grodziski",2003,NA
"523",1406000,"Powiat grójecki",2003,NA
"524",1407000,"Powiat kozienicki",2003,NA
"525",1408000,"Powiat legionowski",2003,NA
"526",1409000,"Powiat lipski",2003,NA
"527",1410000,"Powiat łosicki",2003,NA
"528",1411000,"Powiat makowski",2003,NA
"529",1412000,"Powiat miński",2003,NA
"530",1413000,"Powiat mławski",2003,NA
"531",1414000,"Powiat nowodworski",2003,NA
"532",1415000,"Powiat ostrołęcki",2003,NA
"533",1416000,"Powiat ostrowski",2003,NA
"534",1417000,"Powiat otwocki",2003,NA
"535",1418000,"Powiat piaseczyński",2003,NA
"536",1419000,"Powiat płocki",2003,NA
"537",1420000,"Powiat płoński",2003,NA
"538",1421000,"Powiat pruszkowski",2003,NA
"539",1422000,"Powiat przasnyski",2003,NA
"540",1423000,"Powiat przysuski",2003,NA
"541",1424000,"Powiat pułtuski",2003,NA
"542",1425000,"Powiat radomski",2003,NA
"543",1426000,"Powiat siedlecki",2003,NA
"544",1427000,"Powiat sierpecki",2003,NA
"545",1428000,"Powiat sochaczewski",2003,NA
"546",1429000,"Powiat sokołowski",2003,NA
"547",1430000,"Powiat szydłowiecki",2003,NA
"548",1432000,"Powiat warszawski zachodni",2003,NA
"549",1433000,"Powiat węgrowski",2003,NA
"550",1434000,"Powiat wołomiński",2003,NA
"551",1435000,"Powiat wyszkowski",2003,NA
"552",1436000,"Powiat zwoleński",2003,NA
"553",1437000,"Powiat żuromiński",2003,NA
"554",1438000,"Powiat żyrardowski",2003,NA
"555",1461000,"Powiat m.Ostrołęka",2003,NA
"556",1462000,"Powiat m.Płock",2003,NA
"557",1463000,"Powiat m.Radom",2003,NA
"558",1464000,"Powiat m.Siedlce",2003,NA
"559",1465000,"Powiat m. st. Warszawa",2003,NA
"560",1601000,"Powiat brzeski",2003,NA
"561",1602000,"Powiat głubczycki",2003,NA
"562",1603000,"Powiat kędzierzyńsko-kozielski",2003,NA
"563",1604000,"Powiat kluczborski",2003,NA
"564",1605000,"Powiat krapkowicki",2003,NA
"565",1606000,"Powiat namysłowski",2003,NA
"566",1607000,"Powiat nyski",2003,NA
"567",1608000,"Powiat oleski",2003,NA
"568",1609000,"Powiat opolski",2003,NA
"569",1610000,"Powiat prudnicki",2003,NA
"570",1611000,"Powiat strzelecki",2003,NA
"571",1661000,"Powiat m.Opole",2003,NA
