"","Kod","Nazwa","rok","Dochody_powiatu_na_1_mieszkanca_ogolem_zl"
"292",3027000,"Powiat turecki",2002,512
"293",3028000,"Powiat wągrowiecki",2002,512
"294",3029000,"Powiat wolsztyński",2002,571
"295",3030000,"Powiat wrzesiński",2002,498
"296",3031000,"Powiat złotowski",2002,498
"297",3201000,"Powiat białogardzki",2002,890
"298",3202000,"Powiat choszczeński",2002,549
"299",3203000,"Powiat drawski",2002,560
"300",3204000,"Powiat goleniowski",2002,608
"301",3205000,"Powiat gryficki",2002,678
"302",3206000,"Powiat gryfiński",2002,586
"303",3207000,"Powiat kamieński",2002,559
"304",3208000,"Powiat kołobrzeski",2002,571
"305",3209000,"Powiat koszaliński",2002,581
"306",3210000,"Powiat myśliborski",2002,618
"307",3211000,"Powiat policki",2002,573
"308",3212000,"Powiat pyrzycki",2002,560
"309",3213000,"Powiat sławieński",2002,537
"310",3214000,"Powiat stargardzki",2002,509
"311",3215000,"Powiat szczecinecki",2002,642
"312",3216000,"Powiat świdwiński",2002,606
"313",3217000,"Powiat wałecki",2002,466
"314",3218000,"Powiat łobeski",2002,514
"315",201000,"Powiat bolesławiecki",2003,395
"316",202000,"Powiat dzierżoniowski",2003,448
"317",203000,"Powiat głogowski",2003,573
"318",204000,"Powiat górowski",2003,551
"319",205000,"Powiat jaworski",2003,555
"320",206000,"Powiat jeleniogórski",2003,573
"321",207000,"Powiat kamiennogórski",2003,508
"322",208000,"Powiat kłodzki",2003,568
"323",209000,"Powiat legnicki",2003,569
"324",210000,"Powiat lubański",2003,497
"325",211000,"Powiat lubiński",2003,357
"326",212000,"Powiat lwówecki",2003,594
"327",213000,"Powiat milicki",2003,916
"328",214000,"Powiat oleśnicki",2003,481
"329",215000,"Powiat oławski",2003,384
"330",216000,"Powiat polkowicki",2003,303
"331",217000,"Powiat strzeliński",2003,494
"332",218000,"Powiat średzki",2003,381
"333",219000,"Powiat świdnicki",2003,551
"334",220000,"Powiat trzebnicki",2003,409
"335",221000,"Powiat wałbrzyski",2003,432
"336",222000,"Powiat wołowski",2003,511
"337",223000,"Powiat wrocławski",2003,370
"338",224000,"Powiat ząbkowicki",2003,637
"339",225000,"Powiat zgorzelecki",2003,441
"340",226000,"Powiat złotoryjski",2003,538
"341",401000,"Powiat aleksandrowski",2003,462
"342",402000,"Powiat brodnicki",2003,408
"343",403000,"Powiat bydgoski",2003,341
"344",404000,"Powiat chełmiński",2003,509
"345",405000,"Powiat golubsko-dobrzyński",2003,424
"346",406000,"Powiat grudziądzki",2003,280
"347",407000,"Powiat inowrocławski",2003,462
"348",408000,"Powiat lipnowski",2003,411
"349",409000,"Powiat mogileński",2003,574
"350",410000,"Powiat nakielski",2003,391
"351",411000,"Powiat radziejowski",2003,513
"352",412000,"Powiat rypiński",2003,400
"353",413000,"Powiat sępoleński",2003,552
"354",414000,"Powiat świecki",2003,372
"355",415000,"Powiat toruński",2003,343
"356",416000,"Powiat tucholski",2003,578
"357",417000,"Powiat wąbrzeski",2003,467
"358",418000,"Powiat włocławski",2003,350
"359",419000,"Powiat żniński",2003,470
"360",601000,"Powiat bialski",2003,417
"361",602000,"Powiat biłgorajski",2003,512
"362",603000,"Powiat chełmski",2003,352
"363",604000,"Powiat hrubieszowski",2003,434
"364",605000,"Powiat janowski",2003,478
"365",606000,"Powiat krasnostawski",2003,543
"366",607000,"Powiat kraśnicki",2003,456
"367",608000,"Powiat lubartowski",2003,393
"368",609000,"Powiat lubelski",2003,350
"369",610000,"Powiat łęczyński",2003,398
"370",611000,"Powiat łukowski",2003,437
"371",612000,"Powiat opolski",2003,361
"372",613000,"Powiat parczewski",2003,513
"373",614000,"Powiat puławski",2003,412
"374",615000,"Powiat radzyński",2003,364
"375",616000,"Powiat rycki",2003,460
"376",617000,"Powiat świdnicki",2003,418
"377",618000,"Powiat tomaszowski",2003,488
"378",619000,"Powiat włodawski",2003,651
"379",620000,"Powiat zamojski",2003,249
"380",801000,"Powiat gorzowski",2003,358
"381",802000,"Powiat krośnieński",2003,425
"382",803000,"Powiat międzyrzecki",2003,549
"383",804000,"Powiat nowosolski",2003,445
"384",805000,"Powiat słubicki",2003,449
"385",806000,"Powiat strzelecko-drezdenecki",2003,448
"386",807000,"Powiat sulęciński",2003,546
"387",808000,"Powiat świebodziński",2003,670
"388",809000,"Powiat zielonogórski",2003,391
"389",810000,"Powiat żagański",2003,412
"390",811000,"Powiat żarski",2003,506
"391",812000,"Powiat wschowski",2003,505
"392",1001000,"Powiat bełchatowski",2003,409
"393",1002000,"Powiat kutnowski",2003,575
"394",1003000,"Powiat łaski",2003,456
"395",1004000,"Powiat łęczycki",2003,508
"396",1005000,"Powiat łowicki",2003,460
"397",1006000,"Powiat łódzki wschodni",2003,351
"398",1007000,"Powiat opoczyński",2003,379
"399",1008000,"Powiat pabianicki",2003,393
"400",1009000,"Powiat pajęczański",2003,300
"401",1010000,"Powiat piotrkowski",2003,330
"402",1011000,"Powiat poddębicki",2003,473
"403",1012000,"Powiat radomszczański",2003,525
"404",1013000,"Powiat rawski",2003,552
"405",1014000,"Powiat sieradzki",2003,492
"406",1015000,"Powiat skierniewicki",2003,237
"407",1016000,"Powiat tomaszowski",2003,446
"408",1017000,"Powiat wieluński",2003,444
"409",1018000,"Powiat wieruszowski",2003,505
"410",1019000,"Powiat zduńskowolski",2003,471
"411",1020000,"Powiat zgierski",2003,407
"412",1021000,"Powiat brzeziński",2003,461
"413",1201000,"Powiat bocheński",2003,425
"414",1202000,"Powiat brzeski",2003,363
"415",1203000,"Powiat chrzanowski",2003,337
"416",1204000,"Powiat dąbrowski",2003,377
"417",1205000,"Powiat gorlicki",2003,523
"418",1206000,"Powiat krakowski",2003,284
"419",1207000,"Powiat limanowski",2003,422
"420",1208000,"Powiat miechowski",2003,581
"421",1209000,"Powiat myślenicki",2003,377
"422",1210000,"Powiat nowosądecki",2003,293
"423",1211000,"Powiat nowotarski",2003,477
"424",1212000,"Powiat olkuski",2003,425
"425",1213000,"Powiat oświęcimski",2003,474
"426",1214000,"Powiat proszowicki",2003,411
"427",1215000,"Powiat suski",2003,478
"428",1216000,"Powiat tarnowski",2003,275
"429",1217000,"Powiat tatrzański",2003,487
"430",1218000,"Powiat wadowicki",2003,420
"431",1219000,"Powiat wielicki",2003,226
"432",1401000,"Powiat białobrzeski",2003,394
"433",1402000,"Powiat ciechanowski",2003,517
"434",1403000,"Powiat garwoliński",2003,535
"435",1404000,"Powiat gostyniński",2003,519
"436",1405000,"Powiat grodziski",2003,761
"437",1406000,"Powiat grójecki",2003,419
"438",1407000,"Powiat kozienicki",2003,424
"439",1408000,"Powiat legionowski",2003,275
"440",1409000,"Powiat lipski",2003,608
"441",1410000,"Powiat łosicki",2003,457
"442",1411000,"Powiat makowski",2003,488
"443",1412000,"Powiat miński",2003,443
"444",1413000,"Powiat mławski",2003,431
"445",1414000,"Powiat nowodworski",2003,321
"446",1415000,"Powiat ostrołęcki",2003,330
"447",1416000,"Powiat ostrowski",2003,413
"448",1417000,"Powiat otwocki",2003,444
"449",1418000,"Powiat piaseczyński",2003,489
"450",1419000,"Powiat płocki",2003,414
"451",1420000,"Powiat płoński",2003,418
"452",1421000,"Powiat pruszkowski",2003,298
"453",1422000,"Powiat przasnyski",2003,560
"454",1423000,"Powiat przysuski",2003,551
"455",1424000,"Powiat pułtuski",2003,593
"456",1425000,"Powiat radomski",2003,321
"457",1426000,"Powiat siedlecki",2003,198
"458",1427000,"Powiat sierpecki",2003,453
"459",1428000,"Powiat sochaczewski",2003,418
"460",1429000,"Powiat sokołowski",2003,467
"461",1430000,"Powiat szydłowiecki",2003,398
"462",1432000,"Powiat warszawski zachodni",2003,330
"463",1433000,"Powiat węgrowski",2003,427
"464",1434000,"Powiat wołomiński",2003,248
"465",1435000,"Powiat wyszkowski",2003,503
"466",1436000,"Powiat zwoleński",2003,383
"467",1437000,"Powiat żuromiński",2003,478
"468",1438000,"Powiat żyrardowski",2003,409
"469",1601000,"Powiat brzeski",2003,516
"470",1602000,"Powiat głubczycki",2003,614
"471",1603000,"Powiat kędzierzyńsko-kozielski",2003,438
"472",1604000,"Powiat kluczborski",2003,544
"473",1605000,"Powiat krapkowicki",2003,253
"474",1606000,"Powiat namysłowski",2003,473
"475",1607000,"Powiat nyski",2003,443
"476",1608000,"Powiat oleski",2003,441
"477",1609000,"Powiat opolski",2003,259
"478",1610000,"Powiat prudnicki",2003,473
"479",1611000,"Powiat strzelecki",2003,433
"480",1801000,"Powiat bieszczadzki",2003,687
"481",1802000,"Powiat brzozowski",2003,395
"482",1803000,"Powiat dębicki",2003,417
"483",1804000,"Powiat jarosławski",2003,504
"484",1805000,"Powiat jasielski",2003,457
"485",1806000,"Powiat kolbuszowski",2003,319
"486",1807000,"Powiat krośnieński",2003,303
"487",1808000,"Powiat leżajski",2003,518
"488",1809000,"Powiat lubaczowski",2003,933
"489",1810000,"Powiat łańcucki",2003,359
"490",1811000,"Powiat mielecki",2003,440
"491",1812000,"Powiat niżański",2003,345
"492",1813000,"Powiat przemyski",2003,239
"493",1814000,"Powiat przeworski",2003,356
"494",1815000,"Powiat ropczycko-sędziszowski",2003,443
"495",1816000,"Powiat rzeszowski",2003,284
"496",1817000,"Powiat sanocki",2003,482
"497",1818000,"Powiat stalowowolski",2003,423
"498",1819000,"Powiat strzyżowski",2003,451
"499",1820000,"Powiat tarnobrzeski",2003,416
"500",1821000,"Powiat leski",2003,622
"501",2001000,"Powiat augustowski",2003,475
"502",2002000,"Powiat białostocki",2003,404
"503",2003000,"Powiat bielski",2003,556
"504",2004000,"Powiat grajewski",2003,452
"505",2005000,"Powiat hajnowski",2003,502
"506",2006000,"Powiat kolneński",2003,337
"507",2007000,"Powiat łomżyński",2003,318
"508",2008000,"Powiat moniecki",2003,400
"509",2009000,"Powiat sejneński",2003,559
"510",2010000,"Powiat siemiatycki",2003,448
"511",2011000,"Powiat sokólski",2003,405
"512",2012000,"Powiat suwalski",2003,397
"513",2013000,"Powiat wysokomazowiecki",2003,458
"514",2014000,"Powiat zambrowski",2003,504
"515",2201000,"Powiat bytowski",2003,528
"516",2202000,"Powiat chojnicki",2003,502
"517",2203000,"Powiat człuchowski",2003,597
"518",2204000,"Powiat gdański",2003,233
"519",2205000,"Powiat kartuski",2003,378
"520",2206000,"Powiat kościerski",2003,514
"521",2207000,"Powiat kwidzyński",2003,623
"522",2208000,"Powiat lęborski",2003,598
"523",2209000,"Powiat malborski",2003,582
"524",2210000,"Powiat nowodworski",2003,546
"525",2211000,"Powiat pucki",2003,491
"526",2212000,"Powiat słupski",2003,433
"527",2213000,"Powiat starogardzki",2003,453
"528",2214000,"Powiat tczewski",2003,525
"529",2215000,"Powiat wejherowski",2003,387
"530",2216000,"Powiat sztumski",2003,487
"531",2401000,"Powiat będziński",2003,364
"532",2402000,"Powiat bielski",2003,260
"533",2403000,"Powiat cieszyński",2003,469
"534",2404000,"Powiat częstochowski",2003,232
"535",2405000,"Powiat gliwicki",2003,247
"536",2406000,"Powiat kłobucki",2003,300
"537",2407000,"Powiat lubliniecki",2003,543
"538",2408000,"Powiat mikołowski",2003,372
"539",2409000,"Powiat myszkowski",2003,360
"540",2410000,"Powiat pszczyński",2003,336
"541",2411000,"Powiat raciborski",2003,620
"542",2412000,"Powiat rybnicki",2003,221
"543",2413000,"Powiat tarnogórski",2003,558
"544",2414000,"Powiat bieruńsko-lędziński",2003,252
"545",2415000,"Powiat wodzisławski",2003,392
"546",2416000,"Powiat zawierciański",2003,469
"547",2417000,"Powiat żywiecki",2003,386
"548",2601000,"Powiat buski",2003,609
"549",2602000,"Powiat jędrzejowski",2003,448
"550",2603000,"Powiat kazimierski",2003,580
"551",2604000,"Powiat kielecki",2003,254
"552",2605000,"Powiat konecki",2003,415
"553",2606000,"Powiat opatowski",2003,650
"554",2607000,"Powiat ostrowiecki",2003,517
"555",2608000,"Powiat pińczowski",2003,475
"556",2609000,"Powiat sandomierski",2003,504
"557",2610000,"Powiat skarżyski",2003,544
"558",2611000,"Powiat starachowicki",2003,627
