"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_poprodukcyjnym_proc"
"13976",2406000,"Powiat kłobucki",2002,16.3
"13977",2407000,"Powiat lubliniecki",2002,14.3
"13978",2408000,"Powiat mikołowski",2002,13.9
"13979",2409000,"Powiat myszkowski",2002,16.9
"13980",2410000,"Powiat pszczyński",2002,11.3
"13981",2411000,"Powiat raciborski",2002,14.8
"13982",2412000,"Powiat rybnicki",2002,14.1
"13983",2413000,"Powiat tarnogórski",2002,15
"13984",2414000,"Powiat bieruńsko-lędziński",2002,12.3
"13985",2415000,"Powiat wodzisławski",2002,14.5
"13986",2416000,"Powiat zawierciański",2002,17.4
"13987",2417000,"Powiat żywiecki",2002,15.6
"13988",2461000,"Powiat m.Bielsko-Biała",2002,15.3
"13989",2462000,"Powiat m.Bytom",2002,15.2
"13990",2463000,"Powiat m.Chorzów",2002,17.5
"13991",2464000,"Powiat m.Częstochowa",2002,16.5
"13992",2465000,"Powiat m.Dąbrowa Górnicza",2002,14
"13993",2466000,"Powiat m.Gliwice",2002,15.2
"13994",2467000,"Powiat m.Jastrzębie-Zdrój",2002,9.8
"13995",2468000,"Powiat m.Jaworzno",2002,14.9
"13996",2469000,"Powiat m.Katowice",2002,16.9
"13997",2470000,"Powiat m.Mysłowice",2002,13.1
"13998",2471000,"Powiat m.Piekary Śląskie",2002,15.5
"13999",2472000,"Powiat m.Ruda Śląska",2002,13.6
"14000",2473000,"Powiat m.Rybnik",2002,12.8
"14001",2474000,"Powiat m.Siemianowice Śląskie",2002,14.8
"14002",2475000,"Powiat m.Sosnowiec",2002,14.9
"14003",2476000,"Powiat m.Świętochłowice",2002,14.1
"14004",2477000,"Powiat m.Tychy",2002,12.2
"14005",2478000,"Powiat m.Zabrze",2002,14.3
"14006",2479000,"Powiat m.Żory",2002,7
"14007",2601000,"Powiat buski",2002,19.7
"14008",2602000,"Powiat jędrzejowski",2002,17.4
"14009",2603000,"Powiat kazimierski",2002,20.5
"14010",2604000,"Powiat kielecki",2002,14.6
"14011",2605000,"Powiat konecki",2002,17.4
"14012",2606000,"Powiat opatowski",2002,19.1
"14013",2607000,"Powiat ostrowiecki",2002,16.4
"14014",2608000,"Powiat pińczowski",2002,19.3
"14015",2609000,"Powiat sandomierski",2002,17.4
"14016",2610000,"Powiat skarżyski",2002,17.7
"14017",2611000,"Powiat starachowicki",2002,17.3
"14018",2612000,"Powiat staszowski",2002,16
"14019",2613000,"Powiat włoszczowski",2002,17.8
"14020",2661000,"Powiat m.Kielce",2002,14.5
"14021",2801000,"Powiat bartoszycki",2002,13.4
"14022",2802000,"Powiat braniewski",2002,12.5
"14023",2803000,"Powiat działdowski",2002,13
"14024",2804000,"Powiat elbląski",2002,13.5
"14025",2805000,"Powiat ełcki",2002,11.9
"14026",2806000,"Powiat giżycki",2002,13.9
"14027",2807000,"Powiat iławski",2002,12.3
"14028",2808000,"Powiat kętrzyński",2002,14.2
"14029",2809000,"Powiat lidzbarski",2002,14.5
"14030",2810000,"Powiat mrągowski",2002,12
