"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_ogolem_szt"
"514",1219000,"Powiat wielicki",2016,369
"515",1261000,"Powiat m.Kraków",2016,10960
"516",1262000,"Powiat m.Nowy Sącz",2016,310
"517",1263000,"Powiat m.Tarnów",2016,426
"518",1401000,"Powiat białobrzeski",2016,19
"519",1402000,"Powiat ciechanowski",2016,190
"520",1403000,"Powiat garwoliński",2016,31
"521",1404000,"Powiat gostyniński",2016,57
"522",1405000,"Powiat grodziski",2016,192
"523",1406000,"Powiat grójecki",2016,133
"524",1407000,"Powiat kozienicki",2016,67
"525",1408000,"Powiat legionowski",2016,407
"526",1409000,"Powiat lipski",2016,0
"527",1410000,"Powiat łosicki",2016,37
"528",1411000,"Powiat makowski",2016,0
"529",1412000,"Powiat miński",2016,398
"530",1413000,"Powiat mławski",2016,213
"531",1414000,"Powiat nowodworski",2016,336
"532",1415000,"Powiat ostrołęcki",2016,0
"533",1416000,"Powiat ostrowski",2016,42
"534",1417000,"Powiat otwocki",2016,217
"535",1418000,"Powiat piaseczyński",2016,821
"536",1419000,"Powiat płocki",2016,54
"537",1420000,"Powiat płoński",2016,147
"538",1421000,"Powiat pruszkowski",2016,866
"539",1422000,"Powiat przasnyski",2016,56
"540",1423000,"Powiat przysuski",2016,14
"541",1424000,"Powiat pułtuski",2016,136
"542",1425000,"Powiat radomski",2016,48
"543",1426000,"Powiat siedlecki",2016,7
"544",1427000,"Powiat sierpecki",2016,48
"545",1428000,"Powiat sochaczewski",2016,135
"546",1429000,"Powiat sokołowski",2016,82
"547",1430000,"Powiat szydłowiecki",2016,22
"548",1432000,"Powiat warszawski zachodni",2016,286
"549",1433000,"Powiat węgrowski",2016,24
"550",1434000,"Powiat wołomiński",2016,1535
"551",1435000,"Powiat wyszkowski",2016,139
"552",1436000,"Powiat zwoleński",2016,4
"553",1437000,"Powiat żuromiński",2016,87
"554",1438000,"Powiat żyrardowski",2016,183
"555",1461000,"Powiat m.Ostrołęka",2016,242
"556",1462000,"Powiat m.Płock",2016,611
"557",1463000,"Powiat m.Radom",2016,535
"558",1464000,"Powiat m.Siedlce",2016,726
"559",1465000,"Powiat m. st. Warszawa",2016,24731
"560",1601000,"Powiat brzeski",2016,342
"561",1602000,"Powiat głubczycki",2016,93
"562",1603000,"Powiat kędzierzyńsko-kozielski",2016,337
"563",1604000,"Powiat kluczborski",2016,167
"564",1605000,"Powiat krapkowicki",2016,118
"565",1606000,"Powiat namysłowski",2016,188
"566",1607000,"Powiat nyski",2016,394
"567",1608000,"Powiat oleski",2016,49
"568",1609000,"Powiat opolski",2016,125
"569",1610000,"Powiat prudnicki",2016,95
"570",1611000,"Powiat strzelecki",2016,98
"571",1661000,"Powiat m.Opole",2016,915
"572",1801000,"Powiat bieszczadzki",2016,36
"573",1802000,"Powiat brzozowski",2016,20
"574",1803000,"Powiat dębicki",2016,89
"575",1804000,"Powiat jarosławski",2016,151
"576",1805000,"Powiat jasielski",2016,83
"577",1806000,"Powiat kolbuszowski",2016,10
"578",1807000,"Powiat krośnieński",2016,18
"579",1808000,"Powiat leżajski",2016,44
"580",1809000,"Powiat lubaczowski",2016,37
"581",1810000,"Powiat łańcucki",2016,27
"582",1811000,"Powiat mielecki",2016,175
"583",1812000,"Powiat niżański",2016,18
"584",1813000,"Powiat przemyski",2016,43
"585",1814000,"Powiat przeworski",2016,39
"586",1815000,"Powiat ropczycko-sędziszowski",2016,65
"587",1816000,"Powiat rzeszowski",2016,134
"588",1817000,"Powiat sanocki",2016,47
"589",1818000,"Powiat stalowowolski",2016,312
"590",1819000,"Powiat strzyżowski",2016,16
"591",1820000,"Powiat tarnobrzeski",2016,41
"592",1821000,"Powiat leski",2016,26
"593",1861000,"Powiat m.Krosno",2016,104
