"","Kod","Nazwa","rok","Gestosc_zaludnienia_oraz_wskazniki_ludnosc_na_1_km2_osoba"
"334",3009000,"Powiat kolski",2002,88
"335",3010000,"Powiat koniński",2002,77
"336",3011000,"Powiat kościański",2002,107
"337",3012000,"Powiat krotoszyński",2002,108
"338",3013000,"Powiat leszczyński",2002,61
"339",3014000,"Powiat międzychodzki",2002,49
"340",3015000,"Powiat nowotomyski",2002,70
"341",3016000,"Powiat obornicki",2002,78
"342",3017000,"Powiat ostrowski",2002,137
"343",3018000,"Powiat ostrzeszowski",2002,70
"344",3019000,"Powiat pilski",2002,108
"345",3020000,"Powiat pleszewski",2002,87
"346",3021000,"Powiat poznański",2002,142
"347",3022000,"Powiat rawicki",2002,107
"348",3023000,"Powiat słupecki",2002,70
"349",3024000,"Powiat szamotulski",2002,76
"350",3025000,"Powiat średzki",2002,87
"351",3026000,"Powiat śremski",2002,101
"352",3027000,"Powiat turecki",2002,90
"353",3028000,"Powiat wągrowiecki",2002,65
"354",3029000,"Powiat wolsztyński",2002,80
"355",3030000,"Powiat wrzesiński",2002,104
"356",3031000,"Powiat złotowski",2002,41
"357",3061000,"Powiat m.Kalisz",2002,1568
"358",3062000,"Powiat m.Konin",2002,1006
"359",3063000,"Powiat m.Leszno",2002,1995
"360",3064000,"Powiat m.Poznań",2002,2209
"361",3201000,"Powiat białogardzki",2002,57
"362",3202000,"Powiat choszczeński",2002,38
"363",3203000,"Powiat drawski",2002,33
"364",3204000,"Powiat goleniowski",2002,48
"365",3205000,"Powiat gryficki",2002,60
"366",3206000,"Powiat gryfiński",2002,45
"367",3207000,"Powiat kamieński",2002,48
"368",3208000,"Powiat kołobrzeski",2002,103
"369",3209000,"Powiat koszaliński",2002,38
"370",3210000,"Powiat myśliborski",2002,57
"371",3211000,"Powiat policki",2002,90
"372",3212000,"Powiat pyrzycki",2002,55
"373",3213000,"Powiat sławieński",2002,55
"374",3214000,"Powiat stargardzki",2002,79
"375",3215000,"Powiat szczecinecki",2002,44
"376",3216000,"Powiat świdwiński",2002,45
"377",3217000,"Powiat wałecki",2002,39
"378",3218000,"Powiat łobeski",2002,36
"379",3261000,"Powiat m.Koszalin",2002,1304
"380",3262000,"Powiat m.Szczecin",2002,1380
"381",3263000,"Powiat m.Świnoujście",2002,213
"382",201000,"Powiat bolesławiecki",2003,68
"383",202000,"Powiat dzierżoniowski",2003,221
"384",203000,"Powiat głogowski",2003,198
"385",204000,"Powiat górowski",2003,50
"386",205000,"Powiat jaworski",2003,90
"387",206000,"Powiat jeleniogórski",2003,102
"388",207000,"Powiat kamiennogórski",2003,119
"389",208000,"Powiat kłodzki",2003,103
"390",209000,"Powiat legnicki",2003,71
"391",210000,"Powiat lubański",2003,134
"392",211000,"Powiat lubiński",2003,149
"393",212000,"Powiat lwówecki",2003,68
"394",213000,"Powiat milicki",2003,52
"395",214000,"Powiat oleśnicki",2003,98
"396",215000,"Powiat oławski",2003,135
"397",216000,"Powiat polkowicki",2003,78
"398",217000,"Powiat strzeliński",2003,72
"399",218000,"Powiat średzki",2003,70
"400",219000,"Powiat świdnicki",2003,217
"401",220000,"Powiat trzebnicki",2003,75
"402",221000,"Powiat wałbrzyski",2003,366
"403",222000,"Powiat wołowski",2003,71
"404",223000,"Powiat wrocławski",2003,88
"405",224000,"Powiat ząbkowicki",2003,87
"406",225000,"Powiat zgorzelecki",2003,114
"407",226000,"Powiat złotoryjski",2003,80
"408",261000,"Powiat m.Jelenia Góra",2003,812
"409",262000,"Powiat m.Legnica",2003,1892
"410",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"411",264000,"Powiat m.Wrocław",2003,2177
"412",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"413",401000,"Powiat aleksandrowski",2003,116
"414",402000,"Powiat brodnicki",2003,72
"415",403000,"Powiat bydgoski",2003,65
"416",404000,"Powiat chełmiński",2003,98
"417",405000,"Powiat golubsko-dobrzyński",2003,74
"418",406000,"Powiat grudziądzki",2003,53
"419",407000,"Powiat inowrocławski",2003,136
"420",408000,"Powiat lipnowski",2003,65
"421",409000,"Powiat mogileński",2003,70
"422",410000,"Powiat nakielski",2003,75
"423",411000,"Powiat radziejowski",2003,70
"424",412000,"Powiat rypiński",2003,76
"425",413000,"Powiat sępoleński",2003,52
"426",414000,"Powiat świecki",2003,66
"427",415000,"Powiat toruński",2003,69
"428",416000,"Powiat tucholski",2003,44
"429",417000,"Powiat wąbrzeski",2003,70
"430",418000,"Powiat włocławski",2003,58
"431",419000,"Powiat żniński",2003,71
"432",461000,"Powiat m.Bydgoszcz",2003,2122
"433",462000,"Powiat m.Grudziądz",2003,1703
"434",463000,"Powiat m.Toruń",2003,1805
"435",464000,"Powiat m.Włocławek",2003,1424
"436",601000,"Powiat bialski",2003,42
"437",602000,"Powiat biłgorajski",2003,63
"438",603000,"Powiat chełmski",2003,42
"439",604000,"Powiat hrubieszowski",2003,55
"440",605000,"Powiat janowski",2003,55
"441",606000,"Powiat krasnostawski",2003,68
"442",607000,"Powiat kraśnicki",2003,100
"443",608000,"Powiat lubartowski",2003,71
"444",609000,"Powiat lubelski",2003,82
"445",610000,"Powiat łęczyński",2003,90
"446",611000,"Powiat łukowski",2003,78
"447",612000,"Powiat opolski",2003,79
"448",613000,"Powiat parczewski",2003,39
"449",614000,"Powiat puławski",2003,126
"450",615000,"Powiat radzyński",2003,64
"451",616000,"Powiat rycki",2003,99
"452",617000,"Powiat świdnicki",2003,155
"453",618000,"Powiat tomaszowski",2003,60
"454",619000,"Powiat włodawski",2003,32
"455",620000,"Powiat zamojski",2003,59
"456",661000,"Powiat m.Biała Podlaska",2003,1170
"457",662000,"Powiat m.Chełm",2003,1948
"458",663000,"Powiat m.Lublin",2003,2417
"459",664000,"Powiat m.Zamość",2003,2188
"460",801000,"Powiat gorzowski",2003,53
"461",802000,"Powiat krośnieński",2003,41
"462",803000,"Powiat międzyrzecki",2003,42
"463",804000,"Powiat nowosolski",2003,113
"464",805000,"Powiat słubicki",2003,47
"465",806000,"Powiat strzelecko-drezdenecki",2003,40
"466",807000,"Powiat sulęciński",2003,30
"467",808000,"Powiat świebodziński",2003,60
"468",809000,"Powiat zielonogórski",2003,56
"469",810000,"Powiat żagański",2003,73
"470",811000,"Powiat żarski",2003,71
"471",812000,"Powiat wschowski",2003,62
"472",861000,"Powiat m.Gorzów Wielkopolski",2003,1462
"473",862000,"Powiat m.Zielona Góra",2003,2036
"474",1001000,"Powiat bełchatowski",2003,116
"475",1002000,"Powiat kutnowski",2003,120
"476",1003000,"Powiat łaski",2003,83
"477",1004000,"Powiat łęczycki",2003,70
"478",1005000,"Powiat łowicki",2003,84
"479",1006000,"Powiat łódzki wschodni",2003,127
"480",1007000,"Powiat opoczyński",2003,76
"481",1008000,"Powiat pabianicki",2003,244
"482",1009000,"Powiat pajęczański",2003,67
"483",1010000,"Powiat piotrkowski",2003,63
"484",1011000,"Powiat poddębicki",2003,49
"485",1012000,"Powiat radomszczański",2003,83
"486",1013000,"Powiat rawski",2003,77
"487",1014000,"Powiat sieradzki",2003,82
"488",1015000,"Powiat skierniewicki",2003,51
"489",1016000,"Powiat tomaszowski",2003,119
"490",1017000,"Powiat wieluński",2003,85
"491",1018000,"Powiat wieruszowski",2003,74
"492",1019000,"Powiat zduńskowolski",2003,184
"493",1020000,"Powiat zgierski",2003,187
"494",1021000,"Powiat brzeziński",2003,86
"495",1061000,"Powiat m.Łódź",2003,2647
"496",1062000,"Powiat m.Piotrków Trybunalski",2003,1197
"497",1063000,"Powiat m.Skierniewice",2003,1481
"498",1201000,"Powiat bocheński",2003,156
"499",1202000,"Powiat brzeski",2003,152
"500",1203000,"Powiat chrzanowski",2003,347
"501",1204000,"Powiat dąbrowski",2003,111
"502",1205000,"Powiat gorlicki",2003,110
"503",1206000,"Powiat krakowski",2003,196
"504",1207000,"Powiat limanowski",2003,126
"505",1208000,"Powiat miechowski",2003,76
"506",1209000,"Powiat myślenicki",2003,171
"507",1210000,"Powiat nowosądecki",2003,126
"508",1211000,"Powiat nowotarski",2003,122
"509",1212000,"Powiat olkuski",2003,184
"510",1213000,"Powiat oświęcimski",2003,377
"511",1214000,"Powiat proszowicki",2003,105
