"","Kod","Nazwa","rok","DZIALALNOSC_TRANSPORTOWA_CTAB_liczba_taksowek_ogolem_szt"
"1573",812000,"Powiat wschowski",2018,8
"1574",861000,"Powiat m.Gorzów Wielkopolski",2018,398
"1575",862000,"Powiat m.Zielona Góra",2018,346
"1576",1001000,"Powiat bełchatowski",2018,65
"1577",1002000,"Powiat kutnowski",2018,33
"1578",1003000,"Powiat łaski",2018,12
"1579",1004000,"Powiat łęczycki",2018,14
"1580",1005000,"Powiat łowicki",2018,27
"1581",1006000,"Powiat łódzki wschodni",2018,6
"1582",1007000,"Powiat opoczyński",2018,12
"1583",1008000,"Powiat pabianicki",2018,151
"1584",1009000,"Powiat pajęczański",2018,1
"1585",1010000,"Powiat piotrkowski",2018,4
"1586",1011000,"Powiat poddębicki",2018,8
"1587",1012000,"Powiat radomszczański",2018,69
"1588",1013000,"Powiat rawski",2018,24
"1589",1014000,"Powiat sieradzki",2018,48
"1590",1016000,"Powiat tomaszowski",2018,75
"1591",1017000,"Powiat wieluński",2018,13
"1592",1018000,"Powiat wieruszowski",2018,1
"1593",1019000,"Powiat zduńskowolski",2018,125
"1594",1020000,"Powiat zgierski",2018,117
"1595",1021000,"Powiat brzeziński",2018,5
"1596",1061000,"Powiat m.Łódź",2018,3312
"1597",1062000,"Powiat m.Piotrków Trybunalski",2018,82
"1598",1063000,"Powiat m.Skierniewice",2018,87
"1599",1201000,"Powiat bocheński",2018,45
"1600",1202000,"Powiat brzeski",2018,20
"1601",1203000,"Powiat chrzanowski",2018,41
"1602",1204000,"Powiat dąbrowski",2018,5
"1603",1205000,"Powiat gorlicki",2018,36
"1604",1206000,"Powiat krakowski",2018,806
"1605",1207000,"Powiat limanowski",2018,37
"1606",1208000,"Powiat miechowski",2018,26
"1607",1209000,"Powiat myślenicki",2018,74
"1608",1210000,"Powiat nowosądecki",2018,89
"1609",1211000,"Powiat nowotarski",2018,180
"1610",1212000,"Powiat olkuski",2018,60
"1611",1213000,"Powiat oświęcimski",2018,129
"1612",1214000,"Powiat proszowicki",2018,22
"1613",1215000,"Powiat suski",2018,17
"1614",1216000,"Powiat tarnowski",2018,47
"1615",1217000,"Powiat tatrzański",2018,605
"1616",1218000,"Powiat wadowicki",2018,60
"1617",1219000,"Powiat wielicki",2018,123
"1618",1261000,"Powiat m.Kraków",2018,4275
"1619",1262000,"Powiat m.Nowy Sącz",2018,171
"1620",1263000,"Powiat m.Tarnów",2018,498
"1621",1401000,"Powiat białobrzeski",2018,2
"1622",1402000,"Powiat ciechanowski",2018,44
"1623",1403000,"Powiat garwoliński",2018,28
"1624",1404000,"Powiat gostyniński",2018,25
"1625",1405000,"Powiat grodziski",2018,67
"1626",1406000,"Powiat grójecki",2018,18
"1627",1407000,"Powiat kozienicki",2018,21
"1628",1408000,"Powiat legionowski",2018,38
"1629",1409000,"Powiat lipski",2018,2
"1630",1411000,"Powiat makowski",2018,5
"1631",1412000,"Powiat miński",2018,100
"1632",1413000,"Powiat mławski",2018,23
"1633",1414000,"Powiat nowodworski",2018,93
"1634",1415000,"Powiat ostrołęcki",2018,1
"1635",1416000,"Powiat ostrowski",2018,33
"1636",1417000,"Powiat otwocki",2018,97
