"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_mieszkania"
"289",2477000,"Powiat m.Tychy",1995,64
"290",2478000,"Powiat m.Zabrze",1995,117
"291",2479000,"Powiat m.Żory",1995,98
"292",2601000,"Powiat buski",1995,182
"293",2602000,"Powiat jędrzejowski",1995,111
"294",2603000,"Powiat kazimierski",1995,44
"295",2604000,"Powiat kielecki",1995,339
"296",2605000,"Powiat konecki",1995,86
"297",2606000,"Powiat opatowski",1995,99
"298",2607000,"Powiat ostrowiecki",1995,128
"299",2608000,"Powiat pińczowski",1995,63
"300",2609000,"Powiat sandomierski",1995,151
"301",2610000,"Powiat skarżyski",1995,37
"302",2611000,"Powiat starachowicki",1995,74
"303",2612000,"Powiat staszowski",1995,151
"304",2613000,"Powiat włoszczowski",1995,69
"305",2661000,"Powiat m.Kielce",1995,789
"306",2801000,"Powiat bartoszycki",1995,134
"307",2802000,"Powiat braniewski",1995,55
"308",2803000,"Powiat działdowski",1995,95
"309",2804000,"Powiat elbląski",1995,76
"310",2805000,"Powiat ełcki",1995,206
"311",2806000,"Powiat giżycki",1995,102
"312",2807000,"Powiat iławski",1995,131
"313",2808000,"Powiat kętrzyński",1995,98
"314",2809000,"Powiat lidzbarski",1995,29
"315",2810000,"Powiat mrągowski",1995,118
"316",2811000,"Powiat nidzicki",1995,16
"317",2812000,"Powiat nowomiejski",1995,47
"318",2813000,"Powiat olecki",1995,65
"319",2814000,"Powiat olsztyński",1995,99
"320",2815000,"Powiat ostródzki",1995,166
"321",2816000,"Powiat piski",1995,69
"322",2817000,"Powiat szczycieński",1995,80
"323",2818000,"Powiat gołdapski",1995,NA
"324",2819000,"Powiat węgorzewski",1995,NA
"325",2861000,"Powiat m.Elbląg",1995,251
"326",2862000,"Powiat m.Olsztyn",1995,638
"327",3001000,"Powiat chodzieski",1995,40
"328",3002000,"Powiat czarnkowsko-trzcianecki",1995,68
"329",3003000,"Powiat gnieźnieński",1995,191
"330",3004000,"Powiat gostyński",1995,34
"331",3005000,"Powiat grodziski",1995,25
"332",3006000,"Powiat jarociński",1995,86
"333",3007000,"Powiat kaliski",1995,31
"334",3008000,"Powiat kępiński",1995,84
"335",3009000,"Powiat kolski",1995,210
"336",3010000,"Powiat koniński",1995,277
"337",3011000,"Powiat kościański",1995,101
"338",3012000,"Powiat krotoszyński",1995,62
"339",3013000,"Powiat leszczyński",1995,27
"340",3014000,"Powiat międzychodzki",1995,44
"341",3015000,"Powiat nowotomyski",1995,158
"342",3016000,"Powiat obornicki",1995,111
"343",3017000,"Powiat ostrowski",1995,116
"344",3018000,"Powiat ostrzeszowski",1995,74
"345",3019000,"Powiat pilski",1995,173
"346",3020000,"Powiat pleszewski",1995,120
"347",3021000,"Powiat poznański",1995,459
"348",3022000,"Powiat rawicki",1995,72
"349",3023000,"Powiat słupecki",1995,97
"350",3024000,"Powiat szamotulski",1995,193
"351",3025000,"Powiat średzki",1995,98
"352",3026000,"Powiat śremski",1995,49
"353",3027000,"Powiat turecki",1995,181
"354",3028000,"Powiat wągrowiecki",1995,46
"355",3029000,"Powiat wolsztyński",1995,23
"356",3030000,"Powiat wrzesiński",1995,119
"357",3031000,"Powiat złotowski",1995,52
