"","Kod","Nazwa","rok","URODZENIA_ZGONY_przyrost_naturalny_na_ludnosci"
"13182",2409000,"Powiat myszkowski",2003,-2.63
"13183",2410000,"Powiat pszczyński",2003,2.93
"13184",2411000,"Powiat raciborski",2003,-0.66
"13185",2412000,"Powiat rybnicki",2003,-0.03
"13186",2413000,"Powiat tarnogórski",2003,-1.17
"13187",2414000,"Powiat bieruńsko-lędziński",2003,2.19
"13188",2415000,"Powiat wodzisławski",2003,-0.09
"13189",2416000,"Powiat zawierciański",2003,-4.38
"13190",2417000,"Powiat żywiecki",2003,-0.44
"13191",2461000,"Powiat m.Bielsko-Biała",2003,-1.12
"13192",2462000,"Powiat m.Bytom",2003,-1.7
"13193",2463000,"Powiat m.Chorzów",2003,-4.76
"13194",2464000,"Powiat m.Częstochowa",2003,-2.63
"13195",2465000,"Powiat m.Dąbrowa Górnicza",2003,-2.45
"13196",2466000,"Powiat m.Gliwice",2003,-1.74
"13197",2467000,"Powiat m.Jastrzębie-Zdrój",2003,2.62
"13198",2468000,"Powiat m.Jaworzno",2003,-1.51
"13199",2469000,"Powiat m.Katowice",2003,-3.32
"13200",2470000,"Powiat m.Mysłowice",2003,-0.44
"13201",2471000,"Powiat m.Piekary Śląskie",2003,-3.21
"13202",2472000,"Powiat m.Ruda Śląska",2003,-1.47
"13203",2473000,"Powiat m.Rybnik",2003,1.15
"13204",2474000,"Powiat m.Siemianowice Śląskie",2003,-2.93
"13205",2475000,"Powiat m.Sosnowiec",2003,-3.12
"13206",2476000,"Powiat m.Świętochłowice",2003,-1.92
"13207",2477000,"Powiat m.Tychy",2003,1.46
"13208",2478000,"Powiat m.Zabrze",2003,-1.02
"13209",2479000,"Powiat m.Żory",2003,4.3
"13210",2601000,"Powiat buski",2003,-3.57
"13211",2602000,"Powiat jędrzejowski",2003,-2.72
"13212",2603000,"Powiat kazimierski",2003,-5.63
"13213",2604000,"Powiat kielecki",2003,0.79
"13214",2605000,"Powiat konecki",2003,-2.53
"13215",2606000,"Powiat opatowski",2003,-4.37
