"","Kod","Nazwa","rok","BEZROBOCIE_ogolem_w_proc_bezrobotnych_ogolem_proc"
"6669",1818000,"Powiat stalowowolski",2003,54.3
"6670",1819000,"Powiat strzyżowski",2003,59.8
"6671",1820000,"Powiat tarnobrzeski",2003,54
"6672",1821000,"Powiat leski",2003,47.6
"6673",1861000,"Powiat m.Krosno",2003,53.6
"6674",1862000,"Powiat m.Przemyśl",2003,58.1
"6675",1863000,"Powiat m.Rzeszów",2003,54.9
"6676",1864000,"Powiat m.Tarnobrzeg",2003,53.6
"6677",2001000,"Powiat augustowski",2003,53.8
"6678",2002000,"Powiat białostocki",2003,48.5
"6679",2003000,"Powiat bielski",2003,49.2
"6680",2004000,"Powiat grajewski",2003,59.5
"6681",2005000,"Powiat hajnowski",2003,46.2
"6682",2006000,"Powiat kolneński",2003,58.2
"6683",2007000,"Powiat łomżyński",2003,61.7
"6684",2008000,"Powiat moniecki",2003,53.2
"6685",2009000,"Powiat sejneński",2003,61.6
"6686",2010000,"Powiat siemiatycki",2003,50.5
"6687",2011000,"Powiat sokólski",2003,57.6
"6688",2012000,"Powiat suwalski",2003,54.7
"6689",2013000,"Powiat wysokomazowiecki",2003,59
"6690",2014000,"Powiat zambrowski",2003,56.8
"6691",2061000,"Powiat m.Białystok",2003,45.3
"6692",2062000,"Powiat m.Łomża",2003,56.5
"6693",2063000,"Powiat m.Suwałki",2003,47.9
"6694",2201000,"Powiat bytowski",2003,57.1
"6695",2202000,"Powiat chojnicki",2003,53.4
"6696",2203000,"Powiat człuchowski",2003,50.6
"6697",2204000,"Powiat gdański",2003,53.2
"6698",2205000,"Powiat kartuski",2003,53.2
"6699",2206000,"Powiat kościerski",2003,49
"6700",2207000,"Powiat kwidzyński",2003,52.8
"6701",2208000,"Powiat lęborski",2003,61.6
"6702",2209000,"Powiat malborski",2003,54.2
"6703",2210000,"Powiat nowodworski",2003,60.4
"6704",2211000,"Powiat pucki",2003,45.2
"6705",2212000,"Powiat słupski",2003,54.6
"6706",2213000,"Powiat starogardzki",2003,55.6
