"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_ogolem_zl"
"19300",2611000,"Powiat starachowicki",2015,2090
"19301",2612000,"Powiat staszowski",2015,2394
"19302",2613000,"Powiat włoszczowski",2015,2617
"19303",2661000,"Powiat m.Kielce",2015,3600
"19304",2801000,"Powiat bartoszycki",2015,1782
"19305",2802000,"Powiat braniewski",2015,2106
"19306",2803000,"Powiat działdowski",2015,2326
"19307",2804000,"Powiat elbląski",2015,2102
"19308",2805000,"Powiat ełcki",2015,2531
"19309",2806000,"Powiat giżycki",2015,2730
"19310",2807000,"Powiat iławski",2015,3066
"19311",2808000,"Powiat kętrzyński",2015,1703
"19312",2809000,"Powiat lidzbarski",2015,2119
"19313",2810000,"Powiat mrągowski",2015,2547
"19314",2811000,"Powiat nidzicki",2015,2200
"19315",2812000,"Powiat nowomiejski",2015,2326
"19316",2813000,"Powiat olecki",2015,2798
"19317",2814000,"Powiat olsztyński",2015,2504
"19318",2815000,"Powiat ostródzki",2015,2494
"19319",2816000,"Powiat piski",2015,2028
"19320",2817000,"Powiat szczycieński",2015,2611
"19321",2818000,"Powiat gołdapski",2015,1800
"19322",2819000,"Powiat węgorzewski",2015,2512
"19323",2861000,"Powiat m.Elbląg",2015,2797
"19324",2862000,"Powiat m.Olsztyn",2015,4105
"19325",3001000,"Powiat chodzieski",2015,2474
"19326",3002000,"Powiat czarnkowsko-trzcianecki",2015,1906
"19327",3003000,"Powiat gnieźnieński",2015,2755
"19328",3004000,"Powiat gostyński",2015,2163
"19329",3005000,"Powiat grodziski",2015,2674
"19330",3006000,"Powiat jarociński",2015,2835
"19331",3007000,"Powiat kaliski",2015,1389
"19332",3008000,"Powiat kępiński",2015,2843
"19333",3009000,"Powiat kolski",2015,2609
"19334",3010000,"Powiat koniński",2015,2129
"19335",3011000,"Powiat kościański",2015,2268
"19336",3012000,"Powiat krotoszyński",2015,2178
"19337",3013000,"Powiat leszczyński",2015,2426
"19338",3014000,"Powiat międzychodzki",2015,2261
"19339",3015000,"Powiat nowotomyski",2015,2842
"19340",3016000,"Powiat obornicki",2015,2773
"19341",3017000,"Powiat ostrowski",2015,2245
"19342",3018000,"Powiat ostrzeszowski",2015,2882
"19343",3019000,"Powiat pilski",2015,2660
"19344",3020000,"Powiat pleszewski",2015,2813
"19345",3021000,"Powiat poznański",2015,3928
"19346",3022000,"Powiat rawicki",2015,2510
"19347",3023000,"Powiat słupecki",2015,2405
"19348",3024000,"Powiat szamotulski",2015,2085
"19349",3025000,"Powiat średzki",2015,2840
"19350",3026000,"Powiat śremski",2015,2508
"19351",3027000,"Powiat turecki",2015,2246
"19352",3028000,"Powiat wągrowiecki",2015,3090
"19353",3029000,"Powiat wolsztyński",2015,2662
"19354",3030000,"Powiat wrzesiński",2015,3410
"19355",3031000,"Powiat złotowski",2015,2229
"19356",3061000,"Powiat m.Kalisz",2015,2638
"19357",3062000,"Powiat m.Konin",2015,2914
"19358",3063000,"Powiat m.Leszno",2015,3037
"19359",3064000,"Powiat m.Poznań",2015,4968
"19360",3201000,"Powiat białogardzki",2015,1791
"19361",3202000,"Powiat choszczeński",2015,2179
"19362",3203000,"Powiat drawski",2015,2198
"19363",3204000,"Powiat goleniowski",2015,2829
"19364",3205000,"Powiat gryficki",2015,2281
"19365",3206000,"Powiat gryfiński",2015,2431
"19366",3207000,"Powiat kamieński",2015,3277
"19367",3208000,"Powiat kołobrzeski",2015,4078
"19368",3209000,"Powiat koszaliński",2015,2067
"19369",3210000,"Powiat myśliborski",2015,2044
"19370",3211000,"Powiat policki",2015,3773
"19371",3212000,"Powiat pyrzycki",2015,2260
"19372",3213000,"Powiat sławieński",2015,2328
"19373",3214000,"Powiat stargardzki",2015,3095
"19374",3215000,"Powiat szczecinecki",2015,2330
"19375",3216000,"Powiat świdwiński",2015,1673
"19376",3217000,"Powiat wałecki",2015,2222
"19377",3218000,"Powiat łobeski",2015,1623
"19378",3261000,"Powiat m.Koszalin",2015,3218
"19379",3262000,"Powiat m.Szczecin",2015,3878
"19380",3263000,"Powiat m.Świnoujście",2015,4372
"19381",201000,"Powiat bolesławiecki",2016,2651
"19382",202000,"Powiat dzierżoniowski",2016,1885
"19383",203000,"Powiat głogowski",2016,3012
"19384",204000,"Powiat górowski",2016,2438
"19385",205000,"Powiat jaworski",2016,2067
"19386",206000,"Powiat jeleniogórski",2016,2206
"19387",207000,"Powiat kamiennogórski",2016,1417
"19388",208000,"Powiat kłodzki",2016,1833
"19389",209000,"Powiat legnicki",2016,2361
"19390",210000,"Powiat lubański",2016,2096
"19391",211000,"Powiat lubiński",2016,2915
"19392",212000,"Powiat lwówecki",2016,1399
"19393",213000,"Powiat milicki",2016,2351
"19394",214000,"Powiat oleśnicki",2016,3173
"19395",215000,"Powiat oławski",2016,3241
"19396",216000,"Powiat polkowicki",2016,2648
"19397",217000,"Powiat strzeliński",2016,2394
"19398",218000,"Powiat średzki",2016,3920
"19399",219000,"Powiat świdnicki",2016,2476
"19400",220000,"Powiat trzebnicki",2016,3344
"19401",221000,"Powiat wałbrzyski",2016,1336
"19402",222000,"Powiat wołowski",2016,2532
"19403",223000,"Powiat wrocławski",2016,4004
"19404",224000,"Powiat ząbkowicki",2016,1807
"19405",225000,"Powiat zgorzelecki",2016,2033
"19406",226000,"Powiat złotoryjski",2016,2221
"19407",261000,"Powiat m.Jelenia Góra",2016,2414
"19408",262000,"Powiat m.Legnica",2016,2545
"19409",264000,"Powiat m.Wrocław",2016,5000
"19410",265000,"Powiat m.Wałbrzych od 2013",2016,1831
"19411",401000,"Powiat aleksandrowski",2016,2991
"19412",402000,"Powiat brodnicki",2016,2203
"19413",403000,"Powiat bydgoski",2016,2857
"19414",404000,"Powiat chełmiński",2016,2355
"19415",405000,"Powiat golubsko-dobrzyński",2016,2229
"19416",406000,"Powiat grudziądzki",2016,1827
"19417",407000,"Powiat inowrocławski",2016,2661
"19418",408000,"Powiat lipnowski",2016,2084
"19419",409000,"Powiat mogileński",2016,2110
"19420",410000,"Powiat nakielski",2016,2700
"19421",411000,"Powiat radziejowski",2016,1882
"19422",412000,"Powiat rypiński",2016,1669
"19423",413000,"Powiat sępoleński",2016,1783
"19424",414000,"Powiat świecki",2016,2561
"19425",415000,"Powiat toruński",2016,2508
"19426",416000,"Powiat tucholski",2016,2294
"19427",417000,"Powiat wąbrzeski",2016,1925
"19428",418000,"Powiat włocławski",2016,1458
"19429",419000,"Powiat żniński",2016,2141
"19430",461000,"Powiat m.Bydgoszcz",2016,3650
"19431",462000,"Powiat m.Grudziądz",2016,2474
"19432",463000,"Powiat m.Toruń",2016,4062
