"","Kod","Nazwa","rok","DROGI_PUBLICZNE_POWIATOWE_CTAB_drogi_gminne_i_powiatowe_o_twardej_nawierzchni_na_10_tys_ludnosci_km"
"6117",407000,"Powiat inowrocławski",2006,53
"6118",408000,"Powiat lipnowski",2006,70.8
"6119",409000,"Powiat mogileński",2006,136.2
"6120",410000,"Powiat nakielski",2006,70
"6121",411000,"Powiat radziejowski",2006,145.4
"6122",412000,"Powiat rypiński",2006,74.3
"6123",413000,"Powiat sępoleński",2006,115.7
"6124",414000,"Powiat świecki",2006,77.6
"6125",415000,"Powiat toruński",2006,61.1
"6126",416000,"Powiat tucholski",2006,101.6
"6127",417000,"Powiat wąbrzeski",2006,78.1
"6128",418000,"Powiat włocławski",2006,106.3
"6129",419000,"Powiat żniński",2006,109.8
"6130",461000,"Powiat m.Bydgoszcz",2006,10.2
"6131",462000,"Powiat m.Grudziądz",2006,11.7
"6132",463000,"Powiat m.Toruń",2006,9.8
"6133",464000,"Powiat m.Włocławek",2006,9.6
"6134",601000,"Powiat bialski",2006,112.1
"6135",602000,"Powiat biłgorajski",2006,78.9
"6136",603000,"Powiat chełmski",2006,112.1
"6137",604000,"Powiat hrubieszowski",2006,128.7
"6138",605000,"Powiat janowski",2006,101.8
"6139",606000,"Powiat krasnostawski",2006,99.3
"6140",607000,"Powiat kraśnicki",2006,66.3
"6141",608000,"Powiat lubartowski",2006,70.6
"6142",609000,"Powiat lubelski",2006,95.1
"6143",610000,"Powiat łęczyński",2006,85.5
"6144",611000,"Powiat łukowski",2006,86.7
"6145",612000,"Powiat opolski",2006,84.2
"6146",613000,"Powiat parczewski",2006,107.7
"6147",614000,"Powiat puławski",2006,53
"6148",615000,"Powiat radzyński",2006,104
"6149",616000,"Powiat rycki",2006,84.6
"6150",617000,"Powiat świdnicki",2006,49.3
"6151",618000,"Powiat tomaszowski",2006,100.4
"6152",619000,"Powiat włodawski",2006,84.6
"6153",620000,"Powiat zamojski",2006,97.2
"6154",661000,"Powiat m.Biała Podlaska",2006,17.4
"6155",662000,"Powiat m.Chełm",2006,14.8
"6156",663000,"Powiat m.Lublin",2006,7.3
"6157",664000,"Powiat m.Zamość",2006,13.5
"6158",801000,"Powiat gorzowski",2006,75
"6159",802000,"Powiat krośnieński",2006,78.3
