"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_do_40_m2_zl"
"2355",662000,"Powiat m.Chełm",2016,2568
"2356",663000,"Powiat m.Lublin",2016,4933
"2357",664000,"Powiat m.Zamość",2016,3078
"2358",801000,"Powiat gorzowski",2016,2393
"2359",802000,"Powiat krośnieński",2016,2068
"2360",803000,"Powiat międzyrzecki",2016,2206
"2361",804000,"Powiat nowosolski",2016,1395
"2362",805000,"Powiat słubicki",2016,2931
"2363",806000,"Powiat strzelecko-drezdenecki",2016,2953
"2364",807000,"Powiat sulęciński",2016,2137
"2365",808000,"Powiat świebodziński",2016,2996
"2366",809000,"Powiat zielonogórski",2016,2251
"2367",810000,"Powiat żagański",2016,1639
"2368",811000,"Powiat żarski",2016,2097
"2369",812000,"Powiat wschowski",2016,1688
"2370",861000,"Powiat m.Gorzów Wielkopolski",2016,3261
"2371",862000,"Powiat m.Zielona Góra",2016,3464
"2372",1001000,"Powiat bełchatowski",2016,2849
"2373",1002000,"Powiat kutnowski",2016,2683
"2374",1003000,"Powiat łaski",2016,2232
"2375",1004000,"Powiat łęczycki",2016,2328
"2376",1005000,"Powiat łowicki",2016,3410
"2377",1006000,"Powiat łódzki wschodni",2016,2350
"2378",1007000,"Powiat opoczyński",2016,2501
"2379",1008000,"Powiat pabianicki",2016,2241
"2380",1009000,"Powiat pajęczański",2016,3096
"2381",1010000,"Powiat piotrkowski",2016,1851
"2382",1011000,"Powiat poddębicki",2016,2342
"2383",1012000,"Powiat radomszczański",2016,2248
"2384",1013000,"Powiat rawski",2016,3030
"2385",1014000,"Powiat sieradzki",2016,2577
"2386",1015000,"Powiat skierniewicki",2016,0
"2387",1016000,"Powiat tomaszowski",2016,2435
"2388",1017000,"Powiat wieluński",2016,2623
"2389",1018000,"Powiat wieruszowski",2016,2579
"2390",1019000,"Powiat zduńskowolski",2016,2554
"2391",1020000,"Powiat zgierski",2016,2616
"2392",1021000,"Powiat brzeziński",2016,2699
"2393",1061000,"Powiat m.Łódź",2016,3298
"2394",1062000,"Powiat m.Piotrków Trybunalski",2016,2156
"2395",1063000,"Powiat m.Skierniewice",2016,3244
"2396",1201000,"Powiat bocheński",2016,3927
"2397",1202000,"Powiat brzeski",2016,3843
"2398",1203000,"Powiat chrzanowski",2016,2387
"2399",1204000,"Powiat dąbrowski",2016,2360
"2400",1205000,"Powiat gorlicki",2016,2388
"2401",1206000,"Powiat krakowski",2016,4301
"2402",1207000,"Powiat limanowski",2016,3179
"2403",1208000,"Powiat miechowski",2016,3668
"2404",1209000,"Powiat myślenicki",2016,4379
"2405",1210000,"Powiat nowosądecki",2016,6277
"2406",1211000,"Powiat nowotarski",2016,4351
"2407",1212000,"Powiat olkuski",2016,2906
"2408",1213000,"Powiat oświęcimski",2016,2500
"2409",1214000,"Powiat proszowicki",2016,2691
"2410",1215000,"Powiat suski",2016,2667
"2411",1216000,"Powiat tarnowski",2016,0
"2412",1217000,"Powiat tatrzański",2016,7956
"2413",1218000,"Powiat wadowicki",2016,3429
"2414",1219000,"Powiat wielicki",2016,5105
"2415",1261000,"Powiat m.Kraków",2016,6345
"2416",1262000,"Powiat m.Nowy Sącz",2016,3232
"2417",1263000,"Powiat m.Tarnów",2016,2782
"2418",1401000,"Powiat białobrzeski",2016,3562
"2419",1402000,"Powiat ciechanowski",2016,3403
"2420",1403000,"Powiat garwoliński",2016,3208
"2421",1404000,"Powiat gostyniński",2016,2219
"2422",1405000,"Powiat grodziski",2016,4054
"2423",1406000,"Powiat grójecki",2016,3383
"2424",1407000,"Powiat kozienicki",2016,2864
"2425",1408000,"Powiat legionowski",2016,4559
"2426",1409000,"Powiat lipski",2016,0
"2427",1410000,"Powiat łosicki",2016,2833
"2428",1411000,"Powiat makowski",2016,0
"2429",1412000,"Powiat miński",2016,3865
"2430",1413000,"Powiat mławski",2016,2871
"2431",1414000,"Powiat nowodworski",2016,4142
"2432",1415000,"Powiat ostrołęcki",2016,0
"2433",1416000,"Powiat ostrowski",2016,2735
"2434",1417000,"Powiat otwocki",2016,4556
"2435",1418000,"Powiat piaseczyński",2016,5499
"2436",1419000,"Powiat płocki",2016,1774
"2437",1420000,"Powiat płoński",2016,3350
"2438",1421000,"Powiat pruszkowski",2016,5238
"2439",1422000,"Powiat przasnyski",2016,2396
"2440",1423000,"Powiat przysuski",2016,1860
"2441",1424000,"Powiat pułtuski",2016,3241
"2442",1425000,"Powiat radomski",2016,1558
"2443",1426000,"Powiat siedlecki",2016,0
"2444",1427000,"Powiat sierpecki",2016,2333
"2445",1428000,"Powiat sochaczewski",2016,3450
"2446",1429000,"Powiat sokołowski",2016,2870
"2447",1430000,"Powiat szydłowiecki",2016,1907
