"","Kod","Nazwa","rok","Budynki_mieszkalne_w_gminie_ogolem"
"390",210000,"Powiat lubański",2009,8289
"391",211000,"Powiat lubiński",2009,9075
"392",212000,"Powiat lwówecki",2009,8700
"393",213000,"Powiat milicki",2009,6371
"394",214000,"Powiat oleśnicki",2009,14632
"395",215000,"Powiat oławski",2009,9006
"396",216000,"Powiat polkowicki",2009,7957
"397",217000,"Powiat strzeliński",2009,7505
"398",218000,"Powiat średzki",2009,9090
"399",219000,"Powiat świdnicki",2009,15221
"400",220000,"Powiat trzebnicki",2009,14432
"401",221000,"Powiat wałbrzyski",2009,14322
"402",222000,"Powiat wołowski",2009,7278
"403",223000,"Powiat wrocławski",2009,23544
"404",224000,"Powiat ząbkowicki",2009,11309
"405",225000,"Powiat zgorzelecki",2009,12408
"406",226000,"Powiat złotoryjski",2009,6421
"407",261000,"Powiat m.Jelenia Góra",2009,7212
"408",262000,"Powiat m.Legnica",2009,6391
"409",264000,"Powiat m.Wrocław",2009,36279
"410",265000,"Powiat m.Wałbrzych od 2013",2009,NA
"411",401000,"Powiat aleksandrowski",2009,11880
"412",402000,"Powiat brodnicki",2009,14048
"413",403000,"Powiat bydgoski",2009,20263
"414",404000,"Powiat chełmiński",2009,7375
"415",405000,"Powiat golubsko-dobrzyński",2009,8081
"416",406000,"Powiat grudziądzki",2009,7358
"417",407000,"Powiat inowrocławski",2009,17181
"418",408000,"Powiat lipnowski",2009,13732
"419",409000,"Powiat mogileński",2009,8214
"420",410000,"Powiat nakielski",2009,12087
"421",411000,"Powiat radziejowski",2009,9630
"422",412000,"Powiat rypiński",2009,7921
"423",413000,"Powiat sępoleński",2009,6652
"424",414000,"Powiat świecki",2009,16091
"425",415000,"Powiat toruński",2009,17344
"426",416000,"Powiat tucholski",2009,9418
"427",417000,"Powiat wąbrzeski",2009,5751
"428",418000,"Powiat włocławski",2009,20078
"429",419000,"Powiat żniński",2009,10585
"430",461000,"Powiat m.Bydgoszcz",2009,22498
"431",462000,"Powiat m.Grudziądz",2009,5154
"432",463000,"Powiat m.Toruń",2009,12906
"433",464000,"Powiat m.Włocławek",2009,8011
"434",601000,"Powiat bialski",2009,31560
"435",602000,"Powiat biłgorajski",2009,24858
"436",603000,"Powiat chełmski",2009,24176
"437",604000,"Powiat hrubieszowski",2009,16287
"438",605000,"Powiat janowski",2009,11448
"439",606000,"Powiat krasnostawski",2009,19671
"440",607000,"Powiat kraśnicki",2009,21001
"441",608000,"Powiat lubartowski",2009,23129
"442",609000,"Powiat lubelski",2009,40920
"443",610000,"Powiat łęczyński",2009,11047
"444",611000,"Powiat łukowski",2009,24743
"445",612000,"Powiat opolski",2009,15815
"446",613000,"Powiat parczewski",2009,9592
"447",614000,"Powiat puławski",2009,23085
"448",615000,"Powiat radzyński",2009,15716
"449",616000,"Powiat rycki",2009,13949
"450",617000,"Powiat świdnicki",2009,12254
"451",618000,"Powiat tomaszowski",2009,22305
"452",619000,"Powiat włodawski",2009,9507
"453",620000,"Powiat zamojski",2009,32825
"454",661000,"Powiat m.Biała Podlaska",2009,8030
"455",662000,"Powiat m.Chełm",2009,6498
"456",663000,"Powiat m.Lublin",2009,21103
"457",664000,"Powiat m.Zamość",2009,5901
"458",801000,"Powiat gorzowski",2009,12100
"459",802000,"Powiat krośnieński",2009,9702
"460",803000,"Powiat międzyrzecki",2009,8300
"461",804000,"Powiat nowosolski",2009,11994
"462",805000,"Powiat słubicki",2009,6521
"463",806000,"Powiat strzelecko-drezdenecki",2009,7904
"464",807000,"Powiat sulęciński",2009,6102
"465",808000,"Powiat świebodziński",2009,7923
"466",809000,"Powiat zielonogórski",2009,17106
"467",810000,"Powiat żagański",2009,11128
"468",811000,"Powiat żarski",2009,14667
"469",812000,"Powiat wschowski",2009,6593
"470",861000,"Powiat m.Gorzów Wielkopolski",2009,7030
"471",862000,"Powiat m.Zielona Góra",2009,7983
"472",1001000,"Powiat bełchatowski",2009,20697
"473",1002000,"Powiat kutnowski",2009,17028
"474",1003000,"Powiat łaski",2009,12681
"475",1004000,"Powiat łęczycki",2009,10897
"476",1005000,"Powiat łowicki",2009,19060
"477",1006000,"Powiat łódzki wschodni",2009,18340
"478",1007000,"Powiat opoczyński",2009,19752
"479",1008000,"Powiat pabianicki",2009,19040
"480",1009000,"Powiat pajęczański",2009,14324
"481",1010000,"Powiat piotrkowski",2009,26355
"482",1011000,"Powiat poddębicki",2009,12080
"483",1012000,"Powiat radomszczański",2009,29303
"484",1013000,"Powiat rawski",2009,10756
"485",1014000,"Powiat sieradzki",2009,24233
"486",1015000,"Powiat skierniewicki",2009,11363
"487",1016000,"Powiat tomaszowski",2009,23482
"488",1017000,"Powiat wieluński",2009,17525
"489",1018000,"Powiat wieruszowski",2009,10765
"490",1019000,"Powiat zduńskowolski",2009,11455
"491",1020000,"Powiat zgierski",2009,30790
"492",1021000,"Powiat brzeziński",2009,7635
"493",1061000,"Powiat m.Łódź",2009,42481
"494",1062000,"Powiat m.Piotrków Trybunalski",2009,6877
"495",1063000,"Powiat m.Skierniewice",2009,6079
"496",1201000,"Powiat bocheński",2009,23953
"497",1202000,"Powiat brzeski",2009,22696
"498",1203000,"Powiat chrzanowski",2009,23116
"499",1204000,"Powiat dąbrowski",2009,14372
"500",1205000,"Powiat gorlicki",2009,22577
"501",1206000,"Powiat krakowski",2009,64220
"502",1207000,"Powiat limanowski",2009,28101
"503",1208000,"Powiat miechowski",2009,13908
"504",1209000,"Powiat myślenicki",2009,27102
"505",1210000,"Powiat nowosądecki",2009,42316
"506",1211000,"Powiat nowotarski",2009,41071
"507",1212000,"Powiat olkuski",2009,21960
"508",1213000,"Powiat oświęcimski",2009,25331
"509",1214000,"Powiat proszowicki",2009,10919
"510",1215000,"Powiat suski",2009,21290
"511",1216000,"Powiat tarnowski",2009,48583
"512",1217000,"Powiat tatrzański",2009,16042
"513",1218000,"Powiat wadowicki",2009,32618
"514",1219000,"Powiat wielicki",2009,28090
"515",1261000,"Powiat m.Kraków",2009,43557
"516",1262000,"Powiat m.Nowy Sącz",2009,10563
"517",1263000,"Powiat m.Tarnów",2009,10411
"518",1401000,"Powiat białobrzeski",2009,9708
"519",1402000,"Powiat ciechanowski",2009,16442
"520",1403000,"Powiat garwoliński",2009,27182
"521",1404000,"Powiat gostyniński",2009,9529
"522",1405000,"Powiat grodziski",2009,20448
"523",1406000,"Powiat grójecki",2009,23932
"524",1407000,"Powiat kozienicki",2009,14834
"525",1408000,"Powiat legionowski",2009,18883
"526",1409000,"Powiat lipski",2009,11585
"527",1410000,"Powiat łosicki",2009,9301
"528",1411000,"Powiat makowski",2009,11430
"529",1412000,"Powiat miński",2009,35740
"530",1413000,"Powiat mławski",2009,15364
"531",1414000,"Powiat nowodworski",2009,15532
"532",1415000,"Powiat ostrołęcki",2009,21931
"533",1416000,"Powiat ostrowski",2009,17814
"534",1417000,"Powiat otwocki",2009,26703
"535",1418000,"Powiat piaseczyński",2009,35282
"536",1419000,"Powiat płocki",2009,27525
"537",1420000,"Powiat płoński",2009,19716
"538",1421000,"Powiat pruszkowski",2009,28491
"539",1422000,"Powiat przasnyski",2009,11022
"540",1423000,"Powiat przysuski",2009,12546
"541",1424000,"Powiat pułtuski",2009,11493
"542",1425000,"Powiat radomski",2009,34420
"543",1426000,"Powiat siedlecki",2009,23701
"544",1427000,"Powiat sierpecki",2009,11039
"545",1428000,"Powiat sochaczewski",2009,17931
"546",1429000,"Powiat sokołowski",2009,15914
