"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_40_do_60_m2_szt"
"23162",3203000,"Powiat drawski",2015,69
"23163",3204000,"Powiat goleniowski",2015,129
"23164",3205000,"Powiat gryficki",2015,74
"23165",3206000,"Powiat gryfiński",2015,111
"23166",3207000,"Powiat kamieński",2015,47
"23167",3208000,"Powiat kołobrzeski",2015,189
"23168",3209000,"Powiat koszaliński",2015,76
"23169",3210000,"Powiat myśliborski",2015,64
"23170",3211000,"Powiat policki",2015,66
"23171",3212000,"Powiat pyrzycki",2015,45
"23172",3213000,"Powiat sławieński",2015,50
"23173",3214000,"Powiat stargardzki",2015,244
"23174",3215000,"Powiat szczecinecki",2015,107
"23175",3216000,"Powiat świdwiński",2015,52
"23176",3217000,"Powiat wałecki",2015,94
"23177",3218000,"Powiat łobeski",2015,51
"23178",3261000,"Powiat m.Koszalin",2015,245
"23179",3262000,"Powiat m.Szczecin",2015,715
"23180",3263000,"Powiat m.Świnoujście",2015,116
"23181",201000,"Powiat bolesławiecki",2016,221
"23182",202000,"Powiat dzierżoniowski",2016,120
"23183",203000,"Powiat głogowski",2016,191
"23184",204000,"Powiat górowski",2016,3
"23185",205000,"Powiat jaworski",2016,35
"23186",206000,"Powiat jeleniogórski",2016,53
"23187",207000,"Powiat kamiennogórski",2016,43
"23188",208000,"Powiat kłodzki",2016,177
"23189",209000,"Powiat legnicki",2016,41
"23190",210000,"Powiat lubański",2016,76
"23191",211000,"Powiat lubiński",2016,179
"23192",212000,"Powiat lwówecki",2016,33
"23193",213000,"Powiat milicki",2016,38
"23194",214000,"Powiat oleśnicki",2016,174
"23195",215000,"Powiat oławski",2016,96
"23196",216000,"Powiat polkowicki",2016,80
"23197",217000,"Powiat strzeliński",2016,49
"23198",218000,"Powiat średzki",2016,21
"23199",219000,"Powiat świdnicki",2016,302
"23200",220000,"Powiat trzebnicki",2016,93
"23201",221000,"Powiat wałbrzyski",2016,89
"23202",222000,"Powiat wołowski",2016,120
"23203",223000,"Powiat wrocławski",2016,128
"23204",224000,"Powiat ząbkowicki",2016,67
"23205",225000,"Powiat zgorzelecki",2016,37
"23206",226000,"Powiat złotoryjski",2016,38
"23207",261000,"Powiat m.Jelenia Góra",2016,301
"23208",262000,"Powiat m.Legnica",2016,219
"23209",264000,"Powiat m.Wrocław",2016,2576
"23210",265000,"Powiat m.Wałbrzych od 2013",2016,261
"23211",401000,"Powiat aleksandrowski",2016,74
"23212",402000,"Powiat brodnicki",2016,65
"23213",403000,"Powiat bydgoski",2016,44
"23214",404000,"Powiat chełmiński",2016,33
"23215",405000,"Powiat golubsko-dobrzyński",2016,27
"23216",406000,"Powiat grudziądzki",2016,16
"23217",407000,"Powiat inowrocławski",2016,215
"23218",408000,"Powiat lipnowski",2016,31
"23219",409000,"Powiat mogileński",2016,31
"23220",410000,"Powiat nakielski",2016,84
"23221",411000,"Powiat radziejowski",2016,15
"23222",412000,"Powiat rypiński",2016,22
"23223",413000,"Powiat sępoleński",2016,36
"23224",414000,"Powiat świecki",2016,60
"23225",415000,"Powiat toruński",2016,80
"23226",416000,"Powiat tucholski",2016,23
"23227",417000,"Powiat wąbrzeski",2016,16
"23228",418000,"Powiat włocławski",2016,12
"23229",419000,"Powiat żniński",2016,40
"23230",461000,"Powiat m.Bydgoszcz",2016,772
"23231",462000,"Powiat m.Grudziądz",2016,204
"23232",463000,"Powiat m.Toruń",2016,350
"23233",464000,"Powiat m.Włocławek",2016,152
"23234",601000,"Powiat bialski",2016,13
"23235",602000,"Powiat biłgorajski",2016,15
"23236",603000,"Powiat chełmski",2016,6
"23237",604000,"Powiat hrubieszowski",2016,38
"23238",605000,"Powiat janowski",2016,8
"23239",606000,"Powiat krasnostawski",2016,14
"23240",607000,"Powiat kraśnicki",2016,41
"23241",608000,"Powiat lubartowski",2016,51
"23242",609000,"Powiat lubelski",2016,34
"23243",610000,"Powiat łęczyński",2016,15
"23244",611000,"Powiat łukowski",2016,32
"23245",612000,"Powiat opolski",2016,13
"23246",613000,"Powiat parczewski",2016,11
"23247",614000,"Powiat puławski",2016,79
"23248",615000,"Powiat radzyński",2016,31
"23249",616000,"Powiat rycki",2016,51
"23250",617000,"Powiat świdnicki",2016,40
"23251",618000,"Powiat tomaszowski",2016,20
"23252",619000,"Powiat włodawski",2016,17
"23253",620000,"Powiat zamojski",2016,8
"23254",661000,"Powiat m.Biała Podlaska",2016,72
"23255",662000,"Powiat m.Chełm",2016,91
"23256",663000,"Powiat m.Lublin",2016,599
"23257",664000,"Powiat m.Zamość",2016,86
"23258",801000,"Powiat gorzowski",2016,98
"23259",802000,"Powiat krośnieński",2016,84
"23260",803000,"Powiat międzyrzecki",2016,100
"23261",804000,"Powiat nowosolski",2016,103
"23262",805000,"Powiat słubicki",2016,91
"23263",806000,"Powiat strzelecko-drezdenecki",2016,72
"23264",807000,"Powiat sulęciński",2016,45
"23265",808000,"Powiat świebodziński",2016,74
"23266",809000,"Powiat zielonogórski",2016,71
"23267",810000,"Powiat żagański",2016,113
"23268",811000,"Powiat żarski",2016,155
"23269",812000,"Powiat wschowski",2016,22
"23270",861000,"Powiat m.Gorzów Wielkopolski",2016,311
"23271",862000,"Powiat m.Zielona Góra",2016,362
"23272",1001000,"Powiat bełchatowski",2016,122
"23273",1002000,"Powiat kutnowski",2016,17
"23274",1003000,"Powiat łaski",2016,28
"23275",1004000,"Powiat łęczycki",2016,24
"23276",1005000,"Powiat łowicki",2016,26
"23277",1006000,"Powiat łódzki wschodni",2016,7
"23278",1007000,"Powiat opoczyński",2016,22
"23279",1008000,"Powiat pabianicki",2016,92
"23280",1009000,"Powiat pajęczański",2016,3
"23281",1010000,"Powiat piotrkowski",2016,5
"23282",1011000,"Powiat poddębicki",2016,16
"23283",1012000,"Powiat radomszczański",2016,36
"23284",1013000,"Powiat rawski",2016,22
"23285",1014000,"Powiat sieradzki",2016,44
"23286",1015000,"Powiat skierniewicki",2016,0
"23287",1016000,"Powiat tomaszowski",2016,97
"23288",1017000,"Powiat wieluński",2016,17
"23289",1018000,"Powiat wieruszowski",2016,17
"23290",1019000,"Powiat zduńskowolski",2016,36
"23291",1020000,"Powiat zgierski",2016,99
"23292",1021000,"Powiat brzeziński",2016,13
"23293",1061000,"Powiat m.Łódź",2016,1696
"23294",1062000,"Powiat m.Piotrków Trybunalski",2016,77
"23295",1063000,"Powiat m.Skierniewice",2016,59
"23296",1201000,"Powiat bocheński",2016,29
"23297",1202000,"Powiat brzeski",2016,14
"23298",1203000,"Powiat chrzanowski",2016,131
"23299",1204000,"Powiat dąbrowski",2016,11
"23300",1205000,"Powiat gorlicki",2016,29
"23301",1206000,"Powiat krakowski",2016,58
"23302",1207000,"Powiat limanowski",2016,20
"23303",1208000,"Powiat miechowski",2016,11
"23304",1209000,"Powiat myślenicki",2016,16
"23305",1210000,"Powiat nowosądecki",2016,49
"23306",1211000,"Powiat nowotarski",2016,28
"23307",1212000,"Powiat olkuski",2016,75
"23308",1213000,"Powiat oświęcimski",2016,138
"23309",1214000,"Powiat proszowicki",2016,10
"23310",1215000,"Powiat suski",2016,13
"23311",1216000,"Powiat tarnowski",2016,0
"23312",1217000,"Powiat tatrzański",2016,39
"23313",1218000,"Powiat wadowicki",2016,46
"23314",1219000,"Powiat wielicki",2016,80
"23315",1261000,"Powiat m.Kraków",2016,1513
"23316",1262000,"Powiat m.Nowy Sącz",2016,131
"23317",1263000,"Powiat m.Tarnów",2016,191
"23318",1401000,"Powiat białobrzeski",2016,7
"23319",1402000,"Powiat ciechanowski",2016,44
"23320",1403000,"Powiat garwoliński",2016,17
"23321",1404000,"Powiat gostyniński",2016,24
"23322",1405000,"Powiat grodziski",2016,58
"23323",1406000,"Powiat grójecki",2016,33
"23324",1407000,"Powiat kozienicki",2016,38
"23325",1408000,"Powiat legionowski",2016,100
"23326",1409000,"Powiat lipski",2016,0
"23327",1410000,"Powiat łosicki",2016,19
"23328",1411000,"Powiat makowski",2016,0
"23329",1412000,"Powiat miński",2016,70
"23330",1413000,"Powiat mławski",2016,38
"23331",1414000,"Powiat nowodworski",2016,79
"23332",1415000,"Powiat ostrołęcki",2016,0
"23333",1416000,"Powiat ostrowski",2016,19
"23334",1417000,"Powiat otwocki",2016,69
"23335",1418000,"Powiat piaseczyński",2016,238
"23336",1419000,"Powiat płocki",2016,14
"23337",1420000,"Powiat płoński",2016,29
"23338",1421000,"Powiat pruszkowski",2016,142
"23339",1422000,"Powiat przasnyski",2016,20
"23340",1423000,"Powiat przysuski",2016,4
"23341",1424000,"Powiat pułtuski",2016,24
"23342",1425000,"Powiat radomski",2016,23
"23343",1426000,"Powiat siedlecki",2016,4
"23344",1427000,"Powiat sierpecki",2016,21
"23345",1428000,"Powiat sochaczewski",2016,55
"23346",1429000,"Powiat sokołowski",2016,21
"23347",1430000,"Powiat szydłowiecki",2016,8
"23348",1432000,"Powiat warszawski zachodni",2016,55
"23349",1433000,"Powiat węgrowski",2016,12
"23350",1434000,"Powiat wołomiński",2016,200
"23351",1435000,"Powiat wyszkowski",2016,67
"23352",1436000,"Powiat zwoleński",2016,0
"23353",1437000,"Powiat żuromiński",2016,19
"23354",1438000,"Powiat żyrardowski",2016,54
"23355",1461000,"Powiat m.Ostrołęka",2016,62
"23356",1462000,"Powiat m.Płock",2016,211
"23357",1463000,"Powiat m.Radom",2016,183
"23358",1464000,"Powiat m.Siedlce",2016,210
"23359",1465000,"Powiat m. st. Warszawa",2016,5169
"23360",1601000,"Powiat brzeski",2016,154
"23361",1602000,"Powiat głubczycki",2016,42
"23362",1603000,"Powiat kędzierzyńsko-kozielski",2016,145
"23363",1604000,"Powiat kluczborski",2016,66
"23364",1605000,"Powiat krapkowicki",2016,56
"23365",1606000,"Powiat namysłowski",2016,81
"23366",1607000,"Powiat nyski",2016,152
"23367",1608000,"Powiat oleski",2016,25
