"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_niepelnosprawnosc"
"9789",2479000,"Powiat m.Żory",2014,261
"9790",2601000,"Powiat buski",2014,765
"9791",2602000,"Powiat jędrzejowski",2014,851
"9792",2603000,"Powiat kazimierski",2014,238
"9793",2604000,"Powiat kielecki",2014,2506
"9794",2605000,"Powiat konecki",2014,1252
"9795",2606000,"Powiat opatowski",2014,641
"9796",2607000,"Powiat ostrowiecki",2014,1970
"9797",2608000,"Powiat pińczowski",2014,418
"9798",2609000,"Powiat sandomierski",2014,911
"9799",2610000,"Powiat skarżyski",2014,989
"9800",2611000,"Powiat starachowicki",2014,1397
"9801",2612000,"Powiat staszowski",2014,990
"9802",2613000,"Powiat włoszczowski",2014,503
"9803",2661000,"Powiat m.Kielce",2014,5140
"9804",2801000,"Powiat bartoszycki",2014,1388
"9805",2802000,"Powiat braniewski",2014,852
"9806",2803000,"Powiat działdowski",2014,890
"9807",2804000,"Powiat elbląski",2014,1449
"9808",2805000,"Powiat ełcki",2014,1263
"9809",2806000,"Powiat giżycki",2014,730
"9810",2807000,"Powiat iławski",2014,1845
"9811",2808000,"Powiat kętrzyński",2014,1285
"9812",2809000,"Powiat lidzbarski",2014,799
"9813",2810000,"Powiat mrągowski",2014,925
"9814",2811000,"Powiat nidzicki",2014,650
"9815",2812000,"Powiat nowomiejski",2014,1024
"9816",2813000,"Powiat olecki",2014,252
"9817",2814000,"Powiat olsztyński",2014,1663
"9818",2815000,"Powiat ostródzki",2014,1680
"9819",2816000,"Powiat piski",2014,617
"9820",2817000,"Powiat szczycieński",2014,1594
"9821",2818000,"Powiat gołdapski",2014,282
"9822",2819000,"Powiat węgorzewski",2014,303
"9823",2861000,"Powiat m.Elbląg",2014,2453
"9824",2862000,"Powiat m.Olsztyn",2014,2437
"9825",3001000,"Powiat chodzieski",2014,546
"9826",3002000,"Powiat czarnkowsko-trzcianecki",2014,994
"9827",3003000,"Powiat gnieźnieński",2014,1527
"9828",3004000,"Powiat gostyński",2014,679
"9829",3005000,"Powiat grodziski",2014,475
"9830",3006000,"Powiat jarociński",2014,669
"9831",3007000,"Powiat kaliski",2014,722
"9832",3008000,"Powiat kępiński",2014,489
"9833",3009000,"Powiat kolski",2014,853
"9834",3010000,"Powiat koniński",2014,1193
"9835",3011000,"Powiat kościański",2014,854
"9836",3012000,"Powiat krotoszyński",2014,494
"9837",3013000,"Powiat leszczyński",2014,511
"9838",3014000,"Powiat międzychodzki",2014,580
"9839",3015000,"Powiat nowotomyski",2014,649
"9840",3016000,"Powiat obornicki",2014,655
"9841",3017000,"Powiat ostrowski",2014,1432
"9842",3018000,"Powiat ostrzeszowski",2014,629
"9843",3019000,"Powiat pilski",2014,1479
"9844",3020000,"Powiat pleszewski",2014,934
"9845",3021000,"Powiat poznański",2014,1814
"9846",3022000,"Powiat rawicki",2014,558
"9847",3023000,"Powiat słupecki",2014,455
"9848",3024000,"Powiat szamotulski",2014,771
"9849",3025000,"Powiat średzki",2014,462
"9850",3026000,"Powiat śremski",2014,677
"9851",3027000,"Powiat turecki",2014,870
"9852",3028000,"Powiat wągrowiecki",2014,961
"9853",3029000,"Powiat wolsztyński",2014,456
"9854",3030000,"Powiat wrzesiński",2014,1062
"9855",3031000,"Powiat złotowski",2014,967
"9856",3061000,"Powiat m.Kalisz",2014,1444
"9857",3062000,"Powiat m.Konin",2014,572
"9858",3063000,"Powiat m.Leszno",2014,736
"9859",3064000,"Powiat m.Poznań",2014,4084
"9860",3201000,"Powiat białogardzki",2014,378
"9861",3202000,"Powiat choszczeński",2014,766
"9862",3203000,"Powiat drawski",2014,574
"9863",3204000,"Powiat goleniowski",2014,1112
"9864",3205000,"Powiat gryficki",2014,1082
"9865",3206000,"Powiat gryfiński",2014,1193
"9866",3207000,"Powiat kamieński",2014,669
"9867",3208000,"Powiat kołobrzeski",2014,835
"9868",3209000,"Powiat koszaliński",2014,641
"9869",3210000,"Powiat myśliborski",2014,886
"9870",3211000,"Powiat policki",2014,725
"9871",3212000,"Powiat pyrzycki",2014,549
"9872",3213000,"Powiat sławieński",2014,805
"9873",3214000,"Powiat stargardzki",2014,1778
"9874",3215000,"Powiat szczecinecki",2014,1407
"9875",3216000,"Powiat świdwiński",2014,682
"9876",3217000,"Powiat wałecki",2014,604
"9877",3218000,"Powiat łobeski",2014,427
"9878",3261000,"Powiat m.Koszalin",2014,1230
"9879",3262000,"Powiat m.Szczecin",2014,3436
"9880",3263000,"Powiat m.Świnoujście",2014,421
"9881",201000,"Powiat bolesławiecki",2015,801
"9882",202000,"Powiat dzierżoniowski",2015,958
"9883",203000,"Powiat głogowski",2015,723
"9884",204000,"Powiat górowski",2015,584
"9885",205000,"Powiat jaworski",2015,532
"9886",206000,"Powiat jeleniogórski",2015,718
"9887",207000,"Powiat kamiennogórski",2015,392
"9888",208000,"Powiat kłodzki",2015,2052
"9889",209000,"Powiat legnicki",2015,646
"9890",210000,"Powiat lubański",2015,557
"9891",211000,"Powiat lubiński",2015,883
"9892",212000,"Powiat lwówecki",2015,616
"9893",213000,"Powiat milicki",2015,433
"9894",214000,"Powiat oleśnicki",2015,857
"9895",215000,"Powiat oławski",2015,541
"9896",216000,"Powiat polkowicki",2015,667
"9897",217000,"Powiat strzeliński",2015,530
"9898",218000,"Powiat średzki",2015,419
"9899",219000,"Powiat świdnicki",2015,1586
"9900",220000,"Powiat trzebnicki",2015,574
"9901",221000,"Powiat wałbrzyski",2015,658
"9902",222000,"Powiat wołowski",2015,505
"9903",223000,"Powiat wrocławski",2015,607
"9904",224000,"Powiat ząbkowicki",2015,807
"9905",225000,"Powiat zgorzelecki",2015,966
"9906",226000,"Powiat złotoryjski",2015,687
"9907",261000,"Powiat m.Jelenia Góra",2015,946
"9908",262000,"Powiat m.Legnica",2015,1174
"9909",264000,"Powiat m.Wrocław",2015,3105
"9910",265000,"Powiat m.Wałbrzych od 2013",2015,2066
"9911",401000,"Powiat aleksandrowski",2015,774
"9912",402000,"Powiat brodnicki",2015,878
"9913",403000,"Powiat bydgoski",2015,1207
"9914",404000,"Powiat chełmiński",2015,701
"9915",405000,"Powiat golubsko-dobrzyński",2015,548
"9916",406000,"Powiat grudziądzki",2015,393
"9917",407000,"Powiat inowrocławski",2015,2460
"9918",408000,"Powiat lipnowski",2015,1045
"9919",409000,"Powiat mogileński",2015,503
"9920",410000,"Powiat nakielski",2015,1160
"9921",411000,"Powiat radziejowski",2015,676
"9922",412000,"Powiat rypiński",2015,626
"9923",413000,"Powiat sępoleński",2015,605
"9924",414000,"Powiat świecki",2015,1805
"9925",415000,"Powiat toruński",2015,869
"9926",416000,"Powiat tucholski",2015,792
"9927",417000,"Powiat wąbrzeski",2015,522
"9928",418000,"Powiat włocławski",2015,984
"9929",419000,"Powiat żniński",2015,883
"9930",461000,"Powiat m.Bydgoszcz",2015,3529
"9931",462000,"Powiat m.Grudziądz",2015,1596
"9932",463000,"Powiat m.Toruń",2015,1758
"9933",464000,"Powiat m.Włocławek",2015,1542
"9934",601000,"Powiat bialski",2015,1061
"9935",602000,"Powiat biłgorajski",2015,1085
"9936",603000,"Powiat chełmski",2015,954
"9937",604000,"Powiat hrubieszowski",2015,579
"9938",605000,"Powiat janowski",2015,491
"9939",606000,"Powiat krasnostawski",2015,732
"9940",607000,"Powiat kraśnicki",2015,1111
"9941",608000,"Powiat lubartowski",2015,910
"9942",609000,"Powiat lubelski",2015,1329
"9943",610000,"Powiat łęczyński",2015,525
"9944",611000,"Powiat łukowski",2015,888
"9945",612000,"Powiat opolski",2015,573
"9946",613000,"Powiat parczewski",2015,536
"9947",614000,"Powiat puławski",2015,1353
"9948",615000,"Powiat radzyński",2015,568
"9949",616000,"Powiat rycki",2015,630
"9950",617000,"Powiat świdnicki",2015,751
"9951",618000,"Powiat tomaszowski",2015,881
"9952",619000,"Powiat włodawski",2015,433
"9953",620000,"Powiat zamojski",2015,898
"9954",661000,"Powiat m.Biała Podlaska",2015,414
"9955",662000,"Powiat m.Chełm",2015,917
"9956",663000,"Powiat m.Lublin",2015,4537
"9957",664000,"Powiat m.Zamość",2015,779
"9958",801000,"Powiat gorzowski",2015,765
"9959",802000,"Powiat krośnieński",2015,855
