"","Kod","Nazwa","rok","SCIEZKI_ROWEROWE_CTAB_scieZki_rowerowe_na_10_tys_ludnosci_km"
"7055",3208000,"Powiat kołobrzeski",2011,2.89
"7056",3209000,"Powiat koszaliński",2011,4.95
"7057",3210000,"Powiat myśliborski",2011,0.12
"7058",3211000,"Powiat policki",2011,1.77
"7059",3212000,"Powiat pyrzycki",2011,1.4
"7060",3213000,"Powiat sławieński",2011,1.14
"7061",3214000,"Powiat stargardzki",2011,4.86
"7062",3215000,"Powiat szczecinecki",2011,2.43
"7063",3216000,"Powiat świdwiński",2011,5.92
"7064",3217000,"Powiat wałecki",2011,0.51
"7065",3218000,"Powiat łobeski",2011,0
"7066",3261000,"Powiat m.Koszalin",2011,2.99
"7067",3262000,"Powiat m.Szczecin",2011,2.04
"7068",3263000,"Powiat m.Świnoujście",2011,5.11
"7069",201000,"Powiat bolesławiecki",2012,1.31
"7070",202000,"Powiat dzierżoniowski",2012,8.77
"7071",203000,"Powiat głogowski",2012,1.28
"7072",204000,"Powiat górowski",2012,0
"7073",205000,"Powiat jaworski",2012,0
"7074",208000,"Powiat kłodzki",2012,0.42
"7075",209000,"Powiat legnicki",2012,1.08
"7076",211000,"Powiat lubiński",2012,1.75
"7077",212000,"Powiat lwówecki",2012,1.57
"7078",213000,"Powiat milicki",2012,7.26
"7079",214000,"Powiat oleśnicki",2012,1.09
"7080",215000,"Powiat oławski",2012,1.59
"7081",216000,"Powiat polkowicki",2012,1.04
"7082",217000,"Powiat strzeliński",2012,0.45
"7083",218000,"Powiat średzki",2012,0.13
"7084",219000,"Powiat świdnicki",2012,0.94
"7085",220000,"Powiat trzebnicki",2012,1.49
"7086",221000,"Powiat wałbrzyski",2012,0.3
"7087",222000,"Powiat wołowski",2012,2.54
"7088",223000,"Powiat wrocławski",2012,0.43
"7089",224000,"Powiat ząbkowicki",2012,0.29
"7090",225000,"Powiat zgorzelecki",2012,2
"7091",226000,"Powiat złotoryjski",2012,6.6
"7092",261000,"Powiat m.Jelenia Góra",2012,4.82
"7093",262000,"Powiat m.Legnica",2012,2.81
"7094",264000,"Powiat m.Wrocław",2012,3.23
"7095",265000,"Powiat m.Wałbrzych od 2013",2012,NA
"7096",401000,"Powiat aleksandrowski",2012,1
"7097",402000,"Powiat brodnicki",2012,0.51
"7098",403000,"Powiat bydgoski",2012,6.14
"7099",404000,"Powiat chełmiński",2012,2.2
"7100",405000,"Powiat golubsko-dobrzyński",2012,3.26
"7101",406000,"Powiat grudziądzki",2012,1.07
"7102",407000,"Powiat inowrocławski",2012,2.43
"7103",408000,"Powiat lipnowski",2012,0
"7104",409000,"Powiat mogileński",2012,1.71
"7105",410000,"Powiat nakielski",2012,0
"7106",411000,"Powiat radziejowski",2012,0.45
"7107",412000,"Powiat rypiński",2012,0
"7108",413000,"Powiat sępoleński",2012,3.09
"7109",414000,"Powiat świecki",2012,1.24
"7110",415000,"Powiat toruński",2012,8.58
"7111",416000,"Powiat tucholski",2012,1.7
"7112",417000,"Powiat wąbrzeski",2012,0.48
"7113",418000,"Powiat włocławski",2012,0.54
"7114",419000,"Powiat żniński",2012,0.89
"7115",461000,"Powiat m.Bydgoszcz",2012,1.91
"7116",462000,"Powiat m.Grudziądz",2012,3.72
"7117",463000,"Powiat m.Toruń",2012,3.28
"7118",464000,"Powiat m.Włocławek",2012,3.25
"7119",601000,"Powiat bialski",2012,2.97
"7120",602000,"Powiat biłgorajski",2012,0.87
"7121",603000,"Powiat chełmski",2012,0.39
"7122",604000,"Powiat hrubieszowski",2012,0.31
"7123",605000,"Powiat janowski",2012,0.32
"7124",606000,"Powiat krasnostawski",2012,0.15
"7125",607000,"Powiat kraśnicki",2012,0.77
"7126",608000,"Powiat lubartowski",2012,0.51
"7127",609000,"Powiat lubelski",2012,0.11
"7128",610000,"Powiat łęczyński",2012,1.21
"7129",611000,"Powiat łukowski",2012,1.1
"7130",612000,"Powiat opolski",2012,0.06
"7131",613000,"Powiat parczewski",2012,0
"7132",614000,"Powiat puławski",2012,2.69
"7133",615000,"Powiat radzyński",2012,1
"7134",616000,"Powiat rycki",2012,2.19
"7135",617000,"Powiat świdnicki",2012,0.6
"7136",618000,"Powiat tomaszowski",2012,3.52
"7137",619000,"Powiat włodawski",2012,1.89
"7138",620000,"Powiat zamojski",2012,0.17
"7139",661000,"Powiat m.Biała Podlaska",2012,1.1
"7140",662000,"Powiat m.Chełm",2012,0.93
"7141",663000,"Powiat m.Lublin",2012,1.88
"7142",664000,"Powiat m.Zamość",2012,4.42
"7143",801000,"Powiat gorzowski",2012,10.26
"7144",802000,"Powiat krośnieński",2012,5.29
"7145",803000,"Powiat międzyrzecki",2012,2.34
"7146",804000,"Powiat nowosolski",2012,4.85
"7147",805000,"Powiat słubicki",2012,4.29
"7148",806000,"Powiat strzelecko-drezdenecki",2012,3.06
"7149",807000,"Powiat sulęciński",2012,6.56
"7150",808000,"Powiat świebodziński",2012,1.8
"7151",809000,"Powiat zielonogórski",2012,2.91
"7152",810000,"Powiat żagański",2012,1.08
"7153",811000,"Powiat żarski",2012,4.41
"7154",812000,"Powiat wschowski",2012,0.53
"7155",861000,"Powiat m.Gorzów Wielkopolski",2012,1.56
"7156",862000,"Powiat m.Zielona Góra",2012,3.33
"7157",1001000,"Powiat bełchatowski",2012,8.36
"7158",1002000,"Powiat kutnowski",2012,1.72
"7159",1003000,"Powiat łaski",2012,1.84
"7160",1004000,"Powiat łęczycki",2012,0
"7161",1005000,"Powiat łowicki",2012,0.32
"7162",1006000,"Powiat łódzki wschodni",2012,2.08
"7163",1007000,"Powiat opoczyński",2012,1.12
"7164",1008000,"Powiat pabianicki",2012,0.87
"7165",1009000,"Powiat pajęczański",2012,1.99
"7166",1010000,"Powiat piotrkowski",2012,0.11
"7167",1011000,"Powiat poddębicki",2012,2.48
"7168",1012000,"Powiat radomszczański",2012,0.33
"7169",1013000,"Powiat rawski",2012,0
"7170",1014000,"Powiat sieradzki",2012,0.47
"7171",1015000,"Powiat skierniewicki",2012,1.33
"7172",1016000,"Powiat tomaszowski",2012,0.87
"7173",1017000,"Powiat wieluński",2012,1.08
"7174",1018000,"Powiat wieruszowski",2012,2.65
"7175",1019000,"Powiat zduńskowolski",2012,4.68
"7176",1020000,"Powiat zgierski",2012,0.36
"7177",1021000,"Powiat brzeziński",2012,0
"7178",1061000,"Powiat m.Łódź",2012,1.06
"7179",1062000,"Powiat m.Piotrków Trybunalski",2012,2.58
"7180",1063000,"Powiat m.Skierniewice",2012,3.47
"7181",1201000,"Powiat bocheński",2012,0.32
"7182",1202000,"Powiat brzeski",2012,0
"7183",1203000,"Powiat chrzanowski",2012,0.22
"7184",1204000,"Powiat dąbrowski",2012,0
"7185",1205000,"Powiat gorlicki",2012,0
"7186",1206000,"Powiat krakowski",2012,0.03
"7187",1208000,"Powiat miechowski",2012,0.1
"7188",1209000,"Powiat myślenicki",2012,0.09
"7189",1210000,"Powiat nowosądecki",2012,0.11
"7190",1211000,"Powiat nowotarski",2012,0.46
"7191",1212000,"Powiat olkuski",2012,0
"7192",1213000,"Powiat oświęcimski",2012,1.3
"7193",1214000,"Powiat proszowicki",2012,0
"7194",1215000,"Powiat suski",2012,0.19
"7195",1216000,"Powiat tarnowski",2012,0.16
"7196",1217000,"Powiat tatrzański",2012,0.21
"7197",1218000,"Powiat wadowicki",2012,0.09
"7198",1219000,"Powiat wielicki",2012,0.6
"7199",1261000,"Powiat m.Kraków",2012,1.78
"7200",1262000,"Powiat m.Nowy Sącz",2012,0.83
"7201",1263000,"Powiat m.Tarnów",2012,4.72
"7202",1401000,"Powiat białobrzeski",2012,1.36
"7203",1402000,"Powiat ciechanowski",2012,0.78
"7204",1403000,"Powiat garwoliński",2012,0.64
