"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietny_czas_trwania_budowy_nowych_budynkow_mieszkalnych_jednorodzinnych_mc"
"20876",2612000,"Powiat staszowski",2002,NA
"20877",2613000,"Powiat włoszczowski",2002,NA
"20878",2661000,"Powiat m.Kielce",2002,NA
"20879",2801000,"Powiat bartoszycki",2002,NA
"20880",2802000,"Powiat braniewski",2002,NA
"20881",2803000,"Powiat działdowski",2002,NA
"20882",2804000,"Powiat elbląski",2002,NA
"20883",2805000,"Powiat ełcki",2002,NA
"20884",2806000,"Powiat giżycki",2002,NA
"20885",2807000,"Powiat iławski",2002,NA
"20886",2808000,"Powiat kętrzyński",2002,NA
"20887",2809000,"Powiat lidzbarski",2002,NA
"20888",2810000,"Powiat mrągowski",2002,NA
"20889",2811000,"Powiat nidzicki",2002,NA
"20890",2812000,"Powiat nowomiejski",2002,NA
"20891",2813000,"Powiat olecki",2002,NA
"20892",2814000,"Powiat olsztyński",2002,NA
"20893",2815000,"Powiat ostródzki",2002,NA
"20894",2816000,"Powiat piski",2002,NA
"20895",2817000,"Powiat szczycieński",2002,NA
"20896",2818000,"Powiat gołdapski",2002,NA
"20897",2819000,"Powiat węgorzewski",2002,NA
"20898",2861000,"Powiat m.Elbląg",2002,NA
"20899",2862000,"Powiat m.Olsztyn",2002,NA
"20900",3001000,"Powiat chodzieski",2002,NA
"20901",3002000,"Powiat czarnkowsko-trzcianecki",2002,NA
"20902",3003000,"Powiat gnieźnieński",2002,NA
"20903",3004000,"Powiat gostyński",2002,NA
"20904",3005000,"Powiat grodziski",2002,NA
"20905",3006000,"Powiat jarociński",2002,NA
"20906",3007000,"Powiat kaliski",2002,NA
"20907",3008000,"Powiat kępiński",2002,NA
"20908",3009000,"Powiat kolski",2002,NA
"20909",3010000,"Powiat koniński",2002,NA
"20910",3011000,"Powiat kościański",2002,NA
"20911",3012000,"Powiat krotoszyński",2002,NA
"20912",3013000,"Powiat leszczyński",2002,NA
"20913",3014000,"Powiat międzychodzki",2002,NA
"20914",3015000,"Powiat nowotomyski",2002,NA
"20915",3016000,"Powiat obornicki",2002,NA
"20916",3017000,"Powiat ostrowski",2002,NA
"20917",3018000,"Powiat ostrzeszowski",2002,NA
"20918",3019000,"Powiat pilski",2002,NA
"20919",3020000,"Powiat pleszewski",2002,NA
"20920",3021000,"Powiat poznański",2002,NA
"20921",3022000,"Powiat rawicki",2002,NA
"20922",3023000,"Powiat słupecki",2002,NA
"20923",3024000,"Powiat szamotulski",2002,NA
"20924",3025000,"Powiat średzki",2002,NA
"20925",3026000,"Powiat śremski",2002,NA
"20926",3027000,"Powiat turecki",2002,NA
"20927",3028000,"Powiat wągrowiecki",2002,NA
"20928",3029000,"Powiat wolsztyński",2002,NA
"20929",3030000,"Powiat wrzesiński",2002,NA
"20930",3031000,"Powiat złotowski",2002,NA
"20931",3061000,"Powiat m.Kalisz",2002,NA
"20932",3062000,"Powiat m.Konin",2002,NA
"20933",3063000,"Powiat m.Leszno",2002,NA
"20934",3064000,"Powiat m.Poznań",2002,NA
"20935",3201000,"Powiat białogardzki",2002,NA
"20936",3202000,"Powiat choszczeński",2002,NA
"20937",3203000,"Powiat drawski",2002,NA
"20938",3204000,"Powiat goleniowski",2002,NA
"20939",3205000,"Powiat gryficki",2002,NA
"20940",3206000,"Powiat gryfiński",2002,NA
"20941",3207000,"Powiat kamieński",2002,NA
"20942",3208000,"Powiat kołobrzeski",2002,NA
"20943",3209000,"Powiat koszaliński",2002,NA
"20944",3210000,"Powiat myśliborski",2002,NA
"20945",3211000,"Powiat policki",2002,NA
"20946",3212000,"Powiat pyrzycki",2002,NA
"20947",3213000,"Powiat sławieński",2002,NA
"20948",3214000,"Powiat stargardzki",2002,NA
"20949",3215000,"Powiat szczecinecki",2002,NA
"20950",3216000,"Powiat świdwiński",2002,NA
"20951",3217000,"Powiat wałecki",2002,NA
"20952",3218000,"Powiat łobeski",2002,NA
"20953",3261000,"Powiat m.Koszalin",2002,NA
"20954",3262000,"Powiat m.Szczecin",2002,NA
"20955",3263000,"Powiat m.Świnoujście",2002,NA
"20956",201000,"Powiat bolesławiecki",2003,NA
"20957",202000,"Powiat dzierżoniowski",2003,NA
"20958",203000,"Powiat głogowski",2003,NA
"20959",204000,"Powiat górowski",2003,NA
"20960",205000,"Powiat jaworski",2003,NA
"20961",206000,"Powiat jeleniogórski",2003,NA
"20962",207000,"Powiat kamiennogórski",2003,NA
"20963",208000,"Powiat kłodzki",2003,NA
"20964",209000,"Powiat legnicki",2003,NA
"20965",210000,"Powiat lubański",2003,NA
"20966",211000,"Powiat lubiński",2003,NA
"20967",212000,"Powiat lwówecki",2003,NA
"20968",213000,"Powiat milicki",2003,NA
"20969",214000,"Powiat oleśnicki",2003,NA
"20970",215000,"Powiat oławski",2003,NA
"20971",216000,"Powiat polkowicki",2003,NA
"20972",217000,"Powiat strzeliński",2003,NA
"20973",218000,"Powiat średzki",2003,NA
"20974",219000,"Powiat świdnicki",2003,NA
"20975",220000,"Powiat trzebnicki",2003,NA
"20976",221000,"Powiat wałbrzyski",2003,NA
"20977",222000,"Powiat wołowski",2003,NA
"20978",223000,"Powiat wrocławski",2003,NA
"20979",224000,"Powiat ząbkowicki",2003,NA
"20980",225000,"Powiat zgorzelecki",2003,NA
"20981",226000,"Powiat złotoryjski",2003,NA
"20982",261000,"Powiat m.Jelenia Góra",2003,NA
"20983",262000,"Powiat m.Legnica",2003,NA
"20984",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"20985",264000,"Powiat m.Wrocław",2003,NA
"20986",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"20987",401000,"Powiat aleksandrowski",2003,NA
"20988",402000,"Powiat brodnicki",2003,NA
"20989",403000,"Powiat bydgoski",2003,NA
"20990",404000,"Powiat chełmiński",2003,NA
"20991",405000,"Powiat golubsko-dobrzyński",2003,NA
"20992",406000,"Powiat grudziądzki",2003,NA
"20993",407000,"Powiat inowrocławski",2003,NA
"20994",408000,"Powiat lipnowski",2003,NA
"20995",409000,"Powiat mogileński",2003,NA
"20996",410000,"Powiat nakielski",2003,NA
"20997",411000,"Powiat radziejowski",2003,NA
"20998",412000,"Powiat rypiński",2003,NA
"20999",413000,"Powiat sępoleński",2003,NA
"21000",414000,"Powiat świecki",2003,NA
"21001",415000,"Powiat toruński",2003,NA
"21002",416000,"Powiat tucholski",2003,NA
"21003",417000,"Powiat wąbrzeski",2003,NA
"21004",418000,"Powiat włocławski",2003,NA
"21005",419000,"Powiat żniński",2003,NA
"21006",461000,"Powiat m.Bydgoszcz",2003,NA
"21007",462000,"Powiat m.Grudziądz",2003,NA
"21008",463000,"Powiat m.Toruń",2003,NA
"21009",464000,"Powiat m.Włocławek",2003,NA
"21010",601000,"Powiat bialski",2003,NA
"21011",602000,"Powiat biłgorajski",2003,NA
"21012",603000,"Powiat chełmski",2003,NA
"21013",604000,"Powiat hrubieszowski",2003,NA
"21014",605000,"Powiat janowski",2003,NA
"21015",606000,"Powiat krasnostawski",2003,NA
"21016",607000,"Powiat kraśnicki",2003,NA
"21017",608000,"Powiat lubartowski",2003,NA
"21018",609000,"Powiat lubelski",2003,NA
"21019",610000,"Powiat łęczyński",2003,NA
"21020",611000,"Powiat łukowski",2003,NA
"21021",612000,"Powiat opolski",2003,NA
"21022",613000,"Powiat parczewski",2003,NA
"21023",614000,"Powiat puławski",2003,NA
"21024",615000,"Powiat radzyński",2003,NA
"21025",616000,"Powiat rycki",2003,NA
"21026",617000,"Powiat świdnicki",2003,NA
"21027",618000,"Powiat tomaszowski",2003,NA
"21028",619000,"Powiat włodawski",2003,NA
"21029",620000,"Powiat zamojski",2003,NA
"21030",661000,"Powiat m.Biała Podlaska",2003,NA
"21031",662000,"Powiat m.Chełm",2003,NA
"21032",663000,"Powiat m.Lublin",2003,NA
"21033",664000,"Powiat m.Zamość",2003,NA
"21034",801000,"Powiat gorzowski",2003,NA
"21035",802000,"Powiat krośnieński",2003,NA
"21036",803000,"Powiat międzyrzecki",2003,NA
"21037",804000,"Powiat nowosolski",2003,NA
"21038",805000,"Powiat słubicki",2003,NA
"21039",806000,"Powiat strzelecko-drezdenecki",2003,NA
"21040",807000,"Powiat sulęciński",2003,NA
"21041",808000,"Powiat świebodziński",2003,NA
"21042",809000,"Powiat zielonogórski",2003,NA
"21043",810000,"Powiat żagański",2003,NA
"21044",811000,"Powiat żarski",2003,NA
"21045",812000,"Powiat wschowski",2003,NA
"21046",861000,"Powiat m.Gorzów Wielkopolski",2003,NA
"21047",862000,"Powiat m.Zielona Góra",2003,NA
"21048",1001000,"Powiat bełchatowski",2003,NA
"21049",1002000,"Powiat kutnowski",2003,NA
"21050",1003000,"Powiat łaski",2003,NA
"21051",1004000,"Powiat łęczycki",2003,NA
"21052",1005000,"Powiat łowicki",2003,NA
"21053",1006000,"Powiat łódzki wschodni",2003,NA
"21054",1007000,"Powiat opoczyński",2003,NA
"21055",1008000,"Powiat pabianicki",2003,NA
"21056",1009000,"Powiat pajęczański",2003,NA
"21057",1010000,"Powiat piotrkowski",2003,NA
"21058",1011000,"Powiat poddębicki",2003,NA
"21059",1012000,"Powiat radomszczański",2003,NA
"21060",1013000,"Powiat rawski",2003,NA
"21061",1014000,"Powiat sieradzki",2003,NA
"21062",1015000,"Powiat skierniewicki",2003,NA
"21063",1016000,"Powiat tomaszowski",2003,NA
"21064",1017000,"Powiat wieluński",2003,NA
"21065",1018000,"Powiat wieruszowski",2003,NA
"21066",1019000,"Powiat zduńskowolski",2003,NA
"21067",1020000,"Powiat zgierski",2003,NA
"21068",1021000,"Powiat brzeziński",2003,NA
"21069",1061000,"Powiat m.Łódź",2003,NA
"21070",1062000,"Powiat m.Piotrków Trybunalski",2003,NA
"21071",1063000,"Powiat m.Skierniewice",2003,NA
"21072",1201000,"Powiat bocheński",2003,NA
"21073",1202000,"Powiat brzeski",2003,NA
"21074",1203000,"Powiat chrzanowski",2003,NA
"21075",1204000,"Powiat dąbrowski",2003,NA
"21076",1205000,"Powiat gorlicki",2003,NA
"21077",1206000,"Powiat krakowski",2003,NA
"21078",1207000,"Powiat limanowski",2003,NA
"21079",1208000,"Powiat miechowski",2003,NA
"21080",1209000,"Powiat myślenicki",2003,NA
"21081",1210000,"Powiat nowosądecki",2003,NA
"21082",1211000,"Powiat nowotarski",2003,NA
"21083",1212000,"Powiat olkuski",2003,NA
"21084",1213000,"Powiat oświęcimski",2003,NA
"21085",1214000,"Powiat proszowicki",2003,NA
"21086",1215000,"Powiat suski",2003,NA
"21087",1216000,"Powiat tarnowski",2003,NA
"21088",1217000,"Powiat tatrzański",2003,NA
"21089",1218000,"Powiat wadowicki",2003,NA
"21090",1219000,"Powiat wielicki",2003,NA
"21091",1261000,"Powiat m.Kraków",2003,NA
"21092",1262000,"Powiat m.Nowy Sącz",2003,NA
"21093",1263000,"Powiat m.Tarnów",2003,NA
"21094",1401000,"Powiat białobrzeski",2003,NA
"21095",1402000,"Powiat ciechanowski",2003,NA
"21096",1403000,"Powiat garwoliński",2003,NA
"21097",1404000,"Powiat gostyniński",2003,NA
"21098",1405000,"Powiat grodziski",2003,NA
"21099",1406000,"Powiat grójecki",2003,NA
"21100",1407000,"Powiat kozienicki",2003,NA
"21101",1408000,"Powiat legionowski",2003,NA
"21102",1409000,"Powiat lipski",2003,NA
"21103",1410000,"Powiat łosicki",2003,NA
"21104",1411000,"Powiat makowski",2003,NA
"21105",1412000,"Powiat miński",2003,NA
"21106",1413000,"Powiat mławski",2003,NA
"21107",1414000,"Powiat nowodworski",2003,NA
"21108",1415000,"Powiat ostrołęcki",2003,NA
"21109",1416000,"Powiat ostrowski",2003,NA
"21110",1417000,"Powiat otwocki",2003,NA
"21111",1418000,"Powiat piaseczyński",2003,NA
"21112",1419000,"Powiat płocki",2003,NA
"21113",1420000,"Powiat płoński",2003,NA
"21114",1421000,"Powiat pruszkowski",2003,NA
"21115",1422000,"Powiat przasnyski",2003,NA
"21116",1423000,"Powiat przysuski",2003,NA
"21117",1424000,"Powiat pułtuski",2003,NA
"21118",1425000,"Powiat radomski",2003,NA
"21119",1426000,"Powiat siedlecki",2003,NA
