"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_sieroctwo"
"2314",404000,"Powiat chełmiński",2015,0
"2315",405000,"Powiat golubsko-dobrzyński",2015,0
"2316",406000,"Powiat grudziądzki",2015,3
"2317",407000,"Powiat inowrocławski",2015,33
"2318",408000,"Powiat lipnowski",2015,4
"2319",409000,"Powiat mogileński",2015,1
"2320",410000,"Powiat nakielski",2015,3
"2321",411000,"Powiat radziejowski",2015,5
"2322",412000,"Powiat rypiński",2015,1
"2323",413000,"Powiat sępoleński",2015,1
"2324",414000,"Powiat świecki",2015,2
"2325",415000,"Powiat toruński",2015,3
"2326",416000,"Powiat tucholski",2015,1
"2327",417000,"Powiat wąbrzeski",2015,3
"2328",418000,"Powiat włocławski",2015,0
"2329",419000,"Powiat żniński",2015,1
"2330",461000,"Powiat m.Bydgoszcz",2015,29
"2331",462000,"Powiat m.Grudziądz",2015,2
"2332",463000,"Powiat m.Toruń",2015,0
"2333",464000,"Powiat m.Włocławek",2015,7
"2334",601000,"Powiat bialski",2015,0
"2335",602000,"Powiat biłgorajski",2015,1
"2336",603000,"Powiat chełmski",2015,3
"2337",604000,"Powiat hrubieszowski",2015,1
"2338",605000,"Powiat janowski",2015,5
"2339",606000,"Powiat krasnostawski",2015,3
"2340",607000,"Powiat kraśnicki",2015,4
"2341",608000,"Powiat lubartowski",2015,9
"2342",609000,"Powiat lubelski",2015,9
"2343",610000,"Powiat łęczyński",2015,25
"2344",611000,"Powiat łukowski",2015,3
"2345",612000,"Powiat opolski",2015,3
"2346",613000,"Powiat parczewski",2015,3
"2347",614000,"Powiat puławski",2015,2
"2348",615000,"Powiat radzyński",2015,1
"2349",616000,"Powiat rycki",2015,2
"2350",617000,"Powiat świdnicki",2015,20
"2351",618000,"Powiat tomaszowski",2015,3
"2352",619000,"Powiat włodawski",2015,3
"2353",620000,"Powiat zamojski",2015,1
"2354",661000,"Powiat m.Biała Podlaska",2015,10
"2355",662000,"Powiat m.Chełm",2015,0
"2356",663000,"Powiat m.Lublin",2015,43
"2357",664000,"Powiat m.Zamość",2015,0
"2358",801000,"Powiat gorzowski",2015,1
"2359",802000,"Powiat krośnieński",2015,1
"2360",803000,"Powiat międzyrzecki",2015,2
"2361",804000,"Powiat nowosolski",2015,1
"2362",805000,"Powiat słubicki",2015,2
"2363",806000,"Powiat strzelecko-drezdenecki",2015,3
"2364",807000,"Powiat sulęciński",2015,1
"2365",808000,"Powiat świebodziński",2015,3
"2366",809000,"Powiat zielonogórski",2015,1
"2367",810000,"Powiat żagański",2015,3
"2368",811000,"Powiat żarski",2015,4
"2369",812000,"Powiat wschowski",2015,0
"2370",861000,"Powiat m.Gorzów Wielkopolski",2015,0
"2371",862000,"Powiat m.Zielona Góra",2015,0
"2372",1001000,"Powiat bełchatowski",2015,21
"2373",1002000,"Powiat kutnowski",2015,3
"2374",1003000,"Powiat łaski",2015,1
"2375",1004000,"Powiat łęczycki",2015,1
"2376",1005000,"Powiat łowicki",2015,1
"2377",1006000,"Powiat łódzki wschodni",2015,3
"2378",1007000,"Powiat opoczyński",2015,2
"2379",1008000,"Powiat pabianicki",2015,28
"2380",1009000,"Powiat pajęczański",2015,1
"2381",1010000,"Powiat piotrkowski",2015,13
"2382",1011000,"Powiat poddębicki",2015,1
"2383",1012000,"Powiat radomszczański",2015,2
"2384",1013000,"Powiat rawski",2015,1
"2385",1014000,"Powiat sieradzki",2015,7
"2386",1015000,"Powiat skierniewicki",2015,13
"2387",1016000,"Powiat tomaszowski",2015,7
"2388",1017000,"Powiat wieluński",2015,1
"2389",1018000,"Powiat wieruszowski",2015,1
"2390",1019000,"Powiat zduńskowolski",2015,3
"2391",1020000,"Powiat zgierski",2015,3
"2392",1021000,"Powiat brzeziński",2015,0
"2393",1061000,"Powiat m.Łódź",2015,25
"2394",1062000,"Powiat m.Piotrków Trybunalski",2015,2
"2395",1063000,"Powiat m.Skierniewice",2015,1
"2396",1201000,"Powiat bocheński",2015,4
"2397",1202000,"Powiat brzeski",2015,1
"2398",1203000,"Powiat chrzanowski",2015,2
"2399",1204000,"Powiat dąbrowski",2015,0
"2400",1205000,"Powiat gorlicki",2015,9
"2401",1206000,"Powiat krakowski",2015,10
"2402",1207000,"Powiat limanowski",2015,3
"2403",1208000,"Powiat miechowski",2015,2
"2404",1209000,"Powiat myślenicki",2015,5
"2405",1210000,"Powiat nowosądecki",2015,10
"2406",1211000,"Powiat nowotarski",2015,16
"2407",1212000,"Powiat olkuski",2015,3
"2408",1213000,"Powiat oświęcimski",2015,26
"2409",1214000,"Powiat proszowicki",2015,0
"2410",1215000,"Powiat suski",2015,3
"2411",1216000,"Powiat tarnowski",2015,1
"2412",1217000,"Powiat tatrzański",2015,16
"2413",1218000,"Powiat wadowicki",2015,0
"2414",1219000,"Powiat wielicki",2015,4
