"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_przemoc_w_rodzinie"
"15539",3015000,"Powiat nowotomyski",2014,43
"15540",3016000,"Powiat obornicki",2014,19
"15541",3017000,"Powiat ostrowski",2014,179
"15542",3018000,"Powiat ostrzeszowski",2014,61
"15543",3019000,"Powiat pilski",2014,104
"15544",3020000,"Powiat pleszewski",2014,16
"15545",3021000,"Powiat poznański",2014,125
"15546",3022000,"Powiat rawicki",2014,13
"15547",3023000,"Powiat słupecki",2014,10
"15548",3024000,"Powiat szamotulski",2014,37
"15549",3025000,"Powiat średzki",2014,44
"15550",3026000,"Powiat śremski",2014,40
"15551",3027000,"Powiat turecki",2014,12
"15552",3028000,"Powiat wągrowiecki",2014,38
"15553",3029000,"Powiat wolsztyński",2014,5
"15554",3030000,"Powiat wrzesiński",2014,47
"15555",3031000,"Powiat złotowski",2014,20
"15556",3061000,"Powiat m.Kalisz",2014,32
"15557",3062000,"Powiat m.Konin",2014,62
"15558",3063000,"Powiat m.Leszno",2014,3
"15559",3064000,"Powiat m.Poznań",2014,317
"15560",3201000,"Powiat białogardzki",2014,19
"15561",3202000,"Powiat choszczeński",2014,19
"15562",3203000,"Powiat drawski",2014,15
"15563",3204000,"Powiat goleniowski",2014,54
"15564",3205000,"Powiat gryficki",2014,110
"15565",3206000,"Powiat gryfiński",2014,54
"15566",3207000,"Powiat kamieński",2014,8
"15567",3208000,"Powiat kołobrzeski",2014,38
"15568",3209000,"Powiat koszaliński",2014,24
"15569",3210000,"Powiat myśliborski",2014,13
"15570",3211000,"Powiat policki",2014,23
"15571",3212000,"Powiat pyrzycki",2014,9
"15572",3213000,"Powiat sławieński",2014,33
"15573",3214000,"Powiat stargardzki",2014,26
"15574",3215000,"Powiat szczecinecki",2014,35
"15575",3216000,"Powiat świdwiński",2014,23
"15576",3217000,"Powiat wałecki",2014,64
"15577",3218000,"Powiat łobeski",2014,20
"15578",3261000,"Powiat m.Koszalin",2014,32
"15579",3262000,"Powiat m.Szczecin",2014,49
"15580",3263000,"Powiat m.Świnoujście",2014,29
"15581",201000,"Powiat bolesławiecki",2015,14
"15582",202000,"Powiat dzierżoniowski",2015,53
"15583",203000,"Powiat głogowski",2015,126
"15584",204000,"Powiat górowski",2015,5
"15585",205000,"Powiat jaworski",2015,7
"15586",206000,"Powiat jeleniogórski",2015,10
"15587",207000,"Powiat kamiennogórski",2015,7
"15588",208000,"Powiat kłodzki",2015,212
"15589",209000,"Powiat legnicki",2015,32
"15590",210000,"Powiat lubański",2015,9
"15591",211000,"Powiat lubiński",2015,35
"15592",212000,"Powiat lwówecki",2015,14
"15593",213000,"Powiat milicki",2015,5
"15594",214000,"Powiat oleśnicki",2015,14
"15595",215000,"Powiat oławski",2015,7
"15596",216000,"Powiat polkowicki",2015,13
"15597",217000,"Powiat strzeliński",2015,13
"15598",218000,"Powiat średzki",2015,15
"15599",219000,"Powiat świdnicki",2015,106
"15600",220000,"Powiat trzebnicki",2015,26
"15601",221000,"Powiat wałbrzyski",2015,21
"15602",222000,"Powiat wołowski",2015,10
"15603",223000,"Powiat wrocławski",2015,54
"15604",224000,"Powiat ząbkowicki",2015,33
"15605",225000,"Powiat zgorzelecki",2015,12
"15606",226000,"Powiat złotoryjski",2015,156
"15607",261000,"Powiat m.Jelenia Góra",2015,10
"15608",262000,"Powiat m.Legnica",2015,21
"15609",264000,"Powiat m.Wrocław",2015,86
"15610",265000,"Powiat m.Wałbrzych od 2013",2015,32
"15611",401000,"Powiat aleksandrowski",2015,25
"15612",402000,"Powiat brodnicki",2015,44
"15613",403000,"Powiat bydgoski",2015,47
"15614",404000,"Powiat chełmiński",2015,99
"15615",405000,"Powiat golubsko-dobrzyński",2015,24
"15616",406000,"Powiat grudziądzki",2015,28
"15617",407000,"Powiat inowrocławski",2015,111
"15618",408000,"Powiat lipnowski",2015,14
"15619",409000,"Powiat mogileński",2015,6
"15620",410000,"Powiat nakielski",2015,60
"15621",411000,"Powiat radziejowski",2015,13
"15622",412000,"Powiat rypiński",2015,29
"15623",413000,"Powiat sępoleński",2015,47
"15624",414000,"Powiat świecki",2015,46
"15625",415000,"Powiat toruński",2015,17
"15626",416000,"Powiat tucholski",2015,13
"15627",417000,"Powiat wąbrzeski",2015,6
"15628",418000,"Powiat włocławski",2015,32
"15629",419000,"Powiat żniński",2015,123
"15630",461000,"Powiat m.Bydgoszcz",2015,277
"15631",462000,"Powiat m.Grudziądz",2015,458
"15632",463000,"Powiat m.Toruń",2015,21
"15633",464000,"Powiat m.Włocławek",2015,0
"15634",601000,"Powiat bialski",2015,33
"15635",602000,"Powiat biłgorajski",2015,48
"15636",603000,"Powiat chełmski",2015,26
"15637",604000,"Powiat hrubieszowski",2015,19
"15638",605000,"Powiat janowski",2015,11
"15639",606000,"Powiat krasnostawski",2015,49
"15640",607000,"Powiat kraśnicki",2015,26
"15641",608000,"Powiat lubartowski",2015,99
"15642",609000,"Powiat lubelski",2015,58
"15643",610000,"Powiat łęczyński",2015,38
"15644",611000,"Powiat łukowski",2015,44
"15645",612000,"Powiat opolski",2015,27
"15646",613000,"Powiat parczewski",2015,13
"15647",614000,"Powiat puławski",2015,157
"15648",615000,"Powiat radzyński",2015,15
"15649",616000,"Powiat rycki",2015,16
"15650",617000,"Powiat świdnicki",2015,11
"15651",618000,"Powiat tomaszowski",2015,77
"15652",619000,"Powiat włodawski",2015,11
"15653",620000,"Powiat zamojski",2015,16
"15654",661000,"Powiat m.Biała Podlaska",2015,20
"15655",662000,"Powiat m.Chełm",2015,30
"15656",663000,"Powiat m.Lublin",2015,164
"15657",664000,"Powiat m.Zamość",2015,22
"15658",801000,"Powiat gorzowski",2015,16
"15659",802000,"Powiat krośnieński",2015,23
"15660",803000,"Powiat międzyrzecki",2015,22
"15661",804000,"Powiat nowosolski",2015,20
"15662",805000,"Powiat słubicki",2015,15
"15663",806000,"Powiat strzelecko-drezdenecki",2015,28
"15664",807000,"Powiat sulęciński",2015,11
"15665",808000,"Powiat świebodziński",2015,14
"15666",809000,"Powiat zielonogórski",2015,99
"15667",810000,"Powiat żagański",2015,30
"15668",811000,"Powiat żarski",2015,58
"15669",812000,"Powiat wschowski",2015,8
"15670",861000,"Powiat m.Gorzów Wielkopolski",2015,53
"15671",862000,"Powiat m.Zielona Góra",2015,26
"15672",1001000,"Powiat bełchatowski",2015,62
