"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_80_m2_zl"
"17518",408000,"Powiat lipnowski",2016,0
"17519",409000,"Powiat mogileński",2016,0
"17520",410000,"Powiat nakielski",2016,0
"17521",411000,"Powiat radziejowski",2016,0
"17522",412000,"Powiat rypiński",2016,0
"17523",413000,"Powiat sępoleński",2016,0
"17524",414000,"Powiat świecki",2016,4563
"17525",415000,"Powiat toruński",2016,0
"17526",416000,"Powiat tucholski",2016,0
"17527",417000,"Powiat wąbrzeski",2016,0
"17528",418000,"Powiat włocławski",2016,0
"17529",419000,"Powiat żniński",2016,0
"17530",461000,"Powiat m.Bydgoszcz",2016,4930
"17531",462000,"Powiat m.Grudziądz",2016,0
"17532",463000,"Powiat m.Toruń",2016,0
"17533",464000,"Powiat m.Włocławek",2016,3645
"17534",601000,"Powiat bialski",2016,0
"17535",602000,"Powiat biłgorajski",2016,0
"17536",603000,"Powiat chełmski",2016,0
"17537",604000,"Powiat hrubieszowski",2016,0
"17538",605000,"Powiat janowski",2016,0
"17539",606000,"Powiat krasnostawski",2016,0
"17540",607000,"Powiat kraśnicki",2016,0
"17541",608000,"Powiat lubartowski",2016,0
"17542",609000,"Powiat lubelski",2016,4385
"17543",610000,"Powiat łęczyński",2016,0
"17544",611000,"Powiat łukowski",2016,0
"17545",612000,"Powiat opolski",2016,0
"17546",613000,"Powiat parczewski",2016,0
"17547",614000,"Powiat puławski",2016,4391
"17548",615000,"Powiat radzyński",2016,0
"17549",616000,"Powiat rycki",2016,0
"17550",617000,"Powiat świdnicki",2016,0
"17551",618000,"Powiat tomaszowski",2016,0
"17552",619000,"Powiat włodawski",2016,0
"17553",620000,"Powiat zamojski",2016,0
"17554",661000,"Powiat m.Biała Podlaska",2016,0
"17555",662000,"Powiat m.Chełm",2016,0
"17556",663000,"Powiat m.Lublin",2016,5083
"17557",664000,"Powiat m.Zamość",2016,0
"17558",801000,"Powiat gorzowski",2016,0
"17559",802000,"Powiat krośnieński",2016,0
"17560",803000,"Powiat międzyrzecki",2016,0
"17561",804000,"Powiat nowosolski",2016,0
"17562",805000,"Powiat słubicki",2016,3584
"17563",806000,"Powiat strzelecko-drezdenecki",2016,0
"17564",807000,"Powiat sulęciński",2016,0
"17565",808000,"Powiat świebodziński",2016,3146
"17566",809000,"Powiat zielonogórski",2016,0
"17567",810000,"Powiat żagański",2016,0
"17568",811000,"Powiat żarski",2016,0
"17569",812000,"Powiat wschowski",2016,0
"17570",861000,"Powiat m.Gorzów Wielkopolski",2016,3482
"17571",862000,"Powiat m.Zielona Góra",2016,0
"17572",1001000,"Powiat bełchatowski",2016,0
"17573",1002000,"Powiat kutnowski",2016,0
"17574",1003000,"Powiat łaski",2016,0
"17575",1004000,"Powiat łęczycki",2016,0
"17576",1005000,"Powiat łowicki",2016,0
"17577",1006000,"Powiat łódzki wschodni",2016,0
"17578",1007000,"Powiat opoczyński",2016,0
"17579",1008000,"Powiat pabianicki",2016,3881
"17580",1009000,"Powiat pajęczański",2016,0
"17581",1010000,"Powiat piotrkowski",2016,0
"17582",1011000,"Powiat poddębicki",2016,0
"17583",1012000,"Powiat radomszczański",2016,0
"17584",1013000,"Powiat rawski",2016,0
"17585",1014000,"Powiat sieradzki",2016,0
"17586",1015000,"Powiat skierniewicki",2016,0
"17587",1016000,"Powiat tomaszowski",2016,3781
"17588",1017000,"Powiat wieluński",2016,0
"17589",1018000,"Powiat wieruszowski",2016,0
"17590",1019000,"Powiat zduńskowolski",2016,0
"17591",1020000,"Powiat zgierski",2016,3672
"17592",1021000,"Powiat brzeziński",2016,0
"17593",1061000,"Powiat m.Łódź",2016,4216
"17594",1062000,"Powiat m.Piotrków Trybunalski",2016,4033
"17595",1063000,"Powiat m.Skierniewice",2016,0
"17596",1201000,"Powiat bocheński",2016,0
"17597",1202000,"Powiat brzeski",2016,0
"17598",1203000,"Powiat chrzanowski",2016,0
"17599",1204000,"Powiat dąbrowski",2016,0
"17600",1205000,"Powiat gorlicki",2016,0
"17601",1206000,"Powiat krakowski",2016,4379
"17602",1207000,"Powiat limanowski",2016,0
"17603",1208000,"Powiat miechowski",2016,0
"17604",1209000,"Powiat myślenicki",2016,4544
"17605",1210000,"Powiat nowosądecki",2016,0
"17606",1211000,"Powiat nowotarski",2016,4327
"17607",1212000,"Powiat olkuski",2016,0
"17608",1213000,"Powiat oświęcimski",2016,0
"17609",1214000,"Powiat proszowicki",2016,0
"17610",1215000,"Powiat suski",2016,0
"17611",1216000,"Powiat tarnowski",2016,0
"17612",1217000,"Powiat tatrzański",2016,9272
"17613",1218000,"Powiat wadowicki",2016,0
"17614",1219000,"Powiat wielicki",2016,4157
"17615",1261000,"Powiat m.Kraków",2016,6353
"17616",1262000,"Powiat m.Nowy Sącz",2016,0
"17617",1263000,"Powiat m.Tarnów",2016,2867
"17618",1401000,"Powiat białobrzeski",2016,0
"17619",1402000,"Powiat ciechanowski",2016,0
"17620",1403000,"Powiat garwoliński",2016,0
"17621",1404000,"Powiat gostyniński",2016,0
"17622",1405000,"Powiat grodziski",2016,3320
"17623",1406000,"Powiat grójecki",2016,0
"17624",1407000,"Powiat kozienicki",2016,0
"17625",1408000,"Powiat legionowski",2016,3946
"17626",1409000,"Powiat lipski",2016,0
"17627",1410000,"Powiat łosicki",2016,0
"17628",1411000,"Powiat makowski",2016,0
"17629",1412000,"Powiat miński",2016,3163
"17630",1413000,"Powiat mławski",2016,2716
"17631",1414000,"Powiat nowodworski",2016,3509
"17632",1415000,"Powiat ostrołęcki",2016,0
"17633",1416000,"Powiat ostrowski",2016,0
"17634",1417000,"Powiat otwocki",2016,3620
"17635",1418000,"Powiat piaseczyński",2016,4187
"17636",1419000,"Powiat płocki",2016,0
"17637",1420000,"Powiat płoński",2016,0
"17638",1421000,"Powiat pruszkowski",2016,4254
"17639",1422000,"Powiat przasnyski",2016,0
"17640",1423000,"Powiat przysuski",2016,0
"17641",1424000,"Powiat pułtuski",2016,0
"17642",1425000,"Powiat radomski",2016,0
"17643",1426000,"Powiat siedlecki",2016,0
"17644",1427000,"Powiat sierpecki",2016,0
"17645",1428000,"Powiat sochaczewski",2016,0
"17646",1429000,"Powiat sokołowski",2016,0
"17647",1430000,"Powiat szydłowiecki",2016,0
"17648",1432000,"Powiat warszawski zachodni",2016,4749
"17649",1433000,"Powiat węgrowski",2016,0
"17650",1434000,"Powiat wołomiński",2016,3362
"17651",1435000,"Powiat wyszkowski",2016,0
"17652",1436000,"Powiat zwoleński",2016,0
"17653",1437000,"Powiat żuromiński",2016,0
"17654",1438000,"Powiat żyrardowski",2016,5679
"17655",1461000,"Powiat m.Ostrołęka",2016,0
"17656",1462000,"Powiat m.Płock",2016,4377
"17657",1463000,"Powiat m.Radom",2016,4493
"17658",1464000,"Powiat m.Siedlce",2016,4069
"17659",1465000,"Powiat m. st. Warszawa",2016,7757
"17660",1601000,"Powiat brzeski",2016,0
