"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezdomnosc"
"4154",3030000,"Powiat wrzesiński",2014,65
"4155",3031000,"Powiat złotowski",2014,109
"4156",3061000,"Powiat m.Kalisz",2014,116
"4157",3062000,"Powiat m.Konin",2014,147
"4158",3063000,"Powiat m.Leszno",2014,126
"4159",3064000,"Powiat m.Poznań",2014,1037
"4160",3201000,"Powiat białogardzki",2014,96
"4161",3202000,"Powiat choszczeński",2014,70
"4162",3203000,"Powiat drawski",2014,61
"4163",3204000,"Powiat goleniowski",2014,86
"4164",3205000,"Powiat gryficki",2014,80
"4165",3206000,"Powiat gryfiński",2014,100
"4166",3207000,"Powiat kamieński",2014,57
"4167",3208000,"Powiat kołobrzeski",2014,95
"4168",3209000,"Powiat koszaliński",2014,64
"4169",3210000,"Powiat myśliborski",2014,124
"4170",3211000,"Powiat policki",2014,163
"4171",3212000,"Powiat pyrzycki",2014,75
"4172",3213000,"Powiat sławieński",2014,68
"4173",3214000,"Powiat stargardzki",2014,249
"4174",3215000,"Powiat szczecinecki",2014,120
"4175",3216000,"Powiat świdwiński",2014,31
"4176",3217000,"Powiat wałecki",2014,84
"4177",3218000,"Powiat łobeski",2014,66
"4178",3261000,"Powiat m.Koszalin",2014,143
"4179",3262000,"Powiat m.Szczecin",2014,1056
"4180",3263000,"Powiat m.Świnoujście",2014,100
"4181",201000,"Powiat bolesławiecki",2015,140
"4182",202000,"Powiat dzierżoniowski",2015,124
"4183",203000,"Powiat głogowski",2015,98
"4184",204000,"Powiat górowski",2015,35
"4185",205000,"Powiat jaworski",2015,58
"4186",206000,"Powiat jeleniogórski",2015,95
"4187",207000,"Powiat kamiennogórski",2015,35
"4188",208000,"Powiat kłodzki",2015,132
"4189",209000,"Powiat legnicki",2015,29
"4190",210000,"Powiat lubański",2015,50
"4191",211000,"Powiat lubiński",2015,131
"4192",212000,"Powiat lwówecki",2015,27
"4193",213000,"Powiat milicki",2015,20
"4194",214000,"Powiat oleśnicki",2015,66
"4195",215000,"Powiat oławski",2015,34
"4196",216000,"Powiat polkowicki",2015,80
"4197",217000,"Powiat strzeliński",2015,16
"4198",218000,"Powiat średzki",2015,24
"4199",219000,"Powiat świdnicki",2015,248
"4200",220000,"Powiat trzebnicki",2015,49
"4201",221000,"Powiat wałbrzyski",2015,55
"4202",222000,"Powiat wołowski",2015,106
"4203",223000,"Powiat wrocławski",2015,68
"4204",224000,"Powiat ząbkowicki",2015,25
"4205",225000,"Powiat zgorzelecki",2015,142
"4206",226000,"Powiat złotoryjski",2015,41
"4207",261000,"Powiat m.Jelenia Góra",2015,134
"4208",262000,"Powiat m.Legnica",2015,182
"4209",264000,"Powiat m.Wrocław",2015,502
"4210",265000,"Powiat m.Wałbrzych od 2013",2015,316
"4211",401000,"Powiat aleksandrowski",2015,35
"4212",402000,"Powiat brodnicki",2015,77
"4213",403000,"Powiat bydgoski",2015,113
"4214",404000,"Powiat chełmiński",2015,54
"4215",405000,"Powiat golubsko-dobrzyński",2015,31
"4216",406000,"Powiat grudziądzki",2015,17
"4217",407000,"Powiat inowrocławski",2015,148
"4218",408000,"Powiat lipnowski",2015,49
"4219",409000,"Powiat mogileński",2015,76
"4220",410000,"Powiat nakielski",2015,96
"4221",411000,"Powiat radziejowski",2015,21
"4222",412000,"Powiat rypiński",2015,34
"4223",413000,"Powiat sępoleński",2015,20
"4224",414000,"Powiat świecki",2015,106
"4225",415000,"Powiat toruński",2015,67
"4226",416000,"Powiat tucholski",2015,27
"4227",417000,"Powiat wąbrzeski",2015,34
"4228",418000,"Powiat włocławski",2015,37
"4229",419000,"Powiat żniński",2015,58
"4230",461000,"Powiat m.Bydgoszcz",2015,616
"4231",462000,"Powiat m.Grudziądz",2015,211
"4232",463000,"Powiat m.Toruń",2015,323
"4233",464000,"Powiat m.Włocławek",2015,274
"4234",601000,"Powiat bialski",2015,30
"4235",602000,"Powiat biłgorajski",2015,24
"4236",603000,"Powiat chełmski",2015,21
"4237",604000,"Powiat hrubieszowski",2015,26
