"","Kod","Nazwa","rok","WYNAGRODZENIA_CTAB_przecietne_miesieczne_wynagrodzenia_brutto_w_relacji_do_sredniej_krajowej_Polska_100_proc"
"7355",1063000,"Powiat m.Skierniewice",2003,85.8
"7356",1201000,"Powiat bocheński",2003,83.5
"7357",1202000,"Powiat brzeski",2003,74.8
"7358",1203000,"Powiat chrzanowski",2003,92.7
"7359",1204000,"Powiat dąbrowski",2003,75.8
"7360",1205000,"Powiat gorlicki",2003,80
"7361",1206000,"Powiat krakowski",2003,90.7
"7362",1207000,"Powiat limanowski",2003,76.4
"7363",1208000,"Powiat miechowski",2003,78.2
"7364",1209000,"Powiat myślenicki",2003,90.7
"7365",1210000,"Powiat nowosądecki",2003,78.6
"7366",1211000,"Powiat nowotarski",2003,75.9
"7367",1212000,"Powiat olkuski",2003,93.1
"7368",1213000,"Powiat oświęcimski",2003,86.9
"7369",1214000,"Powiat proszowicki",2003,78.6
"7370",1215000,"Powiat suski",2003,81
"7371",1216000,"Powiat tarnowski",2003,72.8
"7372",1217000,"Powiat tatrzański",2003,81.3
"7373",1218000,"Powiat wadowicki",2003,77
"7374",1219000,"Powiat wielicki",2003,91.5
"7375",1261000,"Powiat m.Kraków",2003,100.4
"7376",1262000,"Powiat m.Nowy Sącz",2003,87.2
"7377",1263000,"Powiat m.Tarnów",2003,84.2
"7378",1401000,"Powiat białobrzeski",2003,82.2
"7379",1402000,"Powiat ciechanowski",2003,86.9
"7380",1403000,"Powiat garwoliński",2003,82.6
"7381",1404000,"Powiat gostyniński",2003,76
"7382",1405000,"Powiat grodziski",2003,110.4
"7383",1406000,"Powiat grójecki",2003,101.5
"7384",1407000,"Powiat kozienicki",2003,112.4
"7385",1408000,"Powiat legionowski",2003,101
