"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietna_powierzchnia_uZytkowa_1_mieszkania_m2"
"13966",2216000,"Powiat sztumski",2002,75.3
"13967",2261000,"Powiat m.Gdańsk",2002,70.1
"13968",2262000,"Powiat m.Gdynia",2002,75.5
"13969",2263000,"Powiat m.Słupsk",2002,94.7
"13970",2264000,"Powiat m.Sopot",2002,67.7
"13971",2401000,"Powiat będziński",2002,143.4
"13972",2402000,"Powiat bielski",2002,132.3
"13973",2403000,"Powiat cieszyński",2002,117.4
"13974",2404000,"Powiat częstochowski",2002,144
"13975",2405000,"Powiat gliwicki",2002,150.3
"13976",2406000,"Powiat kłobucki",2002,146.5
"13977",2407000,"Powiat lubliniecki",2002,134.8
"13978",2408000,"Powiat mikołowski",2002,108.6
"13979",2409000,"Powiat myszkowski",2002,118.4
"13980",2410000,"Powiat pszczyński",2002,134.2
"13981",2411000,"Powiat raciborski",2002,153.9
"13982",2412000,"Powiat rybnicki",2002,150.1
"13983",2413000,"Powiat tarnogórski",2002,151.8
"13984",2414000,"Powiat bieruńsko-lędziński",2002,147.8
"13985",2415000,"Powiat wodzisławski",2002,130.6
"13986",2416000,"Powiat zawierciański",2002,136.8
"13987",2417000,"Powiat żywiecki",2002,116.7
"13988",2461000,"Powiat m.Bielsko-Biała",2002,111.4
"13989",2462000,"Powiat m.Bytom",2002,183.6
"13990",2463000,"Powiat m.Chorzów",2002,119
"13991",2464000,"Powiat m.Częstochowa",2002,103.4
"13992",2465000,"Powiat m.Dąbrowa Górnicza",2002,148.2
"13993",2466000,"Powiat m.Gliwice",2002,102
"13994",2467000,"Powiat m.Jastrzębie-Zdrój",2002,130.9
"13995",2468000,"Powiat m.Jaworzno",2002,125.5
"13996",2469000,"Powiat m.Katowice",2002,122.4
"13997",2470000,"Powiat m.Mysłowice",2002,115.2
"13998",2471000,"Powiat m.Piekary Śląskie",2002,163.8
"13999",2472000,"Powiat m.Ruda Śląska",2002,63.5
"14000",2473000,"Powiat m.Rybnik",2002,158.4
"14001",2474000,"Powiat m.Siemianowice Śląskie",2002,77.9
"14002",2475000,"Powiat m.Sosnowiec",2002,132.5
"14003",2476000,"Powiat m.Świętochłowice",2002,161.9
"14004",2477000,"Powiat m.Tychy",2002,128.6
"14005",2478000,"Powiat m.Zabrze",2002,93.7
"14006",2479000,"Powiat m.Żory",2002,66.3
"14007",2601000,"Powiat buski",2002,127.7
"14008",2602000,"Powiat jędrzejowski",2002,125.7
"14009",2603000,"Powiat kazimierski",2002,130.8
