"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_40_do_60_m2_zl"
"13647",3023000,"Powiat słupecki",2015,3783
"13648",3024000,"Powiat szamotulski",2015,0
"13649",3025000,"Powiat średzki",2015,3447
"13650",3026000,"Powiat śremski",2015,0
"13651",3027000,"Powiat turecki",2015,0
"13652",3028000,"Powiat wągrowiecki",2015,3664
"13653",3029000,"Powiat wolsztyński",2015,0
"13654",3030000,"Powiat wrzesiński",2015,3668
"13655",3031000,"Powiat złotowski",2015,3273
"13656",3061000,"Powiat m.Kalisz",2015,3148
"13657",3062000,"Powiat m.Konin",2015,4038
"13658",3063000,"Powiat m.Leszno",2015,3618
"13659",3064000,"Powiat m.Poznań",2015,5955
"13660",3201000,"Powiat białogardzki",2015,0
"13661",3202000,"Powiat choszczeński",2015,3000
"13662",3203000,"Powiat drawski",2015,0
"13663",3204000,"Powiat goleniowski",2015,3698
"13664",3205000,"Powiat gryficki",2015,0
"13665",3206000,"Powiat gryfiński",2015,3765
"13666",3207000,"Powiat kamieński",2015,6942
"13667",3208000,"Powiat kołobrzeski",2015,4500
"13668",3209000,"Powiat koszaliński",2015,9421
"13669",3210000,"Powiat myśliborski",2015,3185
"13670",3211000,"Powiat policki",2015,4702
"13671",3212000,"Powiat pyrzycki",2015,0
"13672",3213000,"Powiat sławieński",2015,3661
"13673",3214000,"Powiat stargardzki",2015,3599
"13674",3215000,"Powiat szczecinecki",2015,3213
"13675",3216000,"Powiat świdwiński",2015,0
"13676",3217000,"Powiat wałecki",2015,0
"13677",3218000,"Powiat łobeski",2015,0
"13678",3261000,"Powiat m.Koszalin",2015,0
"13679",3262000,"Powiat m.Szczecin",2015,4884
"13680",3263000,"Powiat m.Świnoujście",2015,5688
"13681",201000,"Powiat bolesławiecki",2016,3462
"13682",202000,"Powiat dzierżoniowski",2016,3314
"13683",203000,"Powiat głogowski",2016,3776
"13684",204000,"Powiat górowski",2016,0
"13685",205000,"Powiat jaworski",2016,0
"13686",206000,"Powiat jeleniogórski",2016,6904
"13687",207000,"Powiat kamiennogórski",2016,0
"13688",208000,"Powiat kłodzki",2016,4403
"13689",209000,"Powiat legnicki",2016,0
"13690",210000,"Powiat lubański",2016,2861
"13691",211000,"Powiat lubiński",2016,4169
"13692",212000,"Powiat lwówecki",2016,0
"13693",213000,"Powiat milicki",2016,3472
"13694",214000,"Powiat oleśnicki",2016,4111
"13695",215000,"Powiat oławski",2016,3651
"13696",216000,"Powiat polkowicki",2016,2342
"13697",217000,"Powiat strzeliński",2016,4112
"13698",218000,"Powiat średzki",2016,4043
"13699",219000,"Powiat świdnicki",2016,3753
"13700",220000,"Powiat trzebnicki",2016,3901
"13701",221000,"Powiat wałbrzyski",2016,0
"13702",222000,"Powiat wołowski",2016,3477
"13703",223000,"Powiat wrocławski",2016,4346
"13704",224000,"Powiat ząbkowicki",2016,0
"13705",225000,"Powiat zgorzelecki",2016,0
"13706",226000,"Powiat złotoryjski",2016,2947
"13707",261000,"Powiat m.Jelenia Góra",2016,3757
"13708",262000,"Powiat m.Legnica",2016,3499
"13709",264000,"Powiat m.Wrocław",2016,5751
"13710",265000,"Powiat m.Wałbrzych od 2013",2016,2902
"13711",401000,"Powiat aleksandrowski",2016,3884
"13712",402000,"Powiat brodnicki",2016,3098
"13713",403000,"Powiat bydgoski",2016,3689
"13714",404000,"Powiat chełmiński",2016,3388
"13715",405000,"Powiat golubsko-dobrzyński",2016,0
"13716",406000,"Powiat grudziądzki",2016,0
"13717",407000,"Powiat inowrocławski",2016,4073
"13718",408000,"Powiat lipnowski",2016,0
"13719",409000,"Powiat mogileński",2016,0
"13720",410000,"Powiat nakielski",2016,0
"13721",411000,"Powiat radziejowski",2016,0
"13722",412000,"Powiat rypiński",2016,0
"13723",413000,"Powiat sępoleński",2016,3272
"13724",414000,"Powiat świecki",2016,3568
"13725",415000,"Powiat toruński",2016,3002
"13726",416000,"Powiat tucholski",2016,0
"13727",417000,"Powiat wąbrzeski",2016,0
"13728",418000,"Powiat włocławski",2016,2751
"13729",419000,"Powiat żniński",2016,3598
"13730",461000,"Powiat m.Bydgoszcz",2016,4690
"13731",462000,"Powiat m.Grudziądz",2016,2475
"13732",463000,"Powiat m.Toruń",2016,4017
"13733",464000,"Powiat m.Włocławek",2016,2628
"13734",601000,"Powiat bialski",2016,0
"13735",602000,"Powiat biłgorajski",2016,2693
"13736",603000,"Powiat chełmski",2016,0
"13737",604000,"Powiat hrubieszowski",2016,0
"13738",605000,"Powiat janowski",2016,0
"13739",606000,"Powiat krasnostawski",2016,0
"13740",607000,"Powiat kraśnicki",2016,0
