"","Kod","Nazwa","rok","LASY_PRYWATNE_I_GMINNE_CTAB_lasy_ogolem_ha"
"8605",2602000,"Powiat jędrzejowski",1998,7495
"8606",2603000,"Powiat kazimierski",1998,486
"8607",2604000,"Powiat kielecki",1998,16600.8
"8608",2605000,"Powiat konecki",1998,14817.2
"8609",2606000,"Powiat opatowski",1998,7273.5
"8610",2607000,"Powiat ostrowiecki",1998,4220.1
"8611",2608000,"Powiat pińczowski",1998,2133.3
"8612",2609000,"Powiat sandomierski",1998,1676.4
"8613",2610000,"Powiat skarżyski",1998,2600.3
"8614",2611000,"Powiat starachowicki",1998,1145.9
"8615",2612000,"Powiat staszowski",1998,5845.4
"8616",2613000,"Powiat włoszczowski",1998,10847.4
"8617",2661000,"Powiat m.Kielce",1998,388
"8618",2801000,"Powiat bartoszycki",1998,1047.1
"8619",2802000,"Powiat braniewski",1998,580.9
"8620",2803000,"Powiat działdowski",1998,2546.5
"8621",2804000,"Powiat elbląski",1998,933.8
"8622",2805000,"Powiat ełcki",1998,1973.5
"8623",2806000,"Powiat giżycki",1998,1924.8
"8624",2807000,"Powiat iławski",1998,1617.3
"8625",2808000,"Powiat kętrzyński",1998,378
"8626",2809000,"Powiat lidzbarski",1998,864.2
"8627",2810000,"Powiat mrągowski",1998,1632.5
"8628",2811000,"Powiat nidzicki",1998,2311.3
"8629",2812000,"Powiat nowomiejski",1998,2408.6
"8630",2813000,"Powiat olecki",1998,2490.7
"8631",2814000,"Powiat olsztyński",1998,4872
"8632",2815000,"Powiat ostródzki",1998,1647.8
"8633",2816000,"Powiat piski",1998,1511
"8634",2817000,"Powiat szczycieński",1998,3966.7
"8635",2818000,"Powiat gołdapski",1998,NA
"8636",2819000,"Powiat węgorzewski",1998,NA
"8637",2861000,"Powiat m.Elbląg",1998,343.4
"8638",2862000,"Powiat m.Olsztyn",1998,1400
"8639",3001000,"Powiat chodzieski",1998,990.2
"8640",3002000,"Powiat czarnkowsko-trzcianecki",1998,5456.7
"8641",3003000,"Powiat gnieźnieński",1998,1215.9
"8642",3004000,"Powiat gostyński",1998,713.6
"8643",3005000,"Powiat grodziski",1998,1151.7
"8644",3006000,"Powiat jarociński",1998,755
"8645",3007000,"Powiat kaliski",1998,5033.3
"8646",3008000,"Powiat kępiński",1998,1030.2
"8647",3009000,"Powiat kolski",1998,2344.4
"8648",3010000,"Powiat koniński",1998,5472.5
"8649",3011000,"Powiat kościański",1998,1238.8
"8650",3012000,"Powiat krotoszyński",1998,809.9
"8651",3013000,"Powiat leszczyński",1998,2150.2
"8652",3014000,"Powiat międzychodzki",1998,2164.7
"8653",3015000,"Powiat nowotomyski",1998,2913
"8654",3016000,"Powiat obornicki",1998,1241.4
"8655",3017000,"Powiat ostrowski",1998,1995.1
"8656",3018000,"Powiat ostrzeszowski",1998,8096.5
"8657",3019000,"Powiat pilski",1998,1932.6
"8658",3020000,"Powiat pleszewski",1998,2269.6
"8659",3021000,"Powiat poznański",1998,2415
"8660",3022000,"Powiat rawicki",1998,896.7
"8661",3023000,"Powiat słupecki",1998,2056.7
"8662",3024000,"Powiat szamotulski",1998,1434.9
"8663",3025000,"Powiat średzki",1998,1339
"8664",3026000,"Powiat śremski",1998,1316.1
"8665",3027000,"Powiat turecki",1998,8131.5
"8666",3028000,"Powiat wągrowiecki",1998,1950
"8667",3029000,"Powiat wolsztyński",1998,2509.4
"8668",3030000,"Powiat wrzesiński",1998,1306
"8669",3031000,"Powiat złotowski",1998,2057.7
"8670",3061000,"Powiat m.Kalisz",1998,170.3
"8671",3062000,"Powiat m.Konin",1998,182
"8672",3063000,"Powiat m.Leszno",1998,61.8
"8673",3064000,"Powiat m.Poznań",1998,2287.3
"8674",3201000,"Powiat białogardzki",1998,536.5
"8675",3202000,"Powiat choszczeński",1998,272.2
"8676",3203000,"Powiat drawski",1998,903.7
"8677",3204000,"Powiat goleniowski",1998,600.9
"8678",3205000,"Powiat gryficki",1998,399
"8679",3206000,"Powiat gryfiński",1998,235.8
"8680",3207000,"Powiat kamieński",1998,510.4
"8681",3208000,"Powiat kołobrzeski",1998,446.6
"8682",3209000,"Powiat koszaliński",1998,1165.9
"8683",3210000,"Powiat myśliborski",1998,259
"8684",3211000,"Powiat policki",1998,109.7
"8685",3212000,"Powiat pyrzycki",1998,346.7
"8686",3213000,"Powiat sławieński",1998,526.5
"8687",3214000,"Powiat stargardzki",1998,1129.7
"8688",3215000,"Powiat szczecinecki",1998,793.9
"8689",3216000,"Powiat świdwiński",1998,715.1
"8690",3217000,"Powiat wałecki",1998,416.1
"8691",3218000,"Powiat łobeski",1998,NA
"8692",3261000,"Powiat m.Koszalin",1998,96.8
"8693",3262000,"Powiat m.Szczecin",1998,2091
"8694",3263000,"Powiat m.Świnoujście",1998,140.7
"8695",201000,"Powiat bolesławiecki",1999,634.4
"8696",202000,"Powiat dzierżoniowski",1999,211.6
"8697",203000,"Powiat głogowski",1999,171.5
"8698",204000,"Powiat górowski",1999,372.1
"8699",205000,"Powiat jaworski",1999,555
"8700",206000,"Powiat jeleniogórski",1999,1488.9
"8701",207000,"Powiat kamiennogórski",1999,424.4
"8702",208000,"Powiat kłodzki",1999,4157.5
"8703",209000,"Powiat legnicki",1999,434.6
"8704",210000,"Powiat lubański",1999,282.8
"8705",211000,"Powiat lubiński",1999,251.1
"8706",212000,"Powiat lwówecki",1999,811
"8707",213000,"Powiat milicki",1999,568.7
