"","Kod","Nazwa","rok","Wydatki_powiatow_na_1_mieszkanca_ogolem_zl"
"420",1208000,"Powiat miechowski",2003,573
"421",1209000,"Powiat myślenicki",2003,378
"422",1210000,"Powiat nowosądecki",2003,315
"423",1211000,"Powiat nowotarski",2003,482
"424",1212000,"Powiat olkuski",2003,421
"425",1213000,"Powiat oświęcimski",2003,469
"426",1214000,"Powiat proszowicki",2003,482
"427",1215000,"Powiat suski",2003,501
"428",1216000,"Powiat tarnowski",2003,290
"429",1217000,"Powiat tatrzański",2003,486
"430",1218000,"Powiat wadowicki",2003,421
"431",1219000,"Powiat wielicki",2003,225
"432",1401000,"Powiat białobrzeski",2003,412
"433",1402000,"Powiat ciechanowski",2003,534
"434",1403000,"Powiat garwoliński",2003,541
"435",1404000,"Powiat gostyniński",2003,547
"436",1405000,"Powiat grodziski",2003,758
"437",1406000,"Powiat grójecki",2003,439
"438",1407000,"Powiat kozienicki",2003,420
"439",1408000,"Powiat legionowski",2003,285
"440",1409000,"Powiat lipski",2003,614
"441",1410000,"Powiat łosicki",2003,469
"442",1411000,"Powiat makowski",2003,504
"443",1412000,"Powiat miński",2003,451
"444",1413000,"Powiat mławski",2003,441
"445",1414000,"Powiat nowodworski",2003,316
"446",1415000,"Powiat ostrołęcki",2003,326
"447",1416000,"Powiat ostrowski",2003,400
"448",1417000,"Powiat otwocki",2003,470
"449",1418000,"Powiat piaseczyński",2003,478
"450",1419000,"Powiat płocki",2003,431
"451",1420000,"Powiat płoński",2003,415
"452",1421000,"Powiat pruszkowski",2003,302
"453",1422000,"Powiat przasnyski",2003,552
"454",1423000,"Powiat przysuski",2003,537
"455",1424000,"Powiat pułtuski",2003,587
"456",1425000,"Powiat radomski",2003,318
"457",1426000,"Powiat siedlecki",2003,207
"458",1427000,"Powiat sierpecki",2003,457
"459",1428000,"Powiat sochaczewski",2003,477
"460",1429000,"Powiat sokołowski",2003,462
"461",1430000,"Powiat szydłowiecki",2003,405
"462",1432000,"Powiat warszawski zachodni",2003,354
"463",1433000,"Powiat węgrowski",2003,478
"464",1434000,"Powiat wołomiński",2003,264
"465",1435000,"Powiat wyszkowski",2003,507
"466",1436000,"Powiat zwoleński",2003,387
"467",1437000,"Powiat żuromiński",2003,497
"468",1438000,"Powiat żyrardowski",2003,433
