"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_zl"
"6062",3203000,"Powiat drawski",2015,1936
"6063",3204000,"Powiat goleniowski",2015,3146
"6064",3205000,"Powiat gryficki",2015,1923
"6065",3206000,"Powiat gryfiński",2015,2578
"6066",3207000,"Powiat kamieński",2015,3780
"6067",3208000,"Powiat kołobrzeski",2015,3782
"6068",3209000,"Powiat koszaliński",2015,2266
"6069",3210000,"Powiat myśliborski",2015,2919
"6070",3211000,"Powiat policki",2015,4078
"6071",3212000,"Powiat pyrzycki",2015,1902
"6072",3213000,"Powiat sławieński",2015,2128
"6073",3214000,"Powiat stargardzki",2015,3046
"6074",3215000,"Powiat szczecinecki",2015,2363
"6075",3216000,"Powiat świdwiński",2015,1664
"6076",3217000,"Powiat wałecki",2015,1883
"6077",3218000,"Powiat łobeski",2015,1608
"6078",3261000,"Powiat m.Koszalin",2015,3128
"6079",3262000,"Powiat m.Szczecin",2015,4357
"6080",3263000,"Powiat m.Świnoujście",2015,4006
"6081",201000,"Powiat bolesławiecki",2016,3045
"6082",202000,"Powiat dzierżoniowski",2016,1899
"6083",203000,"Powiat głogowski",2016,3197
"6084",204000,"Powiat górowski",2016,3225
"6085",205000,"Powiat jaworski",2016,1841
"6086",206000,"Powiat jeleniogórski",2016,2475
"6087",207000,"Powiat kamiennogórski",2016,1338
"6088",208000,"Powiat kłodzki",2016,1838
"6089",209000,"Powiat legnicki",2016,2340
"6090",210000,"Powiat lubański",2016,2329
"6091",211000,"Powiat lubiński",2016,3239
"6092",212000,"Powiat lwówecki",2016,1325
"6093",213000,"Powiat milicki",2016,2635
"6094",214000,"Powiat oleśnicki",2016,2937
"6095",215000,"Powiat oławski",2016,3386
"6096",216000,"Powiat polkowicki",2016,2421
"6097",217000,"Powiat strzeliński",2016,3086
"6098",218000,"Powiat średzki",2016,4016
"6099",219000,"Powiat świdnicki",2016,2790
"6100",220000,"Powiat trzebnicki",2016,3698
"6101",221000,"Powiat wałbrzyski",2016,1440
"6102",222000,"Powiat wołowski",2016,2621
"6103",223000,"Powiat wrocławski",2016,4095
"6104",224000,"Powiat ząbkowicki",2016,2167
"6105",225000,"Powiat zgorzelecki",2016,2474
"6106",226000,"Powiat złotoryjski",2016,1794
"6107",261000,"Powiat m.Jelenia Góra",2016,2706
"6108",262000,"Powiat m.Legnica",2016,2707
"6109",264000,"Powiat m.Wrocław",2016,5220
"6110",265000,"Powiat m.Wałbrzych od 2013",2016,1715
"6111",401000,"Powiat aleksandrowski",2016,3028
"6112",402000,"Powiat brodnicki",2016,2790
"6113",403000,"Powiat bydgoski",2016,3380
