"","Kod","Nazwa","rok","BEZROBOCIE_kobiety_w_proc_bezrobotnych_kobiet_proc"
"19612",2062000,"Powiat m.Łomża",2003,NA
"19613",2063000,"Powiat m.Suwałki",2003,NA
"19614",2201000,"Powiat bytowski",2003,NA
"19615",2202000,"Powiat chojnicki",2003,NA
"19616",2203000,"Powiat człuchowski",2003,NA
"19617",2204000,"Powiat gdański",2003,NA
"19618",2205000,"Powiat kartuski",2003,NA
"19619",2206000,"Powiat kościerski",2003,NA
"19620",2207000,"Powiat kwidzyński",2003,NA
"19621",2208000,"Powiat lęborski",2003,NA
"19622",2209000,"Powiat malborski",2003,NA
"19623",2210000,"Powiat nowodworski",2003,NA
"19624",2211000,"Powiat pucki",2003,NA
"19625",2212000,"Powiat słupski",2003,NA
"19626",2213000,"Powiat starogardzki",2003,NA
"19627",2214000,"Powiat tczewski",2003,NA
"19628",2215000,"Powiat wejherowski",2003,NA
"19629",2216000,"Powiat sztumski",2003,NA
"19630",2261000,"Powiat m.Gdańsk",2003,NA
"19631",2262000,"Powiat m.Gdynia",2003,NA
"19632",2263000,"Powiat m.Słupsk",2003,NA
"19633",2264000,"Powiat m.Sopot",2003,NA
"19634",2401000,"Powiat będziński",2003,NA
"19635",2402000,"Powiat bielski",2003,NA
"19636",2403000,"Powiat cieszyński",2003,NA
"19637",2404000,"Powiat częstochowski",2003,NA
"19638",2405000,"Powiat gliwicki",2003,NA
"19639",2406000,"Powiat kłobucki",2003,NA
"19640",2407000,"Powiat lubliniecki",2003,NA
"19641",2408000,"Powiat mikołowski",2003,NA
"19642",2409000,"Powiat myszkowski",2003,NA
"19643",2410000,"Powiat pszczyński",2003,NA
"19644",2411000,"Powiat raciborski",2003,NA
"19645",2412000,"Powiat rybnicki",2003,NA
"19646",2413000,"Powiat tarnogórski",2003,NA
"19647",2414000,"Powiat bieruńsko-lędziński",2003,NA
"19648",2415000,"Powiat wodzisławski",2003,NA
"19649",2416000,"Powiat zawierciański",2003,NA
"19650",2417000,"Powiat żywiecki",2003,NA
"19651",2461000,"Powiat m.Bielsko-Biała",2003,NA
"19652",2462000,"Powiat m.Bytom",2003,NA
"19653",2463000,"Powiat m.Chorzów",2003,NA
"19654",2464000,"Powiat m.Częstochowa",2003,NA
"19655",2465000,"Powiat m.Dąbrowa Górnicza",2003,NA
"19656",2466000,"Powiat m.Gliwice",2003,NA
"19657",2467000,"Powiat m.Jastrzębie-Zdrój",2003,NA
"19658",2468000,"Powiat m.Jaworzno",2003,NA
"19659",2469000,"Powiat m.Katowice",2003,NA
"19660",2470000,"Powiat m.Mysłowice",2003,NA
"19661",2471000,"Powiat m.Piekary Śląskie",2003,NA
"19662",2472000,"Powiat m.Ruda Śląska",2003,NA
"19663",2473000,"Powiat m.Rybnik",2003,NA
"19664",2474000,"Powiat m.Siemianowice Śląskie",2003,NA
"19665",2475000,"Powiat m.Sosnowiec",2003,NA
"19666",2476000,"Powiat m.Świętochłowice",2003,NA
"19667",2477000,"Powiat m.Tychy",2003,NA
"19668",2478000,"Powiat m.Zabrze",2003,NA
"19669",2479000,"Powiat m.Żory",2003,NA
"19670",2601000,"Powiat buski",2003,NA
"19671",2602000,"Powiat jędrzejowski",2003,NA
"19672",2603000,"Powiat kazimierski",2003,NA
"19673",2604000,"Powiat kielecki",2003,NA
"19674",2605000,"Powiat konecki",2003,NA
"19675",2606000,"Powiat opatowski",2003,NA
"19676",2607000,"Powiat ostrowiecki",2003,NA
"19677",2608000,"Powiat pińczowski",2003,NA
"19678",2609000,"Powiat sandomierski",2003,NA
"19679",2610000,"Powiat skarżyski",2003,NA
"19680",2611000,"Powiat starachowicki",2003,NA
"19681",2612000,"Powiat staszowski",2003,NA
"19682",2613000,"Powiat włoszczowski",2003,NA
"19683",2661000,"Powiat m.Kielce",2003,NA
"19684",2801000,"Powiat bartoszycki",2003,NA
"19685",2802000,"Powiat braniewski",2003,NA
"19686",2803000,"Powiat działdowski",2003,NA
"19687",2804000,"Powiat elbląski",2003,NA
"19688",2805000,"Powiat ełcki",2003,NA
"19689",2806000,"Powiat giżycki",2003,NA
"19690",2807000,"Powiat iławski",2003,NA
"19691",2808000,"Powiat kętrzyński",2003,NA
"19692",2809000,"Powiat lidzbarski",2003,NA
"19693",2810000,"Powiat mrągowski",2003,NA
"19694",2811000,"Powiat nidzicki",2003,NA
"19695",2812000,"Powiat nowomiejski",2003,NA
"19696",2813000,"Powiat olecki",2003,NA
"19697",2814000,"Powiat olsztyński",2003,NA
"19698",2815000,"Powiat ostródzki",2003,NA
"19699",2816000,"Powiat piski",2003,NA
"19700",2817000,"Powiat szczycieński",2003,NA
"19701",2818000,"Powiat gołdapski",2003,NA
"19702",2819000,"Powiat węgorzewski",2003,NA
"19703",2861000,"Powiat m.Elbląg",2003,NA
"19704",2862000,"Powiat m.Olsztyn",2003,NA
"19705",3001000,"Powiat chodzieski",2003,NA
"19706",3002000,"Powiat czarnkowsko-trzcianecki",2003,NA
"19707",3003000,"Powiat gnieźnieński",2003,NA
