"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_ubostwo"
"277",2467000,"Powiat m.Jastrzębie-Zdrój",2014,1305
"278",2468000,"Powiat m.Jaworzno",2014,915
"279",2469000,"Powiat m.Katowice",2014,4544
"280",2470000,"Powiat m.Mysłowice",2014,347
"281",2471000,"Powiat m.Piekary Śląskie",2014,840
"282",2472000,"Powiat m.Ruda Śląska",2014,2254
"283",2473000,"Powiat m.Rybnik",2014,1811
"284",2474000,"Powiat m.Siemianowice Śląskie",2014,2278
"285",2475000,"Powiat m.Sosnowiec",2014,3375
"286",2476000,"Powiat m.Świętochłowice",2014,1020
"287",2477000,"Powiat m.Tychy",2014,1415
"288",2478000,"Powiat m.Zabrze",2014,2211
"289",2479000,"Powiat m.Żory",2014,513
"290",2601000,"Powiat buski",2014,880
"291",2602000,"Powiat jędrzejowski",2014,1593
"292",2603000,"Powiat kazimierski",2014,378
"293",2604000,"Powiat kielecki",2014,4647
"294",2605000,"Powiat konecki",2014,1427
"295",2606000,"Powiat opatowski",2014,1107
"296",2607000,"Powiat ostrowiecki",2014,2786
"297",2608000,"Powiat pińczowski",2014,519
"298",2609000,"Powiat sandomierski",2014,1318
"299",2610000,"Powiat skarżyski",2014,1351
"300",2611000,"Powiat starachowicki",2014,2163
"301",2612000,"Powiat staszowski",2014,1332
"302",2613000,"Powiat włoszczowski",2014,421
"303",2661000,"Powiat m.Kielce",2014,5860
"304",2801000,"Powiat bartoszycki",2014,2299
"305",2802000,"Powiat braniewski",2014,1480
"306",2803000,"Powiat działdowski",2014,1369
"307",2804000,"Powiat elbląski",2014,3344
"308",2805000,"Powiat ełcki",2014,2882
"309",2806000,"Powiat giżycki",2014,1359
"310",2807000,"Powiat iławski",2014,2745
"311",2808000,"Powiat kętrzyński",2014,3039
"312",2809000,"Powiat lidzbarski",2014,1419
"313",2810000,"Powiat mrągowski",2014,1480
"314",2811000,"Powiat nidzicki",2014,791
"315",2812000,"Powiat nowomiejski",2014,1741
"316",2813000,"Powiat olecki",2014,254
"317",2814000,"Powiat olsztyński",2014,2707
"318",2815000,"Powiat ostródzki",2014,2421
"319",2816000,"Powiat piski",2014,2366
"320",2817000,"Powiat szczycieński",2014,2593
"321",2818000,"Powiat gołdapski",2014,810
"322",2819000,"Powiat węgorzewski",2014,787
"323",2861000,"Powiat m.Elbląg",2014,4012
"324",2862000,"Powiat m.Olsztyn",2014,2640
"325",3001000,"Powiat chodzieski",2014,953
