"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_powierzchnia_uZytkowa_mieszkan_m2"
"9895",3019000,"Powiat pilski",1995,14757
"9896",3020000,"Powiat pleszewski",1995,11053
"9897",3021000,"Powiat poznański",1995,41763
"9898",3022000,"Powiat rawicki",1995,9383
"9899",3023000,"Powiat słupecki",1995,8792
"9900",3024000,"Powiat szamotulski",1995,15238
"9901",3025000,"Powiat średzki",1995,8385
"9902",3026000,"Powiat śremski",1995,6251
"9903",3027000,"Powiat turecki",1995,15570
"9904",3028000,"Powiat wągrowiecki",1995,5311
"9905",3029000,"Powiat wolsztyński",1995,2355
"9906",3030000,"Powiat wrzesiński",1995,12179
"9907",3031000,"Powiat złotowski",1995,7176
"9908",3061000,"Powiat m.Kalisz",1995,13748
"9909",3062000,"Powiat m.Konin",1995,20256
"9910",3063000,"Powiat m.Leszno",1995,7699
"9911",3064000,"Powiat m.Poznań",1995,102148
"9912",3201000,"Powiat białogardzki",1995,1997
"9913",3202000,"Powiat choszczeński",1995,1808
"9914",3203000,"Powiat drawski",1995,2625
"9915",3204000,"Powiat goleniowski",1995,5316
"9916",3205000,"Powiat gryficki",1995,7481
"9917",3206000,"Powiat gryfiński",1995,1672
"9918",3207000,"Powiat kamieński",1995,2178
"9919",3208000,"Powiat kołobrzeski",1995,12263
"9920",3209000,"Powiat koszaliński",1995,1441
"9921",3210000,"Powiat myśliborski",1995,4803
"9922",3211000,"Powiat policki",1995,11730
"9923",3212000,"Powiat pyrzycki",1995,1035
"9924",3213000,"Powiat sławieński",1995,749
"9925",3214000,"Powiat stargardzki",1995,11464
"9926",3215000,"Powiat szczecinecki",1995,8630
"9927",3216000,"Powiat świdwiński",1995,3713
"9928",3217000,"Powiat wałecki",1995,3974
"9929",3218000,"Powiat łobeski",1995,NA
"9930",3261000,"Powiat m.Koszalin",1995,23327
"9931",3262000,"Powiat m.Szczecin",1995,52059
"9932",3263000,"Powiat m.Świnoujście",1995,13153
"9933",201000,"Powiat bolesławiecki",1996,11657
"9934",202000,"Powiat dzierżoniowski",1996,6065
"9935",203000,"Powiat głogowski",1996,4564
"9936",204000,"Powiat górowski",1996,1724
"9937",205000,"Powiat jaworski",1996,2627
"9938",206000,"Powiat jeleniogórski",1996,6625
"9939",207000,"Powiat kamiennogórski",1996,2988
"9940",208000,"Powiat kłodzki",1996,8663
"9941",209000,"Powiat legnicki",1996,1408
"9942",210000,"Powiat lubański",1996,4510
"9943",211000,"Powiat lubiński",1996,12642
"9944",212000,"Powiat lwówecki",1996,3532
"9945",213000,"Powiat milicki",1996,2741
"9946",214000,"Powiat oleśnicki",1996,8297
"9947",215000,"Powiat oławski",1996,6928
"9948",216000,"Powiat polkowicki",1996,4745
"9949",217000,"Powiat strzeliński",1996,3689
"9950",218000,"Powiat średzki",1996,3492
"9951",219000,"Powiat świdnicki",1996,16701
"9952",220000,"Powiat trzebnicki",1996,5439
"9953",221000,"Powiat wałbrzyski",1996,1891
"9954",222000,"Powiat wołowski",1996,2455
