"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_wydatki_majatkowe_inwestycyjne_zl"
"13526",3030000,"Powiat wrzesiński",1999,235485
"13527",3031000,"Powiat złotowski",1999,1606141
"13528",3201000,"Powiat białogardzki",1999,9506996
"13529",3202000,"Powiat choszczeński",1999,725163
"13530",3203000,"Powiat drawski",1999,905827
"13531",3204000,"Powiat goleniowski",1999,1631955
"13532",3205000,"Powiat gryficki",1999,1555429
"13533",3206000,"Powiat gryfiński",1999,930774
"13534",3207000,"Powiat kamieński",1999,598797
"13535",3208000,"Powiat kołobrzeski",1999,360107
"13536",3209000,"Powiat koszaliński",1999,688454
"13537",3210000,"Powiat myśliborski",1999,854477
"13538",3211000,"Powiat policki",1999,231628
"13539",3212000,"Powiat pyrzycki",1999,271482
"13540",3213000,"Powiat sławieński",1999,516868
"13541",3214000,"Powiat stargardzki",1999,10079570
"13542",3215000,"Powiat szczecinecki",1999,2752905
"13543",3216000,"Powiat świdwiński",1999,185416
"13544",3217000,"Powiat wałecki",1999,187302
"13545",3218000,"Powiat łobeski",1999,NA
"13546",201000,"Powiat bolesławiecki",2000,2132665
"13547",202000,"Powiat dzierżoniowski",2000,524595
"13548",203000,"Powiat głogowski",2000,1734739
"13549",204000,"Powiat górowski",2000,1915206
"13550",205000,"Powiat jaworski",2000,2105765
"13551",206000,"Powiat jeleniogórski",2000,1750732
"13552",207000,"Powiat kamiennogórski",2000,1370586
"13553",208000,"Powiat kłodzki",2000,5183669
"13554",209000,"Powiat legnicki",2000,670663
"13555",210000,"Powiat lubański",2000,2016001
"13556",211000,"Powiat lubiński",2000,1526534
"13557",212000,"Powiat lwówecki",2000,2168617
"13558",213000,"Powiat milicki",2000,11196657
"13559",214000,"Powiat oleśnicki",2000,3271231
"13560",215000,"Powiat oławski",2000,3058006
"13561",216000,"Powiat polkowicki",2000,706674
"13562",217000,"Powiat strzeliński",2000,2334846
"13563",218000,"Powiat średzki",2000,3933949
"13564",219000,"Powiat świdnicki",2000,9420512
"13565",220000,"Powiat trzebnicki",2000,6264859
"13566",221000,"Powiat wałbrzyski",2000,462021
"13567",222000,"Powiat wołowski",2000,2813997
"13568",223000,"Powiat wrocławski",2000,1828175
"13569",224000,"Powiat ząbkowicki",2000,822463
"13570",225000,"Powiat zgorzelecki",2000,1677917
"13571",226000,"Powiat złotoryjski",2000,4363765
"13572",401000,"Powiat aleksandrowski",2000,2011116
"13573",402000,"Powiat brodnicki",2000,1142788
"13574",403000,"Powiat bydgoski",2000,1034940
"13575",404000,"Powiat chełmiński",2000,1543060
"13576",405000,"Powiat golubsko-dobrzyński",2000,1177955
"13577",406000,"Powiat grudziądzki",2000,846967
"13578",407000,"Powiat inowrocławski",2000,1894120
"13579",408000,"Powiat lipnowski",2000,1128015
"13580",409000,"Powiat mogileński",2000,1173294
"13581",410000,"Powiat nakielski",2000,955960
"13582",411000,"Powiat radziejowski",2000,782057
"13583",412000,"Powiat rypiński",2000,1002771
"13584",413000,"Powiat sępoleński",2000,543334
"13585",414000,"Powiat świecki",2000,1367402
"13586",415000,"Powiat toruński",2000,2424960
"13587",416000,"Powiat tucholski",2000,2175550
"13588",417000,"Powiat wąbrzeski",2000,1779504
"13589",418000,"Powiat włocławski",2000,989199
"13590",419000,"Powiat żniński",2000,1537300
"13591",601000,"Powiat bialski",2000,5877291
"13592",602000,"Powiat biłgorajski",2000,7538400
"13593",603000,"Powiat chełmski",2000,1217074
"13594",604000,"Powiat hrubieszowski",2000,798830
"13595",605000,"Powiat janowski",2000,2957781
"13596",606000,"Powiat krasnostawski",2000,3100757
"13597",607000,"Powiat kraśnicki",2000,2063663
"13598",608000,"Powiat lubartowski",2000,1856141
"13599",609000,"Powiat lubelski",2000,7900795
"13600",610000,"Powiat łęczyński",2000,4463918
"13601",611000,"Powiat łukowski",2000,5745578
"13602",612000,"Powiat opolski",2000,1706793
"13603",613000,"Powiat parczewski",2000,1670688
"13604",614000,"Powiat puławski",2000,1942887
"13605",615000,"Powiat radzyński",2000,780435
"13606",616000,"Powiat rycki",2000,2188591
"13607",617000,"Powiat świdnicki",2000,433182
"13608",618000,"Powiat tomaszowski",2000,909415
"13609",619000,"Powiat włodawski",2000,821414
"13610",620000,"Powiat zamojski",2000,1548659
"13611",801000,"Powiat gorzowski",2000,690495
"13612",802000,"Powiat krośnieński",2000,581418
"13613",803000,"Powiat międzyrzecki",2000,479187
"13614",804000,"Powiat nowosolski",2000,3410047
"13615",805000,"Powiat słubicki",2000,2574848
"13616",806000,"Powiat strzelecko-drezdenecki",2000,1881589
"13617",807000,"Powiat sulęciński",2000,1983092
"13618",808000,"Powiat świebodziński",2000,5121149
"13619",809000,"Powiat zielonogórski",2000,1280262
"13620",810000,"Powiat żagański",2000,905362
"13621",811000,"Powiat żarski",2000,1669239
"13622",812000,"Powiat wschowski",2000,NA
"13623",1001000,"Powiat bełchatowski",2000,2535305
"13624",1002000,"Powiat kutnowski",2000,690949
"13625",1003000,"Powiat łaski",2000,1146644
"13626",1004000,"Powiat łęczycki",2000,597028
"13627",1005000,"Powiat łowicki",2000,4137475
"13628",1006000,"Powiat łódzki wschodni",2000,9203276
"13629",1007000,"Powiat opoczyński",2000,1501786
"13630",1008000,"Powiat pabianicki",2000,3149447
"13631",1009000,"Powiat pajęczański",2000,2801394
"13632",1010000,"Powiat piotrkowski",2000,654633
"13633",1011000,"Powiat poddębicki",2000,12664936
"13634",1012000,"Powiat radomszczański",2000,6447997
"13635",1013000,"Powiat rawski",2000,1684593
"13636",1014000,"Powiat sieradzki",2000,1675944
"13637",1015000,"Powiat skierniewicki",2000,1243604
"13638",1016000,"Powiat tomaszowski",2000,1182293
"13639",1017000,"Powiat wieluński",2000,1998786
"13640",1018000,"Powiat wieruszowski",2000,1011944
"13641",1019000,"Powiat zduńskowolski",2000,405500
"13642",1020000,"Powiat zgierski",2000,2032156
"13643",1021000,"Powiat brzeziński",2000,NA
"13644",1201000,"Powiat bocheński",2000,2852650
"13645",1202000,"Powiat brzeski",2000,2448502
"13646",1203000,"Powiat chrzanowski",2000,12487520
"13647",1204000,"Powiat dąbrowski",2000,2979480
"13648",1205000,"Powiat gorlicki",2000,5768546
"13649",1206000,"Powiat krakowski",2000,3966906
"13650",1207000,"Powiat limanowski",2000,6667216
"13651",1208000,"Powiat miechowski",2000,1715900
"13652",1209000,"Powiat myślenicki",2000,1639369
"13653",1210000,"Powiat nowosądecki",2000,4881658
"13654",1211000,"Powiat nowotarski",2000,7290020
"13655",1212000,"Powiat olkuski",2000,847415
"13656",1213000,"Powiat oświęcimski",2000,7233226
"13657",1214000,"Powiat proszowicki",2000,1632441
"13658",1215000,"Powiat suski",2000,3360530
"13659",1216000,"Powiat tarnowski",2000,6049430
"13660",1217000,"Powiat tatrzański",2000,1231760
"13661",1218000,"Powiat wadowicki",2000,2382850
"13662",1219000,"Powiat wielicki",2000,2322969
"13663",1401000,"Powiat białobrzeski",2000,542236
"13664",1402000,"Powiat ciechanowski",2000,338068
"13665",1403000,"Powiat garwoliński",2000,8322566
"13666",1404000,"Powiat gostyniński",2000,1055784
