"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezrobocie"
"8144",1427000,"Powiat sierpecki",2015,1331
"8145",1428000,"Powiat sochaczewski",2015,1136
"8146",1429000,"Powiat sokołowski",2015,640
"8147",1430000,"Powiat szydłowiecki",2015,1340
"8148",1432000,"Powiat warszawski zachodni",2015,508
"8149",1433000,"Powiat węgrowski",2015,931
"8150",1434000,"Powiat wołomiński",2015,2107
"8151",1435000,"Powiat wyszkowski",2015,778
"8152",1436000,"Powiat zwoleński",2015,974
"8153",1437000,"Powiat żuromiński",2015,709
"8154",1438000,"Powiat żyrardowski",2015,874
