"","Kod","Nazwa","rok","ZASOBY_MIESZKANIOWE_przecietna_liczba_osob_na_1_mieszkanie"
"27796",603000,"Powiat chełmski",2003,3.13
"27797",604000,"Powiat hrubieszowski",2003,3.18
"27798",605000,"Powiat janowski",2003,3.74
"27799",606000,"Powiat krasnostawski",2003,3
"27800",607000,"Powiat kraśnicki",2003,3.39
"27801",608000,"Powiat lubartowski",2003,3.32
"27802",609000,"Powiat lubelski",2003,3.36
"27803",610000,"Powiat łęczyński",2003,3.4
"27804",611000,"Powiat łukowski",2003,3.61
"27805",612000,"Powiat opolski",2003,3.21
"27806",613000,"Powiat parczewski",2003,3.09
"27807",614000,"Powiat puławski",2003,3.02
"27808",615000,"Powiat radzyński",2003,3.39
"27809",616000,"Powiat rycki",2003,3.24
"27810",617000,"Powiat świdnicki",2003,3.05
"27811",618000,"Powiat tomaszowski",2003,3.36
"27812",619000,"Powiat włodawski",2003,3.01
"27813",620000,"Powiat zamojski",2003,3.33
"27814",661000,"Powiat m.Biała Podlaska",2003,3.01
"27815",662000,"Powiat m.Chełm",2003,2.88
"27816",663000,"Powiat m.Lublin",2003,2.78
"27817",664000,"Powiat m.Zamość",2003,3.05
"27818",801000,"Powiat gorzowski",2003,3.34
"27819",802000,"Powiat krośnieński",2003,3.14
"27820",803000,"Powiat międzyrzecki",2003,3.13
"27821",804000,"Powiat nowosolski",2003,3.09
"27822",805000,"Powiat słubicki",2003,3.17
"27823",806000,"Powiat strzelecko-drezdenecki",2003,3.28
"27824",807000,"Powiat sulęciński",2003,3.17
"27825",808000,"Powiat świebodziński",2003,3.24
"27826",809000,"Powiat zielonogórski",2003,3.36
"27827",810000,"Powiat żagański",2003,2.99
"27828",811000,"Powiat żarski",2003,3.07
"27829",812000,"Powiat wschowski",2003,3.43
"27830",861000,"Powiat m.Gorzów Wielkopolski",2003,2.81
"27831",862000,"Powiat m.Zielona Góra",2003,2.71
"27832",1001000,"Powiat bełchatowski",2003,3.07
"27833",1002000,"Powiat kutnowski",2003,2.91
"27834",1003000,"Powiat łaski",2003,2.87
"27835",1004000,"Powiat łęczycki",2003,3.26
"27836",1005000,"Powiat łowicki",2003,3.16
"27837",1006000,"Powiat łódzki wschodni",2003,2.89
"27838",1007000,"Powiat opoczyński",2003,3.26
"27839",1008000,"Powiat pabianicki",2003,2.52
"27840",1009000,"Powiat pajęczański",2003,3.38
"27841",1010000,"Powiat piotrkowski",2003,3.25
"27842",1011000,"Powiat poddębicki",2003,2.96
"27843",1012000,"Powiat radomszczański",2003,2.96
"27844",1013000,"Powiat rawski",2003,3.23
"27845",1014000,"Powiat sieradzki",2003,3.31
"27846",1015000,"Powiat skierniewicki",2003,3.41
"27847",1016000,"Powiat tomaszowski",2003,2.84
"27848",1017000,"Powiat wieluński",2003,3.3
"27849",1018000,"Powiat wieruszowski",2003,3.41
"27850",1019000,"Powiat zduńskowolski",2003,2.97
"27851",1020000,"Powiat zgierski",2003,2.64
"27852",1021000,"Powiat brzeziński",2003,2.93
"27853",1061000,"Powiat m.Łódź",2003,2.35
"27854",1062000,"Powiat m.Piotrków Trybunalski",2003,2.78
"27855",1063000,"Powiat m.Skierniewice",2003,2.74
"27856",1201000,"Powiat bocheński",2003,3.46
"27857",1202000,"Powiat brzeski",2003,3.58
"27858",1203000,"Powiat chrzanowski",2003,3.02
"27859",1204000,"Powiat dąbrowski",2003,3.86
"27860",1205000,"Powiat gorlicki",2003,3.72
"27861",1206000,"Powiat krakowski",2003,3.32
"27862",1207000,"Powiat limanowski",2003,4.04
"27863",1208000,"Powiat miechowski",2003,2.99
"27864",1209000,"Powiat myślenicki",2003,3.76
"27865",1210000,"Powiat nowosądecki",2003,4.17
"27866",1211000,"Powiat nowotarski",2003,3.71
"27867",1212000,"Powiat olkuski",2003,3.1
"27868",1213000,"Powiat oświęcimski",2003,3.14
"27869",1214000,"Powiat proszowicki",2003,3.57
"27870",1215000,"Powiat suski",2003,3.53
"27871",1216000,"Powiat tarnowski",2003,3.99
"27872",1217000,"Powiat tatrzański",2003,3.11
"27873",1218000,"Powiat wadowicki",2003,3.53
"27874",1219000,"Powiat wielicki",2003,3.28
"27875",1261000,"Powiat m.Kraków",2003,2.66
"27876",1262000,"Powiat m.Nowy Sącz",2003,3.19
"27877",1263000,"Powiat m.Tarnów",2003,2.97
"27878",1401000,"Powiat białobrzeski",2003,3.13
"27879",1402000,"Powiat ciechanowski",2003,3.27
"27880",1403000,"Powiat garwoliński",2003,3.53
"27881",1404000,"Powiat gostyniński",2003,3.24
"27882",1405000,"Powiat grodziski",2003,2.75
"27883",1406000,"Powiat grójecki",2003,3.03
"27884",1407000,"Powiat kozienicki",2003,3.07
"27885",1408000,"Powiat legionowski",2003,2.99
"27886",1409000,"Powiat lipski",2003,3.08
"27887",1410000,"Powiat łosicki",2003,3.12
"27888",1411000,"Powiat makowski",2003,3.39
"27889",1412000,"Powiat miński",2003,3.06
"27890",1413000,"Powiat mławski",2003,3.34
"27891",1414000,"Powiat nowodworski",2003,3
"27892",1415000,"Powiat ostrołęcki",2003,3.96
