"","Kod","Nazwa","rok","Przestepstwa_stwierdzone_przez_Policje_w_zakonczonych_postepowaniach_przygotowawczych_przestepstwa_stwierdzone_przez_Policje_ogolem_na_mieszkancow"
"20926",226000,"Powiat złotoryjski",2003,NA
"20927",261000,"Powiat m.Jelenia Góra",2003,NA
"20928",262000,"Powiat m.Legnica",2003,NA
"20929",264000,"Powiat m.Wrocław",2003,NA
"20930",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"20931",401000,"Powiat aleksandrowski",2003,NA
"20932",402000,"Powiat brodnicki",2003,NA
"20933",403000,"Powiat bydgoski",2003,NA
"20934",404000,"Powiat chełmiński",2003,NA
"20935",405000,"Powiat golubsko-dobrzyński",2003,NA
"20936",406000,"Powiat grudziądzki",2003,NA
"20937",407000,"Powiat inowrocławski",2003,NA
"20938",408000,"Powiat lipnowski",2003,NA
"20939",409000,"Powiat mogileński",2003,NA
"20940",410000,"Powiat nakielski",2003,NA
"20941",411000,"Powiat radziejowski",2003,NA
"20942",412000,"Powiat rypiński",2003,NA
"20943",413000,"Powiat sępoleński",2003,NA
"20944",414000,"Powiat świecki",2003,NA
"20945",415000,"Powiat toruński",2003,NA
"20946",416000,"Powiat tucholski",2003,NA
"20947",417000,"Powiat wąbrzeski",2003,NA
"20948",418000,"Powiat włocławski",2003,NA
"20949",419000,"Powiat żniński",2003,NA
"20950",461000,"Powiat m.Bydgoszcz",2003,NA
"20951",462000,"Powiat m.Grudziądz",2003,NA
"20952",463000,"Powiat m.Toruń",2003,NA
"20953",464000,"Powiat m.Włocławek",2003,NA
"20954",601000,"Powiat bialski",2003,NA
"20955",602000,"Powiat biłgorajski",2003,NA
"20956",603000,"Powiat chełmski",2003,NA
"20957",604000,"Powiat hrubieszowski",2003,NA
"20958",605000,"Powiat janowski",2003,NA
"20959",606000,"Powiat krasnostawski",2003,NA
"20960",607000,"Powiat kraśnicki",2003,NA
"20961",608000,"Powiat lubartowski",2003,NA
"20962",609000,"Powiat lubelski",2003,NA
"20963",610000,"Powiat łęczyński",2003,NA
"20964",611000,"Powiat łukowski",2003,NA
"20965",612000,"Powiat opolski",2003,NA
"20966",613000,"Powiat parczewski",2003,NA
"20967",614000,"Powiat puławski",2003,NA
"20968",615000,"Powiat radzyński",2003,NA
"20969",616000,"Powiat rycki",2003,NA
"20970",617000,"Powiat świdnicki",2003,NA
"20971",618000,"Powiat tomaszowski",2003,NA
"20972",619000,"Powiat włodawski",2003,NA
"20973",620000,"Powiat zamojski",2003,NA
"20974",661000,"Powiat m.Biała Podlaska",2003,NA
"20975",662000,"Powiat m.Chełm",2003,NA
"20976",663000,"Powiat m.Lublin",2003,NA
"20977",664000,"Powiat m.Zamość",2003,NA
"20978",801000,"Powiat gorzowski",2003,NA
"20979",802000,"Powiat krośnieński",2003,NA
"20980",803000,"Powiat międzyrzecki",2003,NA
"20981",804000,"Powiat nowosolski",2003,NA
"20982",805000,"Powiat słubicki",2003,NA
"20983",806000,"Powiat strzelecko-drezdenecki",2003,NA
"20984",807000,"Powiat sulęciński",2003,NA
"20985",808000,"Powiat świebodziński",2003,NA
"20986",809000,"Powiat zielonogórski",2003,NA
"20987",810000,"Powiat żagański",2003,NA
"20988",811000,"Powiat żarski",2003,NA
"20989",812000,"Powiat wschowski",2003,NA
"20990",861000,"Powiat m.Gorzów Wielkopolski",2003,NA
"20991",862000,"Powiat m.Zielona Góra",2003,NA
"20992",1001000,"Powiat bełchatowski",2003,NA
"20993",1002000,"Powiat kutnowski",2003,NA
"20994",1003000,"Powiat łaski",2003,NA
"20995",1004000,"Powiat łęczycki",2003,NA
"20996",1005000,"Powiat łowicki",2003,NA
"20997",1006000,"Powiat łódzki wschodni",2003,NA
"20998",1007000,"Powiat opoczyński",2003,NA
"20999",1008000,"Powiat pabianicki",2003,NA
"21000",1009000,"Powiat pajęczański",2003,NA
"21001",1010000,"Powiat piotrkowski",2003,NA
"21002",1011000,"Powiat poddębicki",2003,NA
"21003",1012000,"Powiat radomszczański",2003,NA
"21004",1013000,"Powiat rawski",2003,NA
"21005",1014000,"Powiat sieradzki",2003,NA
"21006",1015000,"Powiat skierniewicki",2003,NA
"21007",1016000,"Powiat tomaszowski",2003,NA
"21008",1017000,"Powiat wieluński",2003,NA
"21009",1018000,"Powiat wieruszowski",2003,NA
"21010",1019000,"Powiat zduńskowolski",2003,NA
"21011",1020000,"Powiat zgierski",2003,NA
"21012",1021000,"Powiat brzeziński",2003,NA
"21013",1061000,"Powiat m.Łódź",2003,NA
"21014",1062000,"Powiat m.Piotrków Trybunalski",2003,NA
"21015",1063000,"Powiat m.Skierniewice",2003,NA
"21016",1201000,"Powiat bocheński",2003,NA
"21017",1202000,"Powiat brzeski",2003,NA
"21018",1203000,"Powiat chrzanowski",2003,NA
"21019",1204000,"Powiat dąbrowski",2003,NA
"21020",1205000,"Powiat gorlicki",2003,NA
"21021",1206000,"Powiat krakowski",2003,NA
"21022",1207000,"Powiat limanowski",2003,NA
"21023",1208000,"Powiat miechowski",2003,NA
"21024",1209000,"Powiat myślenicki",2003,NA
"21025",1210000,"Powiat nowosądecki",2003,NA
"21026",1211000,"Powiat nowotarski",2003,NA
"21027",1212000,"Powiat olkuski",2003,NA
"21028",1213000,"Powiat oświęcimski",2003,NA
"21029",1214000,"Powiat proszowicki",2003,NA
"21030",1215000,"Powiat suski",2003,NA
"21031",1216000,"Powiat tarnowski",2003,NA
"21032",1217000,"Powiat tatrzański",2003,NA
"21033",1218000,"Powiat wadowicki",2003,NA
"21034",1219000,"Powiat wielicki",2003,NA
"21035",1261000,"Powiat m.Kraków",2003,NA
"21036",1262000,"Powiat m.Nowy Sącz",2003,NA
"21037",1263000,"Powiat m.Tarnów",2003,NA
"21038",1401000,"Powiat białobrzeski",2003,NA
"21039",1402000,"Powiat ciechanowski",2003,NA
"21040",1403000,"Powiat garwoliński",2003,NA
"21041",1404000,"Powiat gostyniński",2003,NA
"21042",1405000,"Powiat grodziski",2003,NA
"21043",1406000,"Powiat grójecki",2003,NA
"21044",1407000,"Powiat kozienicki",2003,NA
"21045",1408000,"Powiat legionowski",2003,NA
"21046",1409000,"Powiat lipski",2003,NA
"21047",1410000,"Powiat łosicki",2003,NA
"21048",1411000,"Powiat makowski",2003,NA
"21049",1412000,"Powiat miński",2003,NA
"21050",1413000,"Powiat mławski",2003,NA
"21051",1414000,"Powiat nowodworski",2003,NA
"21052",1415000,"Powiat ostrołęcki",2003,NA
"21053",1416000,"Powiat ostrowski",2003,NA
"21054",1417000,"Powiat otwocki",2003,NA
"21055",1418000,"Powiat piaseczyński",2003,NA
"21056",1419000,"Powiat płocki",2003,NA
"21057",1420000,"Powiat płoński",2003,NA
"21058",1421000,"Powiat pruszkowski",2003,NA
"21059",1422000,"Powiat przasnyski",2003,NA
"21060",1423000,"Powiat przysuski",2003,NA
"21061",1424000,"Powiat pułtuski",2003,NA
"21062",1425000,"Powiat radomski",2003,NA
"21063",1426000,"Powiat siedlecki",2003,NA
