"","Kod","Nazwa","rok","Muzea_zwiedzajacy_muzea_i_oddzialy_na_10_tys_mieszkancow_osoba"
"8699",220000,"Powiat trzebnicki",1996,NA
"8700",221000,"Powiat wałbrzyski",1996,NA
"8701",223000,"Powiat wrocławski",1996,NA
"8702",224000,"Powiat ząbkowicki",1996,NA
"8703",225000,"Powiat zgorzelecki",1996,NA
"8704",261000,"Powiat m.Jelenia Góra",1996,NA
"8705",262000,"Powiat m.Legnica",1996,NA
"8706",263000,"Powiat m.Wałbrzych do 2002",1996,NA
"8707",264000,"Powiat m.Wrocław",1996,NA
"8708",265000,"Powiat m.Wałbrzych od 2013",1996,NA
"8709",401000,"Powiat aleksandrowski",1996,NA
"8710",402000,"Powiat brodnicki",1996,NA
"8711",403000,"Powiat bydgoski",1996,NA
"8712",404000,"Powiat chełmiński",1996,NA
"8713",405000,"Powiat golubsko-dobrzyński",1996,NA
"8714",407000,"Powiat inowrocławski",1996,NA
"8715",409000,"Powiat mogileński",1996,NA
"8716",410000,"Powiat nakielski",1996,NA
"8717",412000,"Powiat rypiński",1996,NA
"8718",413000,"Powiat sępoleński",1996,NA
"8719",415000,"Powiat toruński",1996,NA
"8720",416000,"Powiat tucholski",1996,NA
"8721",417000,"Powiat wąbrzeski",1996,NA
"8722",418000,"Powiat włocławski",1996,NA
"8723",419000,"Powiat żniński",1996,NA
"8724",461000,"Powiat m.Bydgoszcz",1996,NA
"8725",462000,"Powiat m.Grudziądz",1996,NA
"8726",463000,"Powiat m.Toruń",1996,NA
"8727",464000,"Powiat m.Włocławek",1996,NA
"8728",601000,"Powiat bialski",1996,NA
"8729",602000,"Powiat biłgorajski",1996,NA
"8730",604000,"Powiat hrubieszowski",1996,NA
"8731",605000,"Powiat janowski",1996,NA
"8732",606000,"Powiat krasnostawski",1996,NA
"8733",607000,"Powiat kraśnicki",1996,NA
"8734",608000,"Powiat lubartowski",1996,NA
"8735",609000,"Powiat lubelski",1996,NA
"8736",610000,"Powiat łęczyński",1996,NA
"8737",611000,"Powiat łukowski",1996,NA
"8738",612000,"Powiat opolski",1996,NA
"8739",613000,"Powiat parczewski",1996,NA
"8740",614000,"Powiat puławski",1996,NA
"8741",616000,"Powiat rycki",1996,NA
"8742",618000,"Powiat tomaszowski",1996,NA
"8743",619000,"Powiat włodawski",1996,NA
"8744",620000,"Powiat zamojski",1996,NA
"8745",661000,"Powiat m.Biała Podlaska",1996,NA
"8746",662000,"Powiat m.Chełm",1996,NA
"8747",663000,"Powiat m.Lublin",1996,NA
"8748",664000,"Powiat m.Zamość",1996,NA
"8749",801000,"Powiat gorzowski",1996,NA
"8750",803000,"Powiat międzyrzecki",1996,NA
"8751",804000,"Powiat nowosolski",1996,NA
"8752",805000,"Powiat słubicki",1996,NA
"8753",806000,"Powiat strzelecko-drezdenecki",1996,NA
"8754",807000,"Powiat sulęciński",1996,NA
"8755",808000,"Powiat świebodziński",1996,NA
"8756",809000,"Powiat zielonogórski",1996,NA
"8757",810000,"Powiat żagański",1996,NA
"8758",811000,"Powiat żarski",1996,NA
"8759",812000,"Powiat wschowski",1996,NA
"8760",861000,"Powiat m.Gorzów Wielkopolski",1996,NA
"8761",862000,"Powiat m.Zielona Góra",1996,NA
"8762",1001000,"Powiat bełchatowski",1996,NA
"8763",1002000,"Powiat kutnowski",1996,NA
"8764",1003000,"Powiat łaski",1996,NA
"8765",1004000,"Powiat łęczycki",1996,NA
"8766",1005000,"Powiat łowicki",1996,NA
"8767",1006000,"Powiat łódzki wschodni",1996,NA
"8768",1007000,"Powiat opoczyński",1996,NA
"8769",1008000,"Powiat pabianicki",1996,NA
"8770",1010000,"Powiat piotrkowski",1996,NA
"8771",1011000,"Powiat poddębicki",1996,NA
"8772",1012000,"Powiat radomszczański",1996,NA
"8773",1013000,"Powiat rawski",1996,NA
"8774",1014000,"Powiat sieradzki",1996,NA
"8775",1015000,"Powiat skierniewicki",1996,NA
"8776",1016000,"Powiat tomaszowski",1996,NA
"8777",1017000,"Powiat wieluński",1996,NA
"8778",1018000,"Powiat wieruszowski",1996,NA
"8779",1019000,"Powiat zduńskowolski",1996,NA
"8780",1020000,"Powiat zgierski",1996,NA
"8781",1021000,"Powiat brzeziński",1996,NA
"8782",1061000,"Powiat m.Łódź",1996,NA
"8783",1062000,"Powiat m.Piotrków Trybunalski",1996,NA
"8784",1063000,"Powiat m.Skierniewice",1996,NA
"8785",1201000,"Powiat bocheński",1996,NA
"8786",1202000,"Powiat brzeski",1996,NA
"8787",1203000,"Powiat chrzanowski",1996,NA
"8788",1204000,"Powiat dąbrowski",1996,NA
"8789",1205000,"Powiat gorlicki",1996,NA
"8790",1206000,"Powiat krakowski",1996,NA
"8791",1207000,"Powiat limanowski",1996,NA
"8792",1208000,"Powiat miechowski",1996,NA
"8793",1209000,"Powiat myślenicki",1996,NA
"8794",1210000,"Powiat nowosądecki",1996,NA
"8795",1211000,"Powiat nowotarski",1996,NA
"8796",1212000,"Powiat olkuski",1996,NA
"8797",1213000,"Powiat oświęcimski",1996,NA
"8798",1214000,"Powiat proszowicki",1996,NA
"8799",1215000,"Powiat suski",1996,NA
"8800",1216000,"Powiat tarnowski",1996,NA
"8801",1217000,"Powiat tatrzański",1996,NA
"8802",1218000,"Powiat wadowicki",1996,NA
"8803",1219000,"Powiat wielicki",1996,NA
"8804",1261000,"Powiat m.Kraków",1996,NA
"8805",1262000,"Powiat m.Nowy Sącz",1996,NA
"8806",1263000,"Powiat m.Tarnów",1996,NA
"8807",1402000,"Powiat ciechanowski",1996,NA
"8808",1403000,"Powiat garwoliński",1996,NA
"8809",1405000,"Powiat grodziski",1996,NA
"8810",1406000,"Powiat grójecki",1996,NA
"8811",1407000,"Powiat kozienicki",1996,NA
"8812",1408000,"Powiat legionowski",1996,NA
"8813",1410000,"Powiat łosicki",1996,NA
"8814",1411000,"Powiat makowski",1996,NA
"8815",1412000,"Powiat miński",1996,NA
"8816",1413000,"Powiat mławski",1996,NA
"8817",1414000,"Powiat nowodworski",1996,NA
"8818",1415000,"Powiat ostrołęcki",1996,NA
"8819",1416000,"Powiat ostrowski",1996,NA
"8820",1417000,"Powiat otwocki",1996,NA
"8821",1418000,"Powiat piaseczyński",1996,NA
"8822",1419000,"Powiat płocki",1996,NA
"8823",1421000,"Powiat pruszkowski",1996,NA
"8824",1422000,"Powiat przasnyski",1996,NA
"8825",1423000,"Powiat przysuski",1996,NA
"8826",1424000,"Powiat pułtuski",1996,NA
"8827",1425000,"Powiat radomski",1996,NA
"8828",1426000,"Powiat siedlecki",1996,NA
"8829",1427000,"Powiat sierpecki",1996,NA
"8830",1428000,"Powiat sochaczewski",1996,NA
"8831",1429000,"Powiat sokołowski",1996,NA
"8832",1430000,"Powiat szydłowiecki",1996,NA
"8833",1431000,"Powiat warszawski",1996,NA
"8834",1432000,"Powiat warszawski zachodni",1996,NA
"8835",1433000,"Powiat węgrowski",1996,NA
"8836",1434000,"Powiat wołomiński",1996,NA
"8837",1435000,"Powiat wyszkowski",1996,NA
"8838",1436000,"Powiat zwoleński",1996,NA
"8839",1437000,"Powiat żuromiński",1996,NA
"8840",1438000,"Powiat żyrardowski",1996,NA
"8841",1461000,"Powiat m.Ostrołęka",1996,NA
"8842",1462000,"Powiat m.Płock",1996,NA
"8843",1463000,"Powiat m.Radom",1996,NA
"8844",1464000,"Powiat m.Siedlce",1996,NA
"8845",1465000,"Powiat m. st. Warszawa",1996,NA
