"","Kod","Nazwa","rok","Kina_stale_wg_formy_wlasnosci_ogolem_seanse_ogolem"
"18558",1009000,"Powiat pajęczański",1996,219
"18559",1010000,"Powiat piotrkowski",1996,22
"18560",1011000,"Powiat poddębicki",1996,191
"18561",1012000,"Powiat radomszczański",1996,902
"18562",1013000,"Powiat rawski",1996,458
"18563",1014000,"Powiat sieradzki",1996,1027
"18564",1016000,"Powiat tomaszowski",1996,959
"18565",1017000,"Powiat wieluński",1996,613
"18566",1018000,"Powiat wieruszowski",1996,54
"18567",1019000,"Powiat zduńskowolski",1996,587
"18568",1020000,"Powiat zgierski",1996,414
"18569",1061000,"Powiat m.Łódź",1996,14698
"18570",1062000,"Powiat m.Piotrków Trybunalski",1996,994
"18571",1063000,"Powiat m.Skierniewice",1996,1022
"18572",1201000,"Powiat bocheński",1996,534
"18573",1202000,"Powiat brzeski",1996,536
"18574",1203000,"Powiat chrzanowski",1996,477
"18575",1204000,"Powiat dąbrowski",1996,150
"18576",1205000,"Powiat gorlicki",1996,699
"18577",1206000,"Powiat krakowski",1996,264
"18578",1207000,"Powiat limanowski",1996,613
"18579",1208000,"Powiat miechowski",1996,0
"18580",1209000,"Powiat myślenicki",1996,471
"18581",1210000,"Powiat nowosądecki",1996,1220
"18582",1211000,"Powiat nowotarski",1996,2243
"18583",1212000,"Powiat olkuski",1996,762
"18584",1213000,"Powiat oświęcimski",1996,2051
"18585",1214000,"Powiat proszowicki",1996,62
"18586",1215000,"Powiat suski",1996,558
"18587",1216000,"Powiat tarnowski",1996,76
"18588",1217000,"Powiat tatrzański",1996,1029
"18589",1218000,"Powiat wadowicki",1996,771
"18590",1219000,"Powiat wielicki",1996,0
"18591",1261000,"Powiat m.Kraków",1996,18844
"18592",1262000,"Powiat m.Nowy Sącz",1996,1304
"18593",1263000,"Powiat m.Tarnów",1996,1263
"18594",1402000,"Powiat ciechanowski",1996,667
"18595",1403000,"Powiat garwoliński",1996,346
"18596",1404000,"Powiat gostyniński",1996,251
"18597",1405000,"Powiat grodziski",1996,213
"18598",1406000,"Powiat grójecki",1996,466
"18599",1407000,"Powiat kozienicki",1996,0
"18600",1408000,"Powiat legionowski",1996,91
"18601",1409000,"Powiat lipski",1996,86
"18602",1410000,"Powiat łosicki",1996,187
"18603",1411000,"Powiat makowski",1996,113
"18604",1412000,"Powiat miński",1996,625
"18605",1413000,"Powiat mławski",1996,424
"18606",1414000,"Powiat nowodworski",1996,28
"18607",1416000,"Powiat ostrowski",1996,407
"18608",1417000,"Powiat otwocki",1996,214
"18609",1418000,"Powiat piaseczyński",1996,455
"18610",1420000,"Powiat płoński",1996,473
"18611",1421000,"Powiat pruszkowski",1996,421
"18612",1422000,"Powiat przasnyski",1996,0
"18613",1423000,"Powiat przysuski",1996,26
"18614",1424000,"Powiat pułtuski",1996,327
"18615",1425000,"Powiat radomski",1996,122
"18616",1427000,"Powiat sierpecki",1996,0
"18617",1428000,"Powiat sochaczewski",1996,0
"18618",1429000,"Powiat sokołowski",1996,422
"18619",1430000,"Powiat szydłowiecki",1996,187
"18620",1431000,"Powiat warszawski",1996,53823
"18621",1432000,"Powiat warszawski zachodni",1996,0
"18622",1433000,"Powiat węgrowski",1996,263
