"","Kod","Nazwa","rok","EMISJA_ZANIECZYSZCZEN_POWIETRZA_Z_ZAKLADOW_SZCZEGOLNIE_UCIAZLIWYCH_CTAB_ogolem_tr"
"539",1427000,"Powiat sierpecki",1997,NA
"540",1428000,"Powiat sochaczewski",1997,NA
"541",1429000,"Powiat sokołowski",1997,NA
"542",1430000,"Powiat szydłowiecki",1997,NA
"543",1431000,"Powiat warszawski",1997,NA
"544",1432000,"Powiat warszawski zachodni",1997,NA
"545",1433000,"Powiat węgrowski",1997,NA
"546",1434000,"Powiat wołomiński",1997,NA
"547",1435000,"Powiat wyszkowski",1997,NA
"548",1436000,"Powiat zwoleński",1997,NA
"549",1437000,"Powiat żuromiński",1997,NA
"550",1438000,"Powiat żyrardowski",1997,NA
"551",1461000,"Powiat m.Ostrołęka",1997,NA
"552",1462000,"Powiat m.Płock",1997,NA
"553",1463000,"Powiat m.Radom",1997,NA
"554",1464000,"Powiat m.Siedlce",1997,NA
"555",1465000,"Powiat m. st. Warszawa",1997,NA
"556",1601000,"Powiat brzeski",1997,NA
"557",1602000,"Powiat głubczycki",1997,NA
"558",1603000,"Powiat kędzierzyńsko-kozielski",1997,NA
"559",1604000,"Powiat kluczborski",1997,NA
"560",1605000,"Powiat krapkowicki",1997,NA
"561",1606000,"Powiat namysłowski",1997,NA
"562",1607000,"Powiat nyski",1997,NA
"563",1608000,"Powiat oleski",1997,NA
"564",1609000,"Powiat opolski",1997,NA
"565",1610000,"Powiat prudnicki",1997,NA
