"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_ofiary_smiertelne_na_100_tys_ludnosci_osoba"
"14035",3031000,"Powiat złotowski",2002,NA
"14036",3061000,"Powiat m.Kalisz",2002,NA
"14037",3062000,"Powiat m.Konin",2002,NA
"14038",3063000,"Powiat m.Leszno",2002,NA
"14039",3064000,"Powiat m.Poznań",2002,NA
"14040",3201000,"Powiat białogardzki",2002,NA
"14041",3202000,"Powiat choszczeński",2002,NA
"14042",3203000,"Powiat drawski",2002,NA
"14043",3204000,"Powiat goleniowski",2002,NA
"14044",3205000,"Powiat gryficki",2002,NA
"14045",3206000,"Powiat gryfiński",2002,NA
"14046",3207000,"Powiat kamieński",2002,NA
"14047",3208000,"Powiat kołobrzeski",2002,NA
"14048",3209000,"Powiat koszaliński",2002,NA
"14049",3210000,"Powiat myśliborski",2002,NA
"14050",3211000,"Powiat policki",2002,NA
"14051",3212000,"Powiat pyrzycki",2002,NA
"14052",3213000,"Powiat sławieński",2002,NA
"14053",3214000,"Powiat stargardzki",2002,NA
"14054",3215000,"Powiat szczecinecki",2002,NA
"14055",3216000,"Powiat świdwiński",2002,NA
"14056",3217000,"Powiat wałecki",2002,NA
"14057",3218000,"Powiat łobeski",2002,NA
"14058",3261000,"Powiat m.Koszalin",2002,NA
"14059",3262000,"Powiat m.Szczecin",2002,NA
"14060",3263000,"Powiat m.Świnoujście",2002,NA
"14061",201000,"Powiat bolesławiecki",2003,NA
"14062",202000,"Powiat dzierżoniowski",2003,NA
"14063",203000,"Powiat głogowski",2003,NA
"14064",204000,"Powiat górowski",2003,NA
"14065",205000,"Powiat jaworski",2003,NA
"14066",206000,"Powiat jeleniogórski",2003,NA
"14067",207000,"Powiat kamiennogórski",2003,NA
"14068",208000,"Powiat kłodzki",2003,NA
"14069",209000,"Powiat legnicki",2003,NA
"14070",210000,"Powiat lubański",2003,NA
"14071",211000,"Powiat lubiński",2003,NA
"14072",212000,"Powiat lwówecki",2003,NA
"14073",213000,"Powiat milicki",2003,NA
"14074",214000,"Powiat oleśnicki",2003,NA
"14075",215000,"Powiat oławski",2003,NA
"14076",216000,"Powiat polkowicki",2003,NA
"14077",217000,"Powiat strzeliński",2003,NA
"14078",218000,"Powiat średzki",2003,NA
"14079",219000,"Powiat świdnicki",2003,NA
"14080",220000,"Powiat trzebnicki",2003,NA
"14081",221000,"Powiat wałbrzyski",2003,NA
"14082",222000,"Powiat wołowski",2003,NA
"14083",223000,"Powiat wrocławski",2003,NA
"14084",224000,"Powiat ząbkowicki",2003,NA
"14085",225000,"Powiat zgorzelecki",2003,NA
"14086",226000,"Powiat złotoryjski",2003,NA
"14087",261000,"Powiat m.Jelenia Góra",2003,NA
"14088",262000,"Powiat m.Legnica",2003,NA
"14089",264000,"Powiat m.Wrocław",2003,NA
"14090",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"14091",401000,"Powiat aleksandrowski",2003,NA
"14092",402000,"Powiat brodnicki",2003,NA
"14093",403000,"Powiat bydgoski",2003,NA
"14094",404000,"Powiat chełmiński",2003,NA
"14095",405000,"Powiat golubsko-dobrzyński",2003,NA
"14096",406000,"Powiat grudziądzki",2003,NA
"14097",407000,"Powiat inowrocławski",2003,NA
"14098",408000,"Powiat lipnowski",2003,NA
"14099",409000,"Powiat mogileński",2003,NA
"14100",410000,"Powiat nakielski",2003,NA
"14101",411000,"Powiat radziejowski",2003,NA
"14102",412000,"Powiat rypiński",2003,NA
"14103",413000,"Powiat sępoleński",2003,NA
"14104",414000,"Powiat świecki",2003,NA
"14105",415000,"Powiat toruński",2003,NA
"14106",416000,"Powiat tucholski",2003,NA
"14107",417000,"Powiat wąbrzeski",2003,NA
"14108",418000,"Powiat włocławski",2003,NA
"14109",419000,"Powiat żniński",2003,NA
"14110",461000,"Powiat m.Bydgoszcz",2003,NA
"14111",462000,"Powiat m.Grudziądz",2003,NA
"14112",463000,"Powiat m.Toruń",2003,NA
"14113",464000,"Powiat m.Włocławek",2003,NA
"14114",601000,"Powiat bialski",2003,NA
"14115",602000,"Powiat biłgorajski",2003,NA
"14116",603000,"Powiat chełmski",2003,NA
"14117",604000,"Powiat hrubieszowski",2003,NA
"14118",605000,"Powiat janowski",2003,NA
"14119",606000,"Powiat krasnostawski",2003,NA
"14120",607000,"Powiat kraśnicki",2003,NA
"14121",608000,"Powiat lubartowski",2003,NA
"14122",609000,"Powiat lubelski",2003,NA
"14123",610000,"Powiat łęczyński",2003,NA
"14124",611000,"Powiat łukowski",2003,NA
"14125",612000,"Powiat opolski",2003,NA
"14126",613000,"Powiat parczewski",2003,NA
"14127",614000,"Powiat puławski",2003,NA
"14128",615000,"Powiat radzyński",2003,NA
"14129",616000,"Powiat rycki",2003,NA
"14130",617000,"Powiat świdnicki",2003,NA
"14131",618000,"Powiat tomaszowski",2003,NA
"14132",619000,"Powiat włodawski",2003,NA
"14133",620000,"Powiat zamojski",2003,NA
"14134",661000,"Powiat m.Biała Podlaska",2003,NA
"14135",662000,"Powiat m.Chełm",2003,NA
"14136",663000,"Powiat m.Lublin",2003,NA
"14137",664000,"Powiat m.Zamość",2003,NA
"14138",801000,"Powiat gorzowski",2003,NA
"14139",802000,"Powiat krośnieński",2003,NA
"14140",803000,"Powiat międzyrzecki",2003,NA
"14141",804000,"Powiat nowosolski",2003,NA
"14142",805000,"Powiat słubicki",2003,NA
"14143",806000,"Powiat strzelecko-drezdenecki",2003,NA
"14144",807000,"Powiat sulęciński",2003,NA
"14145",808000,"Powiat świebodziński",2003,NA
