"","Kod","Nazwa","rok","TURYSTYCZNE_OBIEKTY_NOCLEGOWE_I_ICH_WYKORZYSTANIE_CTAB_udzielone_noclegi_turystom_zagranicznym_w_turystycznych_obiektach_noclegowych_na_10_tys_mieszkancow_ogolem"
"68941",3201000,"Powiat białogardzki",2002,370
"68942",3202000,"Powiat choszczeński",2002,88
"68943",3203000,"Powiat drawski",2002,3305
"68944",3204000,"Powiat goleniowski",2002,407
"68945",3205000,"Powiat gryficki",2002,19450
"68946",3206000,"Powiat gryfiński",2002,952
"68947",3207000,"Powiat kamieński",2002,21936
"68948",3208000,"Powiat kołobrzeski",2002,63123
"68949",3209000,"Powiat koszaliński",2002,6242
"68950",3210000,"Powiat myśliborski",2002,537
"68951",3211000,"Powiat policki",2002,421
"68952",3212000,"Powiat pyrzycki",2002,166
"68953",3213000,"Powiat sławieński",2002,2883
"68954",3214000,"Powiat stargardzki",2002,1245
"68955",3215000,"Powiat szczecinecki",2002,869
"68956",3216000,"Powiat świdwiński",2002,715
"68957",3217000,"Powiat wałecki",2002,2187
"68958",3218000,"Powiat łobeski",2002,0
"68959",3261000,"Powiat m.Koszalin",2002,721
"68960",3262000,"Powiat m.Szczecin",2002,5848
"68961",3263000,"Powiat m.Świnoujście",2002,44450
"68962",201000,"Powiat bolesławiecki",2003,2540
"68963",202000,"Powiat dzierżoniowski",2003,907
"68964",203000,"Powiat głogowski",2003,1326
"68965",204000,"Powiat górowski",2003,0
"68966",205000,"Powiat jaworski",2003,544
"68967",206000,"Powiat jeleniogórski",2003,19805
"68968",207000,"Powiat kamiennogórski",2003,486
"68969",208000,"Powiat kłodzki",2003,5732
"68970",209000,"Powiat legnicki",2003,313
"68971",210000,"Powiat lubański",2003,19304
"68972",211000,"Powiat lubiński",2003,423
"68973",212000,"Powiat lwówecki",2003,2682
"68974",213000,"Powiat milicki",2003,276
"68975",214000,"Powiat oleśnicki",2003,813
"68976",215000,"Powiat oławski",2003,110
"68977",216000,"Powiat polkowicki",2003,2243
"68978",217000,"Powiat strzeliński",2003,378
"68979",218000,"Powiat średzki",2003,523
"68980",219000,"Powiat świdnicki",2003,1462
"68981",220000,"Powiat trzebnicki",2003,248
"68982",221000,"Powiat wałbrzyski",2003,1315
"68983",222000,"Powiat wołowski",2003,169
"68984",223000,"Powiat wrocławski",2003,332
"68985",224000,"Powiat ząbkowicki",2003,132
"68986",225000,"Powiat zgorzelecki",2003,2509
"68987",226000,"Powiat złotoryjski",2003,1733
"68988",261000,"Powiat m.Jelenia Góra",2003,8954
"68989",262000,"Powiat m.Legnica",2003,2329
"68990",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"68991",264000,"Powiat m.Wrocław",2003,5201
"68992",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"68993",401000,"Powiat aleksandrowski",2003,919
"68994",402000,"Powiat brodnicki",2003,174
"68995",403000,"Powiat bydgoski",2003,755
"68996",404000,"Powiat chełmiński",2003,87
"68997",405000,"Powiat golubsko-dobrzyński",2003,34
"68998",406000,"Powiat grudziądzki",2003,11
"68999",407000,"Powiat inowrocławski",2003,207
"69000",408000,"Powiat lipnowski",2003,88
"69001",409000,"Powiat mogileński",2003,6
"69002",410000,"Powiat nakielski",2003,46
"69003",411000,"Powiat radziejowski",2003,0
"69004",412000,"Powiat rypiński",2003,0
"69005",413000,"Powiat sępoleński",2003,1
"69006",414000,"Powiat świecki",2003,407
"69007",415000,"Powiat toruński",2003,191
"69008",416000,"Powiat tucholski",2003,487
"69009",417000,"Powiat wąbrzeski",2003,27
"69010",418000,"Powiat włocławski",2003,20
"69011",419000,"Powiat żniński",2003,460
"69012",461000,"Powiat m.Bydgoszcz",2003,741
"69013",462000,"Powiat m.Grudziądz",2003,361
"69014",463000,"Powiat m.Toruń",2003,2628
"69015",464000,"Powiat m.Włocławek",2003,785
"69016",601000,"Powiat bialski",2003,1592
"69017",602000,"Powiat biłgorajski",2003,33
"69018",603000,"Powiat chełmski",2003,386
"69019",604000,"Powiat hrubieszowski",2003,99
"69020",605000,"Powiat janowski",2003,61
"69021",606000,"Powiat krasnostawski",2003,72
"69022",607000,"Powiat kraśnicki",2003,71
"69023",608000,"Powiat lubartowski",2003,97
"69024",609000,"Powiat lubelski",2003,48
"69025",610000,"Powiat łęczyński",2003,4
"69026",611000,"Powiat łukowski",2003,15
"69027",612000,"Powiat opolski",2003,21
"69028",613000,"Powiat parczewski",2003,97
"69029",614000,"Powiat puławski",2003,1037
"69030",615000,"Powiat radzyński",2003,105
"69031",616000,"Powiat rycki",2003,56
"69032",617000,"Powiat świdnicki",2003,143
"69033",618000,"Powiat tomaszowski",2003,464
"69034",619000,"Powiat włodawski",2003,463
"69035",620000,"Powiat zamojski",2003,132
"69036",661000,"Powiat m.Biała Podlaska",2003,2999
"69037",662000,"Powiat m.Chełm",2003,834
"69038",663000,"Powiat m.Lublin",2003,1747
"69039",664000,"Powiat m.Zamość",2003,1518
"69040",801000,"Powiat gorzowski",2003,1205
"69041",802000,"Powiat krośnieński",2003,2223
"69042",803000,"Powiat międzyrzecki",2003,1283
"69043",804000,"Powiat nowosolski",2003,360
"69044",805000,"Powiat słubicki",2003,11846
"69045",806000,"Powiat strzelecko-drezdenecki",2003,346
"69046",807000,"Powiat sulęciński",2003,5124
"69047",808000,"Powiat świebodziński",2003,3383
"69048",809000,"Powiat zielonogórski",2003,1356
"69049",810000,"Powiat żagański",2003,417
"69050",811000,"Powiat żarski",2003,2070
"69051",812000,"Powiat wschowski",2003,654
"69052",861000,"Powiat m.Gorzów Wielkopolski",2003,2477
"69053",862000,"Powiat m.Zielona Góra",2003,1656
"69054",1001000,"Powiat bełchatowski",2003,569
"69055",1002000,"Powiat kutnowski",2003,180
"69056",1003000,"Powiat łaski",2003,3
"69057",1004000,"Powiat łęczycki",2003,10
"69058",1005000,"Powiat łowicki",2003,202
"69059",1006000,"Powiat łódzki wschodni",2003,1012
"69060",1007000,"Powiat opoczyński",2003,276
"69061",1008000,"Powiat pabianicki",2003,337
"69062",1009000,"Powiat pajęczański",2003,13
"69063",1010000,"Powiat piotrkowski",2003,428
"69064",1011000,"Powiat poddębicki",2003,219
"69065",1012000,"Powiat radomszczański",2003,256
"69066",1013000,"Powiat rawski",2003,338
"69067",1014000,"Powiat sieradzki",2003,390
"69068",1015000,"Powiat skierniewicki",2003,2
"69069",1016000,"Powiat tomaszowski",2003,1301
"69070",1017000,"Powiat wieluński",2003,288
"69071",1018000,"Powiat wieruszowski",2003,707
"69072",1019000,"Powiat zduńskowolski",2003,90
"69073",1020000,"Powiat zgierski",2003,344
"69074",1021000,"Powiat brzeziński",2003,60
"69075",1061000,"Powiat m.Łódź",2003,982
"69076",1062000,"Powiat m.Piotrków Trybunalski",2003,371
"69077",1063000,"Powiat m.Skierniewice",2003,528
"69078",1201000,"Powiat bocheński",2003,709
"69079",1202000,"Powiat brzeski",2003,10
"69080",1203000,"Powiat chrzanowski",2003,122
"69081",1204000,"Powiat dąbrowski",2003,0
"69082",1205000,"Powiat gorlicki",2003,217
"69083",1206000,"Powiat krakowski",2003,857
"69084",1207000,"Powiat limanowski",2003,127
"69085",1208000,"Powiat miechowski",2003,126
"69086",1209000,"Powiat myślenicki",2003,216
"69087",1210000,"Powiat nowosądecki",2003,1580
"69088",1211000,"Powiat nowotarski",2003,613
"69089",1212000,"Powiat olkuski",2003,186
"69090",1213000,"Powiat oświęcimski",2003,2286
"69091",1214000,"Powiat proszowicki",2003,303
"69092",1215000,"Powiat suski",2003,438
"69093",1216000,"Powiat tarnowski",2003,106
"69094",1217000,"Powiat tatrzański",2003,26571
"69095",1218000,"Powiat wadowicki",2003,372
"69096",1219000,"Powiat wielicki",2003,334
"69097",1261000,"Powiat m.Kraków",2003,12584
"69098",1262000,"Powiat m.Nowy Sącz",2003,625
"69099",1263000,"Powiat m.Tarnów",2003,759
"69100",1401000,"Powiat białobrzeski",2003,26
"69101",1402000,"Powiat ciechanowski",2003,683
"69102",1403000,"Powiat garwoliński",2003,120
"69103",1404000,"Powiat gostyniński",2003,6
"69104",1405000,"Powiat grodziski",2003,200
"69105",1406000,"Powiat grójecki",2003,324
"69106",1407000,"Powiat kozienicki",2003,276
"69107",1408000,"Powiat legionowski",2003,627
"69108",1409000,"Powiat lipski",2003,0
"69109",1410000,"Powiat łosicki",2003,757
"69110",1411000,"Powiat makowski",2003,100
"69111",1412000,"Powiat miński",2003,170
"69112",1413000,"Powiat mławski",2003,77
"69113",1414000,"Powiat nowodworski",2003,206
"69114",1415000,"Powiat ostrołęcki",2003,0
"69115",1416000,"Powiat ostrowski",2003,372
"69116",1417000,"Powiat otwocki",2003,185
"69117",1418000,"Powiat piaseczyński",2003,538
"69118",1419000,"Powiat płocki",2003,79
"69119",1420000,"Powiat płoński",2003,314
"69120",1421000,"Powiat pruszkowski",2003,456
"69121",1422000,"Powiat przasnyski",2003,0
"69122",1423000,"Powiat przysuski",2003,4
"69123",1424000,"Powiat pułtuski",2003,571
"69124",1425000,"Powiat radomski",2003,90
"69125",1426000,"Powiat siedlecki",2003,205
"69126",1427000,"Powiat sierpecki",2003,77
"69127",1428000,"Powiat sochaczewski",2003,428
"69128",1429000,"Powiat sokołowski",2003,41
