"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_do_40_m2_zl"
"21272",3213000,"Powiat sławieński",2015,2778
"21273",3214000,"Powiat stargardzki",2015,3378
"21274",3215000,"Powiat szczecinecki",2015,2315
"21275",3216000,"Powiat świdwiński",2015,2055
"21276",3217000,"Powiat wałecki",2015,1987
"21277",3218000,"Powiat łobeski",2015,1657
"21278",3261000,"Powiat m.Koszalin",2015,3338
"21279",3262000,"Powiat m.Szczecin",2015,4231
"21280",3263000,"Powiat m.Świnoujście",2015,4474
"21281",201000,"Powiat bolesławiecki",2016,2157
"21282",202000,"Powiat dzierżoniowski",2016,1862
"21283",203000,"Powiat głogowski",2016,2882
"21284",204000,"Powiat górowski",2016,0
"21285",205000,"Powiat jaworski",2016,2161
"21286",206000,"Powiat jeleniogórski",2016,2506
"21287",207000,"Powiat kamiennogórski",2016,1387
"21288",208000,"Powiat kłodzki",2016,1779
"21289",209000,"Powiat legnicki",2016,2412
"21290",210000,"Powiat lubański",2016,2032
"21291",211000,"Powiat lubiński",2016,2865
"21292",212000,"Powiat lwówecki",2016,1434
"21293",213000,"Powiat milicki",2016,2115
"21294",214000,"Powiat oleśnicki",2016,3232
"21295",215000,"Powiat oławski",2016,3348
"21296",216000,"Powiat polkowicki",2016,2682
"21297",217000,"Powiat strzeliński",2016,2305
"21298",218000,"Powiat średzki",2016,1929
"21299",219000,"Powiat świdnicki",2016,2266
"21300",220000,"Powiat trzebnicki",2016,3215
"21301",221000,"Powiat wałbrzyski",2016,1272
"21302",222000,"Powiat wołowski",2016,2532
"21303",223000,"Powiat wrocławski",2016,3709
"21304",224000,"Powiat ząbkowicki",2016,1390
"21305",225000,"Powiat zgorzelecki",2016,2060
"21306",226000,"Powiat złotoryjski",2016,2044
"21307",261000,"Powiat m.Jelenia Góra",2016,2446
"21308",262000,"Powiat m.Legnica",2016,2728
"21309",264000,"Powiat m.Wrocław",2016,5676
"21310",265000,"Powiat m.Wałbrzych od 2013",2016,1831
"21311",401000,"Powiat aleksandrowski",2016,2656
"21312",402000,"Powiat brodnicki",2016,2138
"21313",403000,"Powiat bydgoski",2016,2997
"21314",404000,"Powiat chełmiński",2016,2500
"21315",405000,"Powiat golubsko-dobrzyński",2016,1993
"21316",406000,"Powiat grudziądzki",2016,2217
"21317",407000,"Powiat inowrocławski",2016,2707
"21318",408000,"Powiat lipnowski",2016,1396
"21319",409000,"Powiat mogileński",2016,2210
"21320",410000,"Powiat nakielski",2016,2601
"21321",411000,"Powiat radziejowski",2016,1768
"21322",412000,"Powiat rypiński",2016,1415
"21323",413000,"Powiat sępoleński",2016,1772
"21324",414000,"Powiat świecki",2016,2556
"21325",415000,"Powiat toruński",2016,2443
"21326",416000,"Powiat tucholski",2016,2678
"21327",417000,"Powiat wąbrzeski",2016,2058
"21328",418000,"Powiat włocławski",2016,1602
"21329",419000,"Powiat żniński",2016,2346
"21330",461000,"Powiat m.Bydgoszcz",2016,3781
"21331",462000,"Powiat m.Grudziądz",2016,2625
"21332",463000,"Powiat m.Toruń",2016,4219
"21333",464000,"Powiat m.Włocławek",2016,2400
"21334",601000,"Powiat bialski",2016,2639
"21335",602000,"Powiat biłgorajski",2016,3297
"21336",603000,"Powiat chełmski",2016,1690
"21337",604000,"Powiat hrubieszowski",2016,2089
"21338",605000,"Powiat janowski",2016,2538
"21339",606000,"Powiat krasnostawski",2016,2543
"21340",607000,"Powiat kraśnicki",2016,2151
"21341",608000,"Powiat lubartowski",2016,3668
"21342",609000,"Powiat lubelski",2016,3207
"21343",610000,"Powiat łęczyński",2016,3374
"21344",611000,"Powiat łukowski",2016,3030
"21345",612000,"Powiat opolski",2016,2650
"21346",613000,"Powiat parczewski",2016,2413
"21347",614000,"Powiat puławski",2016,3367
"21348",615000,"Powiat radzyński",2016,2639
"21349",616000,"Powiat rycki",2016,2568
"21350",617000,"Powiat świdnicki",2016,3706
"21351",618000,"Powiat tomaszowski",2016,2247
"21352",619000,"Powiat włodawski",2016,2235
"21353",620000,"Powiat zamojski",2016,0
"21354",661000,"Powiat m.Biała Podlaska",2016,2909
"21355",662000,"Powiat m.Chełm",2016,2568
"21356",663000,"Powiat m.Lublin",2016,4638
"21357",664000,"Powiat m.Zamość",2016,3035
"21358",801000,"Powiat gorzowski",2016,2296
"21359",802000,"Powiat krośnieński",2016,2068
"21360",803000,"Powiat międzyrzecki",2016,2190
"21361",804000,"Powiat nowosolski",2016,1395
"21362",805000,"Powiat słubicki",2016,2921
"21363",806000,"Powiat strzelecko-drezdenecki",2016,2552
"21364",807000,"Powiat sulęciński",2016,2137
"21365",808000,"Powiat świebodziński",2016,2416
"21366",809000,"Powiat zielonogórski",2016,2237
"21367",810000,"Powiat żagański",2016,1639
"21368",811000,"Powiat żarski",2016,1856
"21369",812000,"Powiat wschowski",2016,1688
"21370",861000,"Powiat m.Gorzów Wielkopolski",2016,2831
"21371",862000,"Powiat m.Zielona Góra",2016,3250
"21372",1001000,"Powiat bełchatowski",2016,2731
"21373",1002000,"Powiat kutnowski",2016,2649
"21374",1003000,"Powiat łaski",2016,2232
"21375",1004000,"Powiat łęczycki",2016,2328
"21376",1005000,"Powiat łowicki",2016,3086
"21377",1006000,"Powiat łódzki wschodni",2016,2350
"21378",1007000,"Powiat opoczyński",2016,2501
"21379",1008000,"Powiat pabianicki",2016,2177
"21380",1009000,"Powiat pajęczański",2016,0
"21381",1010000,"Powiat piotrkowski",2016,1851
"21382",1011000,"Powiat poddębicki",2016,2477
"21383",1012000,"Powiat radomszczański",2016,2216
"21384",1013000,"Powiat rawski",2016,2951
"21385",1014000,"Powiat sieradzki",2016,2500
"21386",1015000,"Powiat skierniewicki",2016,0
"21387",1016000,"Powiat tomaszowski",2016,2386
"21388",1017000,"Powiat wieluński",2016,2623
"21389",1018000,"Powiat wieruszowski",2016,2654
"21390",1019000,"Powiat zduńskowolski",2016,2554
"21391",1020000,"Powiat zgierski",2016,2615
"21392",1021000,"Powiat brzeziński",2016,2800
"21393",1061000,"Powiat m.Łódź",2016,3223
"21394",1062000,"Powiat m.Piotrków Trybunalski",2016,2156
"21395",1063000,"Powiat m.Skierniewice",2016,3253
"21396",1201000,"Powiat bocheński",2016,3978
"21397",1202000,"Powiat brzeski",2016,0
"21398",1203000,"Powiat chrzanowski",2016,2387
"21399",1204000,"Powiat dąbrowski",2016,2360
"21400",1205000,"Powiat gorlicki",2016,2462
"21401",1206000,"Powiat krakowski",2016,4055
"21402",1207000,"Powiat limanowski",2016,3179
"21403",1208000,"Powiat miechowski",2016,3258
"21404",1209000,"Powiat myślenicki",2016,4284
"21405",1210000,"Powiat nowosądecki",2016,3337
"21406",1211000,"Powiat nowotarski",2016,4354
"21407",1212000,"Powiat olkuski",2016,2906
"21408",1213000,"Powiat oświęcimski",2016,2505
"21409",1214000,"Powiat proszowicki",2016,2691
"21410",1215000,"Powiat suski",2016,2667
"21411",1216000,"Powiat tarnowski",2016,0
"21412",1217000,"Powiat tatrzański",2016,8004
"21413",1218000,"Powiat wadowicki",2016,3371
"21414",1219000,"Powiat wielicki",2016,5362
"21415",1261000,"Powiat m.Kraków",2016,6086
"21416",1262000,"Powiat m.Nowy Sącz",2016,3226
"21417",1263000,"Powiat m.Tarnów",2016,2710
"21418",1401000,"Powiat białobrzeski",2016,3562
"21419",1402000,"Powiat ciechanowski",2016,2867
"21420",1403000,"Powiat garwoliński",2016,3208
"21421",1404000,"Powiat gostyniński",2016,2085
"21422",1405000,"Powiat grodziski",2016,4324
"21423",1406000,"Powiat grójecki",2016,3351
"21424",1407000,"Powiat kozienicki",2016,2454
"21425",1408000,"Powiat legionowski",2016,5049
"21426",1409000,"Powiat lipski",2016,0
"21427",1410000,"Powiat łosicki",2016,2833
"21428",1411000,"Powiat makowski",2016,0
"21429",1412000,"Powiat miński",2016,3704
"21430",1413000,"Powiat mławski",2016,2405
"21431",1414000,"Powiat nowodworski",2016,3889
"21432",1415000,"Powiat ostrołęcki",2016,0
"21433",1416000,"Powiat ostrowski",2016,2692
"21434",1417000,"Powiat otwocki",2016,4474
"21435",1418000,"Powiat piaseczyński",2016,5499
"21436",1419000,"Powiat płocki",2016,1700
"21437",1420000,"Powiat płoński",2016,2800
"21438",1421000,"Powiat pruszkowski",2016,5236
"21439",1422000,"Powiat przasnyski",2016,2396
"21440",1423000,"Powiat przysuski",2016,1860
"21441",1424000,"Powiat pułtuski",2016,2857
"21442",1425000,"Powiat radomski",2016,1558
"21443",1426000,"Powiat siedlecki",2016,0
"21444",1427000,"Powiat sierpecki",2016,2333
"21445",1428000,"Powiat sochaczewski",2016,3430
"21446",1429000,"Powiat sokołowski",2016,2843
