"","Kod","Nazwa","rok","Budynki_mieszkalne_podaaczone_do_infrastruktury_technicznej_w_proc_ogolu_budynkow_mieszkalnych_ogolem_kanalizacja_proc"
"2000",1009000,"Powiat pajęczański",2016,37.2
"2001",1010000,"Powiat piotrkowski",2016,24.8
"2002",1011000,"Powiat poddębicki",2016,17.9
"2003",1012000,"Powiat radomszczański",2016,34.2
"2004",1013000,"Powiat rawski",2016,17.7
"2005",1014000,"Powiat sieradzki",2016,29.9
"2006",1015000,"Powiat skierniewicki",2016,11.3
"2007",1016000,"Powiat tomaszowski",2016,38
"2008",1017000,"Powiat wieluński",2016,33.4
"2009",1018000,"Powiat wieruszowski",2016,48.1
"2010",1019000,"Powiat zduńskowolski",2016,38
"2011",1020000,"Powiat zgierski",2016,32.5
"2012",1021000,"Powiat brzeziński",2016,20
"2013",1061000,"Powiat m.Łódź",2016,51.1
"2014",1062000,"Powiat m.Piotrków Trybunalski",2016,44.6
"2015",1063000,"Powiat m.Skierniewice",2016,61.9
"2016",1201000,"Powiat bocheński",2016,49.1
"2017",1202000,"Powiat brzeski",2016,27.4
"2018",1203000,"Powiat chrzanowski",2016,39
"2019",1204000,"Powiat dąbrowski",2016,34
"2020",1205000,"Powiat gorlicki",2016,48.7
"2021",1206000,"Powiat krakowski",2016,50.7
"2022",1207000,"Powiat limanowski",2016,31.6
"2023",1208000,"Powiat miechowski",2016,15.3
"2024",1209000,"Powiat myślenicki",2016,51.5
"2025",1210000,"Powiat nowosądecki",2016,39.8
"2026",1211000,"Powiat nowotarski",2016,57.9
"2027",1212000,"Powiat olkuski",2016,34.5
"2028",1213000,"Powiat oświęcimski",2016,43.7
"2029",1214000,"Powiat proszowicki",2016,28.6
"2030",1215000,"Powiat suski",2016,32.6
"2031",1216000,"Powiat tarnowski",2016,46.8
"2032",1217000,"Powiat tatrzański",2016,50.2
"2033",1218000,"Powiat wadowicki",2016,39.3
"2034",1219000,"Powiat wielicki",2016,42
"2035",1261000,"Powiat m.Kraków",2016,76.5
"2036",1262000,"Powiat m.Nowy Sącz",2016,88.8
"2037",1263000,"Powiat m.Tarnów",2016,85.7
"2038",1401000,"Powiat białobrzeski",2016,20.4
"2039",1402000,"Powiat ciechanowski",2016,40.5
"2040",1403000,"Powiat garwoliński",2016,34.8
"2041",1404000,"Powiat gostyniński",2016,25.9
"2042",1405000,"Powiat grodziski",2016,50.6
"2043",1406000,"Powiat grójecki",2016,25.9
"2044",1407000,"Powiat kozienicki",2016,46.7
"2045",1408000,"Powiat legionowski",2016,35.4
"2046",1409000,"Powiat lipski",2016,15.6
"2047",1410000,"Powiat łosicki",2016,37.1
"2048",1411000,"Powiat makowski",2016,16.4
