"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_do_40_m2_szt"
"21338",605000,"Powiat janowski",2016,5
"21339",606000,"Powiat krasnostawski",2016,7
"21340",607000,"Powiat kraśnicki",2016,39
"21341",608000,"Powiat lubartowski",2016,30
"21342",609000,"Powiat lubelski",2016,19
"21343",610000,"Powiat łęczyński",2016,8
"21344",611000,"Powiat łukowski",2016,13
"21345",612000,"Powiat opolski",2016,19
"21346",613000,"Powiat parczewski",2016,6
"21347",614000,"Powiat puławski",2016,58
"21348",615000,"Powiat radzyński",2016,9
"21349",616000,"Powiat rycki",2016,12
"21350",617000,"Powiat świdnicki",2016,29
"21351",618000,"Powiat tomaszowski",2016,13
"21352",619000,"Powiat włodawski",2016,14
"21353",620000,"Powiat zamojski",2016,0
"21354",661000,"Powiat m.Biała Podlaska",2016,19
"21355",662000,"Powiat m.Chełm",2016,45
"21356",663000,"Powiat m.Lublin",2016,367
"21357",664000,"Powiat m.Zamość",2016,44
"21358",801000,"Powiat gorzowski",2016,41
"21359",802000,"Powiat krośnieński",2016,39
"21360",803000,"Powiat międzyrzecki",2016,52
"21361",804000,"Powiat nowosolski",2016,71
"21362",805000,"Powiat słubicki",2016,65
"21363",806000,"Powiat strzelecko-drezdenecki",2016,25
"21364",807000,"Powiat sulęciński",2016,32
"21365",808000,"Powiat świebodziński",2016,24
"21366",809000,"Powiat zielonogórski",2016,35
"21367",810000,"Powiat żagański",2016,76
"21368",811000,"Powiat żarski",2016,83
"21369",812000,"Powiat wschowski",2016,11
"21370",861000,"Powiat m.Gorzów Wielkopolski",2016,186
"21371",862000,"Powiat m.Zielona Góra",2016,167
"21372",1001000,"Powiat bełchatowski",2016,48
"21373",1002000,"Powiat kutnowski",2016,15
"21374",1003000,"Powiat łaski",2016,17
"21375",1004000,"Powiat łęczycki",2016,15
"21376",1005000,"Powiat łowicki",2016,16
"21377",1006000,"Powiat łódzki wschodni",2016,11
"21378",1007000,"Powiat opoczyński",2016,18
"21379",1008000,"Powiat pabianicki",2016,78
"21380",1009000,"Powiat pajęczański",2016,0
"21381",1010000,"Powiat piotrkowski",2016,4
"21382",1011000,"Powiat poddębicki",2016,9
"21383",1012000,"Powiat radomszczański",2016,19
"21384",1013000,"Powiat rawski",2016,10
"21385",1014000,"Powiat sieradzki",2016,29
"21386",1015000,"Powiat skierniewicki",2016,0
"21387",1016000,"Powiat tomaszowski",2016,62
"21388",1017000,"Powiat wieluński",2016,14
"21389",1018000,"Powiat wieruszowski",2016,9
"21390",1019000,"Powiat zduńskowolski",2016,19
"21391",1020000,"Powiat zgierski",2016,112
"21392",1021000,"Powiat brzeziński",2016,15
"21393",1061000,"Powiat m.Łódź",2016,1409
"21394",1062000,"Powiat m.Piotrków Trybunalski",2016,43
"21395",1063000,"Powiat m.Skierniewice",2016,43
"21396",1201000,"Powiat bocheński",2016,28
"21397",1202000,"Powiat brzeski",2016,0
"21398",1203000,"Powiat chrzanowski",2016,89
"21399",1204000,"Powiat dąbrowski",2016,9
