"","Kod","Nazwa","rok","BEZROBOCIE_w_proc_ludnosci_aktywnej_zawodowo_proc"
"26296",663000,"Powiat m.Lublin",2004,NA
"26297",664000,"Powiat m.Zamość",2004,NA
"26298",801000,"Powiat gorzowski",2004,NA
"26299",802000,"Powiat krośnieński",2004,NA
"26300",803000,"Powiat międzyrzecki",2004,NA
"26301",804000,"Powiat nowosolski",2004,NA
"26302",805000,"Powiat słubicki",2004,NA
"26303",806000,"Powiat strzelecko-drezdenecki",2004,NA
"26304",807000,"Powiat sulęciński",2004,NA
"26305",808000,"Powiat świebodziński",2004,NA
"26306",809000,"Powiat zielonogórski",2004,NA
"26307",810000,"Powiat żagański",2004,NA
"26308",811000,"Powiat żarski",2004,NA
"26309",812000,"Powiat wschowski",2004,NA
"26310",861000,"Powiat m.Gorzów Wielkopolski",2004,NA
"26311",862000,"Powiat m.Zielona Góra",2004,NA
"26312",1001000,"Powiat bełchatowski",2004,NA
"26313",1002000,"Powiat kutnowski",2004,NA
"26314",1003000,"Powiat łaski",2004,NA
"26315",1004000,"Powiat łęczycki",2004,NA
"26316",1005000,"Powiat łowicki",2004,NA
"26317",1006000,"Powiat łódzki wschodni",2004,NA
"26318",1007000,"Powiat opoczyński",2004,NA
"26319",1008000,"Powiat pabianicki",2004,NA
"26320",1009000,"Powiat pajęczański",2004,NA
"26321",1010000,"Powiat piotrkowski",2004,NA
"26322",1011000,"Powiat poddębicki",2004,NA
"26323",1012000,"Powiat radomszczański",2004,NA
"26324",1013000,"Powiat rawski",2004,NA
"26325",1014000,"Powiat sieradzki",2004,NA
"26326",1015000,"Powiat skierniewicki",2004,NA
"26327",1016000,"Powiat tomaszowski",2004,NA
"26328",1017000,"Powiat wieluński",2004,NA
"26329",1018000,"Powiat wieruszowski",2004,NA
"26330",1019000,"Powiat zduńskowolski",2004,NA
"26331",1020000,"Powiat zgierski",2004,NA
"26332",1021000,"Powiat brzeziński",2004,NA
"26333",1061000,"Powiat m.Łódź",2004,NA
"26334",1062000,"Powiat m.Piotrków Trybunalski",2004,NA
"26335",1063000,"Powiat m.Skierniewice",2004,NA
"26336",1201000,"Powiat bocheński",2004,NA
"26337",1202000,"Powiat brzeski",2004,NA
"26338",1203000,"Powiat chrzanowski",2004,NA
"26339",1204000,"Powiat dąbrowski",2004,NA
"26340",1205000,"Powiat gorlicki",2004,NA
"26341",1206000,"Powiat krakowski",2004,NA
"26342",1207000,"Powiat limanowski",2004,NA
"26343",1208000,"Powiat miechowski",2004,NA
"26344",1209000,"Powiat myślenicki",2004,NA
"26345",1210000,"Powiat nowosądecki",2004,NA
"26346",1211000,"Powiat nowotarski",2004,NA
"26347",1212000,"Powiat olkuski",2004,NA
"26348",1213000,"Powiat oświęcimski",2004,NA
"26349",1214000,"Powiat proszowicki",2004,NA
"26350",1215000,"Powiat suski",2004,NA
"26351",1216000,"Powiat tarnowski",2004,NA
"26352",1217000,"Powiat tatrzański",2004,NA
"26353",1218000,"Powiat wadowicki",2004,NA
"26354",1219000,"Powiat wielicki",2004,NA
"26355",1261000,"Powiat m.Kraków",2004,NA
"26356",1262000,"Powiat m.Nowy Sącz",2004,NA
"26357",1263000,"Powiat m.Tarnów",2004,NA
"26358",1401000,"Powiat białobrzeski",2004,NA
"26359",1402000,"Powiat ciechanowski",2004,NA
"26360",1403000,"Powiat garwoliński",2004,NA
"26361",1404000,"Powiat gostyniński",2004,NA
"26362",1405000,"Powiat grodziski",2004,NA
"26363",1406000,"Powiat grójecki",2004,NA
"26364",1407000,"Powiat kozienicki",2004,NA
"26365",1408000,"Powiat legionowski",2004,NA
"26366",1409000,"Powiat lipski",2004,NA
"26367",1410000,"Powiat łosicki",2004,NA
"26368",1411000,"Powiat makowski",2004,NA
"26369",1412000,"Powiat miński",2004,NA
"26370",1413000,"Powiat mławski",2004,NA
"26371",1414000,"Powiat nowodworski",2004,NA
"26372",1415000,"Powiat ostrołęcki",2004,NA
"26373",1416000,"Powiat ostrowski",2004,NA
"26374",1417000,"Powiat otwocki",2004,NA
"26375",1418000,"Powiat piaseczyński",2004,NA
"26376",1419000,"Powiat płocki",2004,NA
"26377",1420000,"Powiat płoński",2004,NA
"26378",1421000,"Powiat pruszkowski",2004,NA
"26379",1422000,"Powiat przasnyski",2004,NA
"26380",1423000,"Powiat przysuski",2004,NA
"26381",1424000,"Powiat pułtuski",2004,NA
"26382",1425000,"Powiat radomski",2004,NA
"26383",1426000,"Powiat siedlecki",2004,NA
"26384",1427000,"Powiat sierpecki",2004,NA
"26385",1428000,"Powiat sochaczewski",2004,NA
"26386",1429000,"Powiat sokołowski",2004,NA
"26387",1430000,"Powiat szydłowiecki",2004,NA
"26388",1432000,"Powiat warszawski zachodni",2004,NA
"26389",1433000,"Powiat węgrowski",2004,NA
"26390",1434000,"Powiat wołomiński",2004,NA
