"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_ogolem_szt"
"9762",2409000,"Powiat myszkowski",2015,0
"9763",2410000,"Powiat pszczyński",2015,16
"9764",2411000,"Powiat raciborski",2015,0
"9765",2412000,"Powiat rybnicki",2015,0
"9766",2413000,"Powiat tarnogórski",2015,0
"9767",2414000,"Powiat bieruńsko-lędziński",2015,14
"9768",2415000,"Powiat wodzisławski",2015,0
"9769",2416000,"Powiat zawierciański",2015,0
"9770",2417000,"Powiat żywiecki",2015,0
"9771",2461000,"Powiat m.Bielsko-Biała",2015,212
"9772",2462000,"Powiat m.Bytom",2015,8
"9773",2463000,"Powiat m.Chorzów",2015,12
"9774",2464000,"Powiat m.Częstochowa",2015,73
"9775",2465000,"Powiat m.Dąbrowa Górnicza",2015,30
"9776",2466000,"Powiat m.Gliwice",2015,139
"9777",2467000,"Powiat m.Jastrzębie-Zdrój",2015,0
"9778",2468000,"Powiat m.Jaworzno",2015,44
"9779",2469000,"Powiat m.Katowice",2015,64
"9780",2470000,"Powiat m.Mysłowice",2015,27
"9781",2471000,"Powiat m.Piekary Śląskie",2015,0
"9782",2472000,"Powiat m.Ruda Śląska",2015,148
"9783",2473000,"Powiat m.Rybnik",2015,3
"9784",2474000,"Powiat m.Siemianowice Śląskie",2015,133
"9785",2475000,"Powiat m.Sosnowiec",2015,55
"9786",2476000,"Powiat m.Świętochłowice",2015,95
"9787",2477000,"Powiat m.Tychy",2015,260
"9788",2478000,"Powiat m.Zabrze",2015,0
"9789",2479000,"Powiat m.Żory",2015,29
"9790",2601000,"Powiat buski",2015,0
"9791",2602000,"Powiat jędrzejowski",2015,0
"9792",2603000,"Powiat kazimierski",2015,0
"9793",2604000,"Powiat kielecki",2015,0
"9794",2605000,"Powiat konecki",2015,0
"9795",2606000,"Powiat opatowski",2015,0
"9796",2607000,"Powiat ostrowiecki",2015,7
"9797",2608000,"Powiat pińczowski",2015,0
"9798",2609000,"Powiat sandomierski",2015,0
"9799",2610000,"Powiat skarżyski",2015,7
"9800",2611000,"Powiat starachowicki",2015,6
"9801",2612000,"Powiat staszowski",2015,0
"9802",2613000,"Powiat włoszczowski",2015,0
"9803",2661000,"Powiat m.Kielce",2015,620
"9804",2801000,"Powiat bartoszycki",2015,0
"9805",2802000,"Powiat braniewski",2015,0
"9806",2803000,"Powiat działdowski",2015,106
"9807",2804000,"Powiat elbląski",2015,22
"9808",2805000,"Powiat ełcki",2015,103
"9809",2806000,"Powiat giżycki",2015,111
"9810",2807000,"Powiat iławski",2015,90
"9811",2808000,"Powiat kętrzyński",2015,6
"9812",2809000,"Powiat lidzbarski",2015,0
"9813",2810000,"Powiat mrągowski",2015,44
"9814",2811000,"Powiat nidzicki",2015,14
"9815",2812000,"Powiat nowomiejski",2015,0
"9816",2813000,"Powiat olecki",2015,6
"9817",2814000,"Powiat olsztyński",2015,272
"9818",2815000,"Powiat ostródzki",2015,91
"9819",2816000,"Powiat piski",2015,25
"9820",2817000,"Powiat szczycieński",2015,64
"9821",2818000,"Powiat gołdapski",2015,7
"9822",2819000,"Powiat węgorzewski",2015,0
"9823",2861000,"Powiat m.Elbląg",2015,61
"9824",2862000,"Powiat m.Olsztyn",2015,794
"9825",3001000,"Powiat chodzieski",2015,0
"9826",3002000,"Powiat czarnkowsko-trzcianecki",2015,41
"9827",3003000,"Powiat gnieźnieński",2015,44
"9828",3004000,"Powiat gostyński",2015,54
"9829",3005000,"Powiat grodziski",2015,14
"9830",3006000,"Powiat jarociński",2015,24
"9831",3007000,"Powiat kaliski",2015,0
"9832",3008000,"Powiat kępiński",2015,0
"9833",3009000,"Powiat kolski",2015,0
"9834",3010000,"Powiat koniński",2015,0
"9835",3011000,"Powiat kościański",2015,75
"9836",3012000,"Powiat krotoszyński",2015,0
"9837",3013000,"Powiat leszczyński",2015,0
"9838",3014000,"Powiat międzychodzki",2015,21
"9839",3015000,"Powiat nowotomyski",2015,4
"9840",3016000,"Powiat obornicki",2015,64
"9841",3017000,"Powiat ostrowski",2015,87
"9842",3018000,"Powiat ostrzeszowski",2015,30
"9843",3019000,"Powiat pilski",2015,88
"9844",3020000,"Powiat pleszewski",2015,0
"9845",3021000,"Powiat poznański",2015,1066
"9846",3022000,"Powiat rawicki",2015,26
"9847",3023000,"Powiat słupecki",2015,11
"9848",3024000,"Powiat szamotulski",2015,0
"9849",3025000,"Powiat średzki",2015,29
"9850",3026000,"Powiat śremski",2015,3
"9851",3027000,"Powiat turecki",2015,0
"9852",3028000,"Powiat wągrowiecki",2015,44
"9853",3029000,"Powiat wolsztyński",2015,0
"9854",3030000,"Powiat wrzesiński",2015,179
"9855",3031000,"Powiat złotowski",2015,76
"9856",3061000,"Powiat m.Kalisz",2015,64
"9857",3062000,"Powiat m.Konin",2015,75
"9858",3063000,"Powiat m.Leszno",2015,103
"9859",3064000,"Powiat m.Poznań",2015,3201
"9860",3201000,"Powiat białogardzki",2015,3
"9861",3202000,"Powiat choszczeński",2015,10
"9862",3203000,"Powiat drawski",2015,0
"9863",3204000,"Powiat goleniowski",2015,8
"9864",3205000,"Powiat gryficki",2015,6
"9865",3206000,"Powiat gryfiński",2015,8
"9866",3207000,"Powiat kamieński",2015,73
"9867",3208000,"Powiat kołobrzeski",2015,106
"9868",3209000,"Powiat koszaliński",2015,45
"9869",3210000,"Powiat myśliborski",2015,54
"9870",3211000,"Powiat policki",2015,91
"9871",3212000,"Powiat pyrzycki",2015,0
"9872",3213000,"Powiat sławieński",2015,98
"9873",3214000,"Powiat stargardzki",2015,35
"9874",3215000,"Powiat szczecinecki",2015,22
"9875",3216000,"Powiat świdwiński",2015,0
"9876",3217000,"Powiat wałecki",2015,0
"9877",3218000,"Powiat łobeski",2015,0
"9878",3261000,"Powiat m.Koszalin",2015,0
"9879",3262000,"Powiat m.Szczecin",2015,1098
"9880",3263000,"Powiat m.Świnoujście",2015,8
"9881",201000,"Powiat bolesławiecki",2016,43
"9882",202000,"Powiat dzierżoniowski",2016,11
"9883",203000,"Powiat głogowski",2016,100
"9884",204000,"Powiat górowski",2016,0
"9885",205000,"Powiat jaworski",2016,0
"9886",206000,"Powiat jeleniogórski",2016,29
"9887",207000,"Powiat kamiennogórski",2016,0
"9888",208000,"Powiat kłodzki",2016,41
"9889",209000,"Powiat legnicki",2016,0
"9890",210000,"Powiat lubański",2016,5
"9891",211000,"Powiat lubiński",2016,137
"9892",212000,"Powiat lwówecki",2016,0
"9893",213000,"Powiat milicki",2016,38
"9894",214000,"Powiat oleśnicki",2016,42
"9895",215000,"Powiat oławski",2016,155
"9896",216000,"Powiat polkowicki",2016,15
"9897",217000,"Powiat strzeliński",2016,26
"9898",218000,"Powiat średzki",2016,22
"9899",219000,"Powiat świdnicki",2016,165
"9900",220000,"Powiat trzebnicki",2016,47
"9901",221000,"Powiat wałbrzyski",2016,6
"9902",222000,"Powiat wołowski",2016,61
"9903",223000,"Powiat wrocławski",2016,772
"9904",224000,"Powiat ząbkowicki",2016,0
"9905",225000,"Powiat zgorzelecki",2016,0
"9906",226000,"Powiat złotoryjski",2016,7
"9907",261000,"Powiat m.Jelenia Góra",2016,115
"9908",262000,"Powiat m.Legnica",2016,114
"9909",264000,"Powiat m.Wrocław",2016,6636
"9910",265000,"Powiat m.Wałbrzych od 2013",2016,7
"9911",401000,"Powiat aleksandrowski",2016,33
"9912",402000,"Powiat brodnicki",2016,154
"9913",403000,"Powiat bydgoski",2016,49
"9914",404000,"Powiat chełmiński",2016,13
"9915",405000,"Powiat golubsko-dobrzyński",2016,0
"9916",406000,"Powiat grudziądzki",2016,0
"9917",407000,"Powiat inowrocławski",2016,65
"9918",408000,"Powiat lipnowski",2016,0
"9919",409000,"Powiat mogileński",2016,0
"9920",410000,"Powiat nakielski",2016,0
"9921",411000,"Powiat radziejowski",2016,0
"9922",412000,"Powiat rypiński",2016,0
"9923",413000,"Powiat sępoleński",2016,6
"9924",414000,"Powiat świecki",2016,31
"9925",415000,"Powiat toruński",2016,8
"9926",416000,"Powiat tucholski",2016,0
"9927",417000,"Powiat wąbrzeski",2016,0
"9928",418000,"Powiat włocławski",2016,14
"9929",419000,"Powiat żniński",2016,6
"9930",461000,"Powiat m.Bydgoszcz",2016,920
"9931",462000,"Powiat m.Grudziądz",2016,7
"9932",463000,"Powiat m.Toruń",2016,7
"9933",464000,"Powiat m.Włocławek",2016,68
"9934",601000,"Powiat bialski",2016,0
"9935",602000,"Powiat biłgorajski",2016,13
"9936",603000,"Powiat chełmski",2016,0
"9937",604000,"Powiat hrubieszowski",2016,3
"9938",605000,"Powiat janowski",2016,0
"9939",606000,"Powiat krasnostawski",2016,0
"9940",607000,"Powiat kraśnicki",2016,0
"9941",608000,"Powiat lubartowski",2016,0
"9942",609000,"Powiat lubelski",2016,13
"9943",610000,"Powiat łęczyński",2016,49
"9944",611000,"Powiat łukowski",2016,0
"9945",612000,"Powiat opolski",2016,12
"9946",613000,"Powiat parczewski",2016,0
"9947",614000,"Powiat puławski",2016,115
"9948",615000,"Powiat radzyński",2016,19
"9949",616000,"Powiat rycki",2016,0
"9950",617000,"Powiat świdnicki",2016,0
"9951",618000,"Powiat tomaszowski",2016,7
"9952",619000,"Powiat włodawski",2016,10
"9953",620000,"Powiat zamojski",2016,3
"9954",661000,"Powiat m.Biała Podlaska",2016,42
"9955",662000,"Powiat m.Chełm",2016,44
"9956",663000,"Powiat m.Lublin",2016,1690
"9957",664000,"Powiat m.Zamość",2016,55
"9958",801000,"Powiat gorzowski",2016,64
"9959",802000,"Powiat krośnieński",2016,0
"9960",803000,"Powiat międzyrzecki",2016,4
"9961",804000,"Powiat nowosolski",2016,0
"9962",805000,"Powiat słubicki",2016,50
"9963",806000,"Powiat strzelecko-drezdenecki",2016,26
"9964",807000,"Powiat sulęciński",2016,0
"9965",808000,"Powiat świebodziński",2016,139
"9966",809000,"Powiat zielonogórski",2016,22
"9967",810000,"Powiat żagański",2016,7
"9968",811000,"Powiat żarski",2016,53
"9969",812000,"Powiat wschowski",2016,10
"9970",861000,"Powiat m.Gorzów Wielkopolski",2016,614
"9971",862000,"Powiat m.Zielona Góra",2016,214
"9972",1001000,"Powiat bełchatowski",2016,13
"9973",1002000,"Powiat kutnowski",2016,28
"9974",1003000,"Powiat łaski",2016,7
"9975",1004000,"Powiat łęczycki",2016,0
"9976",1005000,"Powiat łowicki",2016,23
"9977",1006000,"Powiat łódzki wschodni",2016,0
"9978",1007000,"Powiat opoczyński",2016,0
"9979",1008000,"Powiat pabianicki",2016,42
"9980",1009000,"Powiat pajęczański",2016,5
"9981",1010000,"Powiat piotrkowski",2016,0
"9982",1011000,"Powiat poddębicki",2016,3
"9983",1012000,"Powiat radomszczański",2016,4
