"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_zl"
"7971",3212000,"Powiat pyrzycki",2015,2217
"7972",3213000,"Powiat sławieński",2015,1875
"7973",3214000,"Powiat stargardzki",2015,2750
"7974",3215000,"Powiat szczecinecki",2015,1958
"7975",3216000,"Powiat świdwiński",2015,1485
"7976",3217000,"Powiat wałecki",2015,2159
"7977",3218000,"Powiat łobeski",2015,1340
"7978",3261000,"Powiat m.Koszalin",2015,2966
"7979",3262000,"Powiat m.Szczecin",2015,4067
"7980",3263000,"Powiat m.Świnoujście",2015,4581
"7981",201000,"Powiat bolesławiecki",2016,2809
"7982",202000,"Powiat dzierżoniowski",2016,1951
"7983",203000,"Powiat głogowski",2016,2719
"7984",204000,"Powiat górowski",2016,0
"7985",205000,"Powiat jaworski",2016,1767
"7986",206000,"Powiat jeleniogórski",2016,1738
"7987",207000,"Powiat kamiennogórski",2016,1742
"7988",208000,"Powiat kłodzki",2016,1752
"7989",209000,"Powiat legnicki",2016,1863
"7990",210000,"Powiat lubański",2016,2048
"7991",211000,"Powiat lubiński",2016,3756
"7992",212000,"Powiat lwówecki",2016,1085
"7993",213000,"Powiat milicki",2016,2565
"7994",214000,"Powiat oleśnicki",2016,3110
"7995",215000,"Powiat oławski",2016,3120
"7996",216000,"Powiat polkowicki",2016,1844
"7997",217000,"Powiat strzeliński",2016,1722
"7998",218000,"Powiat średzki",2016,3039
"7999",219000,"Powiat świdnicki",2016,2687
"8000",220000,"Powiat trzebnicki",2016,2847
"8001",221000,"Powiat wałbrzyski",2016,1619
"8002",222000,"Powiat wołowski",2016,2770
"8003",223000,"Powiat wrocławski",2016,3844
"8004",224000,"Powiat ząbkowicki",2016,1717
"8005",225000,"Powiat zgorzelecki",2016,1754
"8006",226000,"Powiat złotoryjski",2016,1234
"8007",261000,"Powiat m.Jelenia Góra",2016,1881
"8008",262000,"Powiat m.Legnica",2016,2271
"8009",264000,"Powiat m.Wrocław",2016,4739
"8010",265000,"Powiat m.Wałbrzych od 2013",2016,1440
"8011",401000,"Powiat aleksandrowski",2016,2926
