"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_cieZarowe_o_ladownosci_10_ton_i_wiekszej_szt"
"32452",613000,"Powiat parczewski",2000,NA
"32453",614000,"Powiat puławski",2000,NA
"32454",615000,"Powiat radzyński",2000,NA
"32455",616000,"Powiat rycki",2000,NA
"32456",617000,"Powiat świdnicki",2000,NA
"32457",618000,"Powiat tomaszowski",2000,NA
"32458",619000,"Powiat włodawski",2000,NA
"32459",620000,"Powiat zamojski",2000,NA
"32460",661000,"Powiat m.Biała Podlaska",2000,NA
"32461",662000,"Powiat m.Chełm",2000,NA
"32462",663000,"Powiat m.Lublin",2000,NA
"32463",664000,"Powiat m.Zamość",2000,NA
"32464",801000,"Powiat gorzowski",2000,NA
"32465",802000,"Powiat krośnieński",2000,NA
"32466",803000,"Powiat międzyrzecki",2000,NA
"32467",804000,"Powiat nowosolski",2000,NA
"32468",805000,"Powiat słubicki",2000,NA
"32469",806000,"Powiat strzelecko-drezdenecki",2000,NA
"32470",807000,"Powiat sulęciński",2000,NA
"32471",808000,"Powiat świebodziński",2000,NA
"32472",809000,"Powiat zielonogórski",2000,NA
"32473",810000,"Powiat żagański",2000,NA
"32474",811000,"Powiat żarski",2000,NA
"32475",812000,"Powiat wschowski",2000,NA
"32476",861000,"Powiat m.Gorzów Wielkopolski",2000,NA
"32477",862000,"Powiat m.Zielona Góra",2000,NA
"32478",1001000,"Powiat bełchatowski",2000,NA
"32479",1002000,"Powiat kutnowski",2000,NA
"32480",1003000,"Powiat łaski",2000,NA
"32481",1004000,"Powiat łęczycki",2000,NA
"32482",1005000,"Powiat łowicki",2000,NA
"32483",1006000,"Powiat łódzki wschodni",2000,NA
"32484",1007000,"Powiat opoczyński",2000,NA
"32485",1008000,"Powiat pabianicki",2000,NA
"32486",1009000,"Powiat pajęczański",2000,NA
"32487",1010000,"Powiat piotrkowski",2000,NA
"32488",1011000,"Powiat poddębicki",2000,NA
"32489",1012000,"Powiat radomszczański",2000,NA
"32490",1013000,"Powiat rawski",2000,NA
"32491",1014000,"Powiat sieradzki",2000,NA
"32492",1015000,"Powiat skierniewicki",2000,NA
"32493",1016000,"Powiat tomaszowski",2000,NA
"32494",1017000,"Powiat wieluński",2000,NA
"32495",1018000,"Powiat wieruszowski",2000,NA
"32496",1019000,"Powiat zduńskowolski",2000,NA
"32497",1020000,"Powiat zgierski",2000,NA
"32498",1021000,"Powiat brzeziński",2000,NA
"32499",1061000,"Powiat m.Łódź",2000,NA
"32500",1062000,"Powiat m.Piotrków Trybunalski",2000,NA
"32501",1063000,"Powiat m.Skierniewice",2000,NA
"32502",1201000,"Powiat bocheński",2000,NA
"32503",1202000,"Powiat brzeski",2000,NA
"32504",1203000,"Powiat chrzanowski",2000,NA
"32505",1204000,"Powiat dąbrowski",2000,NA
"32506",1205000,"Powiat gorlicki",2000,NA
"32507",1206000,"Powiat krakowski",2000,NA
"32508",1207000,"Powiat limanowski",2000,NA
"32509",1208000,"Powiat miechowski",2000,NA
"32510",1209000,"Powiat myślenicki",2000,NA
"32511",1210000,"Powiat nowosądecki",2000,NA
"32512",1211000,"Powiat nowotarski",2000,NA
"32513",1212000,"Powiat olkuski",2000,NA
"32514",1213000,"Powiat oświęcimski",2000,NA
"32515",1214000,"Powiat proszowicki",2000,NA
"32516",1215000,"Powiat suski",2000,NA
"32517",1216000,"Powiat tarnowski",2000,NA
"32518",1217000,"Powiat tatrzański",2000,NA
"32519",1218000,"Powiat wadowicki",2000,NA
"32520",1219000,"Powiat wielicki",2000,NA
"32521",1261000,"Powiat m.Kraków",2000,NA
"32522",1262000,"Powiat m.Nowy Sącz",2000,NA
"32523",1263000,"Powiat m.Tarnów",2000,NA
"32524",1401000,"Powiat białobrzeski",2000,NA
"32525",1402000,"Powiat ciechanowski",2000,NA
"32526",1403000,"Powiat garwoliński",2000,NA
"32527",1404000,"Powiat gostyniński",2000,NA
"32528",1405000,"Powiat grodziski",2000,NA
"32529",1406000,"Powiat grójecki",2000,NA
"32530",1407000,"Powiat kozienicki",2000,NA
"32531",1408000,"Powiat legionowski",2000,NA
"32532",1409000,"Powiat lipski",2000,NA
