"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_szt"
"7877",2467000,"Powiat m.Jastrzębie-Zdrój",2015,5
"7878",2468000,"Powiat m.Jaworzno",2015,5
"7879",2469000,"Powiat m.Katowice",2015,100
"7880",2470000,"Powiat m.Mysłowice",2015,20
"7881",2471000,"Powiat m.Piekary Śląskie",2015,7
"7882",2472000,"Powiat m.Ruda Śląska",2015,29
"7883",2473000,"Powiat m.Rybnik",2015,9
"7884",2474000,"Powiat m.Siemianowice Śląskie",2015,19
"7885",2475000,"Powiat m.Sosnowiec",2015,17
"7886",2476000,"Powiat m.Świętochłowice",2015,25
"7887",2477000,"Powiat m.Tychy",2015,26
"7888",2478000,"Powiat m.Zabrze",2015,33
"7889",2479000,"Powiat m.Żory",2015,19
"7890",2601000,"Powiat buski",2015,0
"7891",2602000,"Powiat jędrzejowski",2015,4
"7892",2603000,"Powiat kazimierski",2015,0
"7893",2604000,"Powiat kielecki",2015,0
"7894",2605000,"Powiat konecki",2015,0
"7895",2606000,"Powiat opatowski",2015,0
"7896",2607000,"Powiat ostrowiecki",2015,3
"7897",2608000,"Powiat pińczowski",2015,0
"7898",2609000,"Powiat sandomierski",2015,0
"7899",2610000,"Powiat skarżyski",2015,6
"7900",2611000,"Powiat starachowicki",2015,3
"7901",2612000,"Powiat staszowski",2015,0
"7902",2613000,"Powiat włoszczowski",2015,0
"7903",2661000,"Powiat m.Kielce",2015,62
"7904",2801000,"Powiat bartoszycki",2015,7
"7905",2802000,"Powiat braniewski",2015,4
"7906",2803000,"Powiat działdowski",2015,6
"7907",2804000,"Powiat elbląski",2015,4
"7908",2805000,"Powiat ełcki",2015,30
"7909",2806000,"Powiat giżycki",2015,13
"7910",2807000,"Powiat iławski",2015,6
"7911",2808000,"Powiat kętrzyński",2015,7
"7912",2809000,"Powiat lidzbarski",2015,0
"7913",2810000,"Powiat mrągowski",2015,0
"7914",2811000,"Powiat nidzicki",2015,4
"7915",2812000,"Powiat nowomiejski",2015,0
"7916",2813000,"Powiat olecki",2015,5
"7917",2814000,"Powiat olsztyński",2015,26
"7918",2815000,"Powiat ostródzki",2015,15
"7919",2816000,"Powiat piski",2015,3
"7920",2817000,"Powiat szczycieński",2015,0
"7921",2818000,"Powiat gołdapski",2015,4
