"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_mieszkania_na_10_tys_ludnosci"
"402",221000,"Powiat wałbrzyski",2003,4
"403",222000,"Powiat wołowski",2003,27
"404",223000,"Powiat wrocławski",2003,88.8
"405",224000,"Powiat ząbkowicki",2003,28.5
"406",225000,"Powiat zgorzelecki",2003,29.4
"407",226000,"Powiat złotoryjski",2003,18
"408",261000,"Powiat m.Jelenia Góra",2003,22.3
"409",262000,"Powiat m.Legnica",2003,25.8
"410",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"411",264000,"Powiat m.Wrocław",2003,61.1
"412",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"413",401000,"Powiat aleksandrowski",2003,43.6
"414",402000,"Powiat brodnicki",2003,43.6
"415",403000,"Powiat bydgoski",2003,110.5
"416",404000,"Powiat chełmiński",2003,30.2
"417",405000,"Powiat golubsko-dobrzyński",2003,24.7
"418",406000,"Powiat grudziądzki",2003,30.7
"419",407000,"Powiat inowrocławski",2003,24.7
"420",408000,"Powiat lipnowski",2003,13.9
"421",409000,"Powiat mogileński",2003,24.4
"422",410000,"Powiat nakielski",2003,23.2
"423",411000,"Powiat radziejowski",2003,13.8
"424",412000,"Powiat rypiński",2003,23.1
"425",413000,"Powiat sępoleński",2003,19.3
"426",414000,"Powiat świecki",2003,39.5
"427",415000,"Powiat toruński",2003,67.5
"428",416000,"Powiat tucholski",2003,38
"429",417000,"Powiat wąbrzeski",2003,19.2
"430",418000,"Powiat włocławski",2003,23.3
"431",419000,"Powiat żniński",2003,13
"432",461000,"Powiat m.Bydgoszcz",2003,29.2
"433",462000,"Powiat m.Grudziądz",2003,7.1
"434",463000,"Powiat m.Toruń",2003,43.7
"435",464000,"Powiat m.Włocławek",2003,17.8
"436",601000,"Powiat bialski",2003,19.8
"437",602000,"Powiat biłgorajski",2003,53.3
"438",603000,"Powiat chełmski",2003,12.2
"439",604000,"Powiat hrubieszowski",2003,17.2
"440",605000,"Powiat janowski",2003,14.7
"441",606000,"Powiat krasnostawski",2003,4.4
"442",607000,"Powiat kraśnicki",2003,11.2
"443",608000,"Powiat lubartowski",2003,26.7
"444",609000,"Powiat lubelski",2003,34.1
"445",610000,"Powiat łęczyński",2003,14
"446",611000,"Powiat łukowski",2003,24.7
"447",612000,"Powiat opolski",2003,7.4
"448",613000,"Powiat parczewski",2003,22
"449",614000,"Powiat puławski",2003,26.5
"450",615000,"Powiat radzyński",2003,20
"451",616000,"Powiat rycki",2003,18.5
"452",617000,"Powiat świdnicki",2003,35.3
"453",618000,"Powiat tomaszowski",2003,7.4
"454",619000,"Powiat włodawski",2003,52.6
"455",620000,"Powiat zamojski",2003,29.7
"456",661000,"Powiat m.Biała Podlaska",2003,45.1
"457",662000,"Powiat m.Chełm",2003,33.1
"458",663000,"Powiat m.Lublin",2003,40.6
"459",664000,"Powiat m.Zamość",2003,36
"460",801000,"Powiat gorzowski",2003,84.3
"461",802000,"Powiat krośnieński",2003,20.2
"462",803000,"Powiat międzyrzecki",2003,22.7
"463",804000,"Powiat nowosolski",2003,22.8
"464",805000,"Powiat słubicki",2003,19.6
"465",806000,"Powiat strzelecko-drezdenecki",2003,21.2
"466",807000,"Powiat sulęciński",2003,17.2
"467",808000,"Powiat świebodziński",2003,30.1
"468",809000,"Powiat zielonogórski",2003,55.6
"469",810000,"Powiat żagański",2003,26.3
"470",811000,"Powiat żarski",2003,16.7
"471",812000,"Powiat wschowski",2003,23.5
"472",861000,"Powiat m.Gorzów Wielkopolski",2003,46.7
"473",862000,"Powiat m.Zielona Góra",2003,74.1
"474",1001000,"Powiat bełchatowski",2003,70.3
"475",1002000,"Powiat kutnowski",2003,16.4
"476",1003000,"Powiat łaski",2003,33
"477",1004000,"Powiat łęczycki",2003,13.2
"478",1005000,"Powiat łowicki",2003,25.4
"479",1006000,"Powiat łódzki wschodni",2003,88.8
"480",1007000,"Powiat opoczyński",2003,47.6
"481",1008000,"Powiat pabianicki",2003,30.9
"482",1009000,"Powiat pajęczański",2003,34
"483",1010000,"Powiat piotrkowski",2003,81.9
"484",1011000,"Powiat poddębicki",2003,39.5
"485",1012000,"Powiat radomszczański",2003,52.4
"486",1013000,"Powiat rawski",2003,11.2
"487",1014000,"Powiat sieradzki",2003,7.8
"488",1015000,"Powiat skierniewicki",2003,26.1
"489",1016000,"Powiat tomaszowski",2003,62.4
"490",1017000,"Powiat wieluński",2003,22.6
"491",1018000,"Powiat wieruszowski",2003,23.3
"492",1019000,"Powiat zduńskowolski",2003,29.4
"493",1020000,"Powiat zgierski",2003,48.1
"494",1021000,"Powiat brzeziński",2003,45.6
"495",1061000,"Powiat m.Łódź",2003,16.3
"496",1062000,"Powiat m.Piotrków Trybunalski",2003,35.9
"497",1063000,"Powiat m.Skierniewice",2003,40.9
"498",1201000,"Powiat bocheński",2003,167.7
"499",1202000,"Powiat brzeski",2003,98
"500",1203000,"Powiat chrzanowski",2003,38.2
"501",1204000,"Powiat dąbrowski",2003,35.4
"502",1205000,"Powiat gorlicki",2003,62.4
"503",1206000,"Powiat krakowski",2003,123.9
"504",1207000,"Powiat limanowski",2003,93
"505",1208000,"Powiat miechowski",2003,73.4
"506",1209000,"Powiat myślenicki",2003,127.5
"507",1210000,"Powiat nowosądecki",2003,55.6
"508",1211000,"Powiat nowotarski",2003,59.9
"509",1212000,"Powiat olkuski",2003,31.6
"510",1213000,"Powiat oświęcimski",2003,49.3
"511",1214000,"Powiat proszowicki",2003,27.9
"512",1215000,"Powiat suski",2003,71.5
"513",1216000,"Powiat tarnowski",2003,69.8
"514",1217000,"Powiat tatrzański",2003,32.9
"515",1218000,"Powiat wadowicki",2003,75.4
"516",1219000,"Powiat wielicki",2003,149.3
"517",1261000,"Powiat m.Kraków",2003,54.4
"518",1262000,"Powiat m.Nowy Sącz",2003,81.2
"519",1263000,"Powiat m.Tarnów",2003,41.9
"520",1401000,"Powiat białobrzeski",2003,53.4
"521",1402000,"Powiat ciechanowski",2003,29.5
"522",1403000,"Powiat garwoliński",2003,37.3
"523",1404000,"Powiat gostyniński",2003,32.5
"524",1405000,"Powiat grodziski",2003,109.2
"525",1406000,"Powiat grójecki",2003,36.4
"526",1407000,"Powiat kozienicki",2003,60.1
"527",1408000,"Powiat legionowski",2003,80.2
"528",1409000,"Powiat lipski",2003,15.9
"529",1410000,"Powiat łosicki",2003,14.4
"530",1411000,"Powiat makowski",2003,19.9
"531",1412000,"Powiat miński",2003,55.1
"532",1413000,"Powiat mławski",2003,17.5
"533",1414000,"Powiat nowodworski",2003,59.4
"534",1415000,"Powiat ostrołęcki",2003,49.2
"535",1416000,"Powiat ostrowski",2003,14.1
