"","Kod","Nazwa","rok","Wydatki_powiatow_ogolem_ogolem_zl"
"356",415000,"Powiat toruński",2000,1.37775758640691e-316
"357",416000,"Powiat tucholski",2000,1.48908529957119e-316
"358",417000,"Powiat wąbrzeski",2000,1.02173719225353e-316
"359",418000,"Powiat włocławski",2000,1.47048728527791e-316
"360",419000,"Powiat żniński",2000,1.69947781894371e-316
"361",601000,"Powiat bialski",2000,2.55131630978413e-316
"362",602000,"Powiat biłgorajski",2000,2.94548781082402e-316
"363",603000,"Powiat chełmski",2000,1.33185034057258e-316
"364",604000,"Powiat hrubieszowski",2000,1.75068643856447e-316
"365",605000,"Powiat janowski",2000,1.35927799964894e-316
"366",606000,"Powiat krasnostawski",2000,2.30895695262065e-316
"367",607000,"Powiat kraśnicki",2000,2.42942275575071e-316
"368",608000,"Powiat lubartowski",2000,1.99382503606458e-316
"369",609000,"Powiat lubelski",2000,2.46690494715933e-316
"370",610000,"Powiat łęczyński",2000,1.32673028887817e-316
"371",611000,"Powiat łukowski",2000,2.59973148224331e-316
"372",612000,"Powiat opolski",2000,1.44623720940278e-316
"373",613000,"Powiat parczewski",2000,1.10819808739698e-316
"374",614000,"Powiat puławski",2000,2.83008395726843e-316
"375",615000,"Powiat radzyński",2000,1.29094145806411e-316
"376",616000,"Powiat rycki",2000,1.57886419137241e-316
"377",617000,"Powiat świdnicki",2000,1.59589295436136e-316
"378",618000,"Powiat tomaszowski",2000,2.41856976392821e-316
"379",619000,"Powiat włodawski",2000,1.47424416044889e-316
"380",620000,"Powiat zamojski",2000,1.44567698836696e-316
"381",801000,"Powiat gorzowski",2000,1.08349450866553e-316
"382",802000,"Powiat krośnieński",2000,1.3632812653575e-316
"383",803000,"Powiat międzyrzecki",2000,1.96824883858944e-316
"384",804000,"Powiat nowosolski",2000,3.25898101044597e-316
"385",805000,"Powiat słubicki",2000,1.3805358163466e-316
"386",806000,"Powiat strzelecko-drezdenecki",2000,1.31368191635837e-316
"387",807000,"Powiat sulęciński",2000,1.02902095503735e-316
"388",808000,"Powiat świebodziński",2000,2.12105830337855e-316
"389",809000,"Powiat zielonogórski",2000,1.63696062956841e-316
"390",810000,"Powiat żagański",2000,1.94959949087557e-316
"391",811000,"Powiat żarski",2000,2.76471467513938e-316
"392",812000,"Powiat wschowski",2000,0
"393",1001000,"Powiat bełchatowski",2000,2.61498921751818e-316
"394",1002000,"Powiat kutnowski",2000,3.26324944118665e-316
"395",1003000,"Powiat łaski",2000,1.25889141961838e-316
"396",1004000,"Powiat łęczycki",2000,1.42157582387749e-316
"397",1005000,"Powiat łowicki",2000,2.03745335470089e-316
"398",1006000,"Powiat łódzki wschodni",2000,2.40569688352582e-316
"399",1007000,"Powiat opoczyński",2000,1.68906978264185e-316
"400",1008000,"Powiat pabianicki",2000,2.71009897882489e-316
"401",1009000,"Powiat pajęczański",2000,9.31968675830877e-317
"402",1010000,"Powiat piotrkowski",2000,1.36707909857052e-316
"403",1011000,"Powiat poddębicki",2000,1.42400193323139e-316
"404",1012000,"Powiat radomszczański",2000,3.14141967102811e-316
"405",1013000,"Powiat rawski",2000,1.47957369597715e-316
"406",1014000,"Powiat sieradzki",2000,3.30148710837432e-316
"407",1015000,"Powiat skierniewicki",2000,4.18751513953322e-317
"408",1016000,"Powiat tomaszowski",2000,3.13380419256968e-316
"409",1017000,"Powiat wieluński",2000,1.93960587683744e-316
"410",1018000,"Powiat wieruszowski",2000,1.03033729413756e-316
"411",1019000,"Powiat zduńskowolski",2000,1.87842834646084e-316
"412",1020000,"Powiat zgierski",2000,3.71704848985901e-316
"413",1021000,"Powiat brzeziński",2000,0
"414",1201000,"Powiat bocheński",2000,2.11585139494359e-316
"415",1202000,"Powiat brzeski",2000,1.69673382775327e-316
"416",1203000,"Powiat chrzanowski",2000,3.02063667775342e-316
"417",1204000,"Powiat dąbrowski",2000,1.32810596526245e-316
"418",1205000,"Powiat gorlicki",2000,2.89856521068093e-316
