"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_szt"
"6180",1009000,"Powiat pajęczański",2016,0
"6181",1010000,"Powiat piotrkowski",2016,3
"6182",1011000,"Powiat poddębicki",2016,6
"6183",1012000,"Powiat radomszczański",2016,15
"6184",1013000,"Powiat rawski",2016,20
"6185",1014000,"Powiat sieradzki",2016,45
"6186",1015000,"Powiat skierniewicki",2016,0
"6187",1016000,"Powiat tomaszowski",2016,37
"6188",1017000,"Powiat wieluński",2016,0
"6189",1018000,"Powiat wieruszowski",2016,30
"6190",1019000,"Powiat zduńskowolski",2016,19
"6191",1020000,"Powiat zgierski",2016,80
"6192",1021000,"Powiat brzeziński",2016,14
"6193",1061000,"Powiat m.Łódź",2016,878
"6194",1062000,"Powiat m.Piotrków Trybunalski",2016,60
"6195",1063000,"Powiat m.Skierniewice",2016,35
"6196",1201000,"Powiat bocheński",2016,16
"6197",1202000,"Powiat brzeski",2016,6
"6198",1203000,"Powiat chrzanowski",2016,66
"6199",1204000,"Powiat dąbrowski",2016,4
"6200",1205000,"Powiat gorlicki",2016,10
"6201",1206000,"Powiat krakowski",2016,86
"6202",1207000,"Powiat limanowski",2016,4
"6203",1208000,"Powiat miechowski",2016,0
"6204",1209000,"Powiat myślenicki",2016,18
"6205",1210000,"Powiat nowosądecki",2016,26
"6206",1211000,"Powiat nowotarski",2016,21
"6207",1212000,"Powiat olkuski",2016,42
"6208",1213000,"Powiat oświęcimski",2016,55
"6209",1214000,"Powiat proszowicki",2016,0
"6210",1215000,"Powiat suski",2016,0
"6211",1216000,"Powiat tarnowski",2016,0
"6212",1217000,"Powiat tatrzański",2016,17
"6213",1218000,"Powiat wadowicki",2016,33
"6214",1219000,"Powiat wielicki",2016,132
"6215",1261000,"Powiat m.Kraków",2016,1828
"6216",1262000,"Powiat m.Nowy Sącz",2016,68
"6217",1263000,"Powiat m.Tarnów",2016,78
"6218",1401000,"Powiat białobrzeski",2016,3
"6219",1402000,"Powiat ciechanowski",2016,62
"6220",1403000,"Powiat garwoliński",2016,4
