"","Kod","Nazwa","rok","SKOLARYZACJA_CTAB_wspolczynnik_skolaryzacji_netto_gimnazja_proc"
"18633",213000,"Powiat milicki",2004,96.35
"18634",214000,"Powiat oleśnicki",2004,95.69
"18635",215000,"Powiat oławski",2004,97
"18636",216000,"Powiat polkowicki",2004,93.79
"18637",217000,"Powiat strzeliński",2004,96.62
"18638",218000,"Powiat średzki",2004,91.43
"18639",219000,"Powiat świdnicki",2004,94.94
"18640",220000,"Powiat trzebnicki",2004,93.22
"18641",221000,"Powiat wałbrzyski",2004,94.19
"18642",222000,"Powiat wołowski",2004,92.86
"18643",223000,"Powiat wrocławski",2004,89.42
"18644",224000,"Powiat ząbkowicki",2004,93.06
"18645",225000,"Powiat zgorzelecki",2004,94.19
"18646",226000,"Powiat złotoryjski",2004,94.23
"18647",261000,"Powiat m.Jelenia Góra",2004,106.64
"18648",262000,"Powiat m.Legnica",2004,96.95
"18649",264000,"Powiat m.Wrocław",2004,97.71
"18650",265000,"Powiat m.Wałbrzych od 2013",2004,NA
"18651",401000,"Powiat aleksandrowski",2004,95.12
"18652",402000,"Powiat brodnicki",2004,95.06
"18653",403000,"Powiat bydgoski",2004,90.86
"18654",404000,"Powiat chełmiński",2004,94.74
"18655",405000,"Powiat golubsko-dobrzyński",2004,93.83
"18656",406000,"Powiat grudziądzki",2004,86.39
"18657",407000,"Powiat inowrocławski",2004,96.67
"18658",408000,"Powiat lipnowski",2004,97.32
"18659",409000,"Powiat mogileński",2004,94.71
"18660",410000,"Powiat nakielski",2004,96.34
"18661",411000,"Powiat radziejowski",2004,98.76
"18662",412000,"Powiat rypiński",2004,96.14
"18663",413000,"Powiat sępoleński",2004,93.46
"18664",414000,"Powiat świecki",2004,95.45
"18665",415000,"Powiat toruński",2004,85.93
"18666",416000,"Powiat tucholski",2004,96.23
"18667",417000,"Powiat wąbrzeski",2004,95.26
"18668",418000,"Powiat włocławski",2004,90.14
"18669",419000,"Powiat żniński",2004,98.31
"18670",461000,"Powiat m.Bydgoszcz",2004,97.86
"18671",462000,"Powiat m.Grudziądz",2004,99.16
"18672",463000,"Powiat m.Toruń",2004,100.92
"18673",464000,"Powiat m.Włocławek",2004,99.17
"18674",601000,"Powiat bialski",2004,93.17
"18675",602000,"Powiat biłgorajski",2004,98.22
"18676",603000,"Powiat chełmski",2004,90.68
"18677",604000,"Powiat hrubieszowski",2004,98.12
"18678",605000,"Powiat janowski",2004,98.18
"18679",606000,"Powiat krasnostawski",2004,98.92
"18680",607000,"Powiat kraśnicki",2004,96.41
"18681",608000,"Powiat lubartowski",2004,98.17
"18682",609000,"Powiat lubelski",2004,87.08
"18683",610000,"Powiat łęczyński",2004,97.4
"18684",611000,"Powiat łukowski",2004,98.72
"18685",612000,"Powiat opolski",2004,97.49
"18686",613000,"Powiat parczewski",2004,98.13
"18687",614000,"Powiat puławski",2004,98.83
"18688",615000,"Powiat radzyński",2004,97.53
"18689",616000,"Powiat rycki",2004,100.54
"18690",617000,"Powiat świdnicki",2004,95.38
"18691",618000,"Powiat tomaszowski",2004,98.21
"18692",619000,"Powiat włodawski",2004,97.51
"18693",620000,"Powiat zamojski",2004,90.45
"18694",661000,"Powiat m.Biała Podlaska",2004,107.69
"18695",662000,"Powiat m.Chełm",2004,105.47
"18696",663000,"Powiat m.Lublin",2004,99.75
"18697",664000,"Powiat m.Zamość",2004,110.1
