"","Kod","Nazwa","rok","Lozka_w_szpitalach_ogolnych_wskazniki_loZka_w_szpitalach_ogolnych"
"422",609000,"Powiat lubelski",2006,196
"423",610000,"Powiat łęczyński",2006,52
"424",611000,"Powiat łukowski",2006,521
"425",612000,"Powiat opolski",2006,362
"426",613000,"Powiat parczewski",2006,230
"427",614000,"Powiat puławski",2006,545
"428",615000,"Powiat radzyński",2006,255
"429",616000,"Powiat rycki",2006,68
"430",617000,"Powiat świdnicki",2006,235
"431",618000,"Powiat tomaszowski",2006,452
"432",619000,"Powiat włodawski",2006,265
"433",620000,"Powiat zamojski",2006,64
"434",661000,"Powiat m.Biała Podlaska",2006,588
"435",662000,"Powiat m.Chełm",2006,587
"436",663000,"Powiat m.Lublin",2006,3699
"437",664000,"Powiat m.Zamość",2006,732
"438",801000,"Powiat gorzowski",2006,161
"439",802000,"Powiat krośnieński",2006,155
"440",803000,"Powiat międzyrzecki",2006,216
"441",804000,"Powiat nowosolski",2006,407
"442",805000,"Powiat słubicki",2006,123
"443",806000,"Powiat strzelecko-drezdenecki",2006,122
"444",807000,"Powiat sulęciński",2006,363
"445",808000,"Powiat świebodziński",2006,251
"446",809000,"Powiat zielonogórski",2006,202
"447",810000,"Powiat żagański",2006,181
"448",811000,"Powiat żarski",2006,165
"449",812000,"Powiat wschowski",2006,105
"450",861000,"Powiat m.Gorzów Wielkopolski",2006,1039
"451",862000,"Powiat m.Zielona Góra",2006,743
"452",1001000,"Powiat bełchatowski",2006,846
"453",1002000,"Powiat kutnowski",2006,410
"454",1003000,"Powiat łaski",2006,317
"455",1004000,"Powiat łęczycki",2006,243
"456",1005000,"Powiat łowicki",2006,206
"457",1006000,"Powiat łódzki wschodni",2006,364
"458",1007000,"Powiat opoczyński",2006,238
"459",1008000,"Powiat pabianicki",2006,594
"460",1009000,"Powiat pajęczański",2006,68
"461",1010000,"Powiat piotrkowski",2006,0
"462",1011000,"Powiat poddębicki",2006,130
"463",1012000,"Powiat radomszczański",2006,305
"464",1013000,"Powiat rawski",2006,185
"465",1014000,"Powiat sieradzki",2006,755
"466",1016000,"Powiat tomaszowski",2006,421
"467",1017000,"Powiat wieluński",2006,333
"468",1018000,"Powiat wieruszowski",2006,77
"469",1019000,"Powiat zduńskowolski",2006,195
