"","Kod","Nazwa","rok","Ludnosc_wg_grup_wieku_i_plci_ogolem_ogolem_osoba"
"258",2403000,"Powiat cieszyński",1995,168167
"259",2404000,"Powiat częstochowski",1995,134064
"260",2405000,"Powiat gliwicki",1995,127142
"261",2406000,"Powiat kłobucki",1995,85791
"262",2407000,"Powiat lubliniecki",1995,79975
"263",2408000,"Powiat mikołowski",1995,92325
"264",2409000,"Powiat myszkowski",1995,73561
"265",2410000,"Powiat pszczyński",1995,100944
"266",2411000,"Powiat raciborski",1995,121598
"267",2412000,"Powiat rybnicki",1995,73671
"268",2413000,"Powiat tarnogórski",1995,127128
"269",2414000,"Powiat bieruńsko-lędziński",1995,58577
"270",2415000,"Powiat wodzisławski",1995,158324
"271",2416000,"Powiat zawierciański",1995,130375
"272",2417000,"Powiat żywiecki",1995,149159
"273",2461000,"Powiat m.Bielsko-Biała",1995,180397
"274",2462000,"Powiat m.Bytom",1995,226810
"275",2463000,"Powiat m.Chorzów",1995,125226
"276",2464000,"Powiat m.Częstochowa",1995,259135
"277",2465000,"Powiat m.Dąbrowa Górnicza",1995,130448
"278",2466000,"Powiat m.Gliwice",1995,213392
"279",2467000,"Powiat m.Jastrzębie-Zdrój",1995,103309
"280",2468000,"Powiat m.Jaworzno",1995,98210
"281",2469000,"Powiat m.Katowice",1995,351521
"282",2470000,"Powiat m.Mysłowice",1995,79766
"283",2471000,"Powiat m.Piekary Śląskie",1995,66984
"284",2472000,"Powiat m.Ruda Śląska",1995,165873
"285",2473000,"Powiat m.Rybnik",1995,144578
"286",2474000,"Powiat m.Siemianowice Śląskie",1995,78101
"287",2475000,"Powiat m.Sosnowiec",1995,247499
"288",2476000,"Powiat m.Świętochłowice",1995,59600
"289",2477000,"Powiat m.Tychy",1995,133760
"290",2478000,"Powiat m.Zabrze",1995,201302
"291",2479000,"Powiat m.Żory",1995,66219
"292",2601000,"Powiat buski",1995,78015
"293",2602000,"Powiat jędrzejowski",1995,94856
"294",2603000,"Powiat kazimierski",1995,39154
"295",2604000,"Powiat kielecki",1995,191421
"296",2605000,"Powiat konecki",1995,89080
"297",2606000,"Powiat opatowski",1995,61259
"298",2607000,"Powiat ostrowiecki",1995,122672
"299",2608000,"Powiat pińczowski",1995,44983
"300",2609000,"Powiat sandomierski",1995,86585
"301",2610000,"Powiat skarżyski",1995,82699
"302",2611000,"Powiat starachowicki",1995,100165
"303",2612000,"Powiat staszowski",1995,77800
"304",2613000,"Powiat włoszczowski",1995,49015
"305",2661000,"Powiat m.Kielce",1995,213777
"306",2801000,"Powiat bartoszycki",1995,65018
"307",2802000,"Powiat braniewski",1995,45804
"308",2803000,"Powiat działdowski",1995,66851
"309",2804000,"Powiat elbląski",1995,57628
"310",2805000,"Powiat ełcki",1995,84155
"311",2806000,"Powiat giżycki",1995,88742
"312",2807000,"Powiat iławski",1995,89588
"313",2808000,"Powiat kętrzyński",1995,72266
"314",2809000,"Powiat lidzbarski",1995,46058
"315",2810000,"Powiat mrągowski",1995,51365
"316",2811000,"Powiat nidzicki",1995,35228
"317",2812000,"Powiat nowomiejski",1995,43149
"318",2813000,"Powiat olecki",1995,59171
"319",2814000,"Powiat olsztyński",1995,111953
"320",2815000,"Powiat ostródzki",1995,108454
"321",2816000,"Powiat piski",1995,59554
"322",2817000,"Powiat szczycieński",1995,70936
"323",2818000,"Powiat gołdapski",1995,NA
"324",2819000,"Powiat węgorzewski",1995,NA
"325",2861000,"Powiat m.Elbląg",1995,128605
"326",2862000,"Powiat m.Olsztyn",1995,167898
"327",3001000,"Powiat chodzieski",1995,46744
"328",3002000,"Powiat czarnkowsko-trzcianecki",1995,87134
"329",3003000,"Powiat gnieźnieński",1995,140413
"330",3004000,"Powiat gostyński",1995,76086
"331",3005000,"Powiat grodziski",1995,48164
"332",3006000,"Powiat jarociński",1995,70463
"333",3007000,"Powiat kaliski",1995,80718
"334",3008000,"Powiat kępiński",1995,54854
"335",3009000,"Powiat kolski",1995,92233
"336",3010000,"Powiat koniński",1995,118332
"337",3011000,"Powiat kościański",1995,77726
"338",3012000,"Powiat krotoszyński",1995,77463
"339",3013000,"Powiat leszczyński",1995,47224
"340",3014000,"Powiat międzychodzki",1995,36395
"341",3015000,"Powiat nowotomyski",1995,70618
"342",3016000,"Powiat obornicki",1995,54341
"343",3017000,"Powiat ostrowski",1995,160195
"344",3018000,"Powiat ostrzeszowski",1995,54410
"345",3019000,"Powiat pilski",1995,137150
"346",3020000,"Powiat pleszewski",1995,62234
"347",3021000,"Powiat poznański",1995,240708
"348",3022000,"Powiat rawicki",1995,59238
"349",3023000,"Powiat słupecki",1995,59793
"350",3024000,"Powiat szamotulski",1995,84853
"351",3025000,"Powiat średzki",1995,54278
"352",3026000,"Powiat śremski",1995,57405
"353",3027000,"Powiat turecki",1995,85061
"354",3028000,"Powiat wągrowiecki",1995,67519
"355",3029000,"Powiat wolsztyński",1995,54204
"356",3030000,"Powiat wrzesiński",1995,73641
"357",3031000,"Powiat złotowski",1995,70009
"358",3061000,"Powiat m.Kalisz",1995,106706
"359",3062000,"Powiat m.Konin",1995,83008
"360",3063000,"Powiat m.Leszno",1995,61450
"361",3064000,"Powiat m.Poznań",1995,581171
"362",3201000,"Powiat białogardzki",1995,50005
"363",3202000,"Powiat choszczeński",1995,51315
"364",3203000,"Powiat drawski",1995,60779
"365",3204000,"Powiat goleniowski",1995,81093
"366",3205000,"Powiat gryficki",1995,75155
"367",3206000,"Powiat gryfiński",1995,83489
"368",3207000,"Powiat kamieński",1995,50032
"369",3208000,"Powiat kołobrzeski",1995,76179
"370",3209000,"Powiat koszaliński",1995,62205
"371",3210000,"Powiat myśliborski",1995,70227
"372",3211000,"Powiat policki",1995,54473
"373",3212000,"Powiat pyrzycki",1995,41231
"374",3213000,"Powiat sławieński",1995,59672
"375",3214000,"Powiat stargardzki",1995,143535
"376",3215000,"Powiat szczecinecki",1995,79841
"377",3216000,"Powiat świdwiński",1995,51858
"378",3217000,"Powiat wałecki",1995,56696
"379",3218000,"Powiat łobeski",1995,NA
"380",3261000,"Powiat m.Koszalin",1995,111480
"381",3262000,"Powiat m.Szczecin",1995,418156
"382",3263000,"Powiat m.Świnoujście",1995,43361
"383",201000,"Powiat bolesławiecki",1996,89411
"384",202000,"Powiat dzierżoniowski",1996,113323
"385",203000,"Powiat głogowski",1996,91590
