"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_60_do_80_m2_zl"
"24955",2402000,"Powiat bielski",2015,3048
"24956",2403000,"Powiat cieszyński",2015,2632
"24957",2404000,"Powiat częstochowski",2015,1736
"24958",2405000,"Powiat gliwicki",2015,2432
"24959",2406000,"Powiat kłobucki",2015,3407
"24960",2407000,"Powiat lubliniecki",2015,2738
"24961",2408000,"Powiat mikołowski",2015,2439
"24962",2409000,"Powiat myszkowski",2015,1866
"24963",2410000,"Powiat pszczyński",2015,2360
"24964",2411000,"Powiat raciborski",2015,2041
"24965",2412000,"Powiat rybnicki",2015,1787
"24966",2413000,"Powiat tarnogórski",2015,2616
"24967",2414000,"Powiat bieruńsko-lędziński",2015,2778
"24968",2415000,"Powiat wodzisławski",2015,1820
"24969",2416000,"Powiat zawierciański",2015,0
"24970",2417000,"Powiat żywiecki",2015,1860
"24971",2461000,"Powiat m.Bielsko-Biała",2015,2945
"24972",2462000,"Powiat m.Bytom",2015,1914
"24973",2463000,"Powiat m.Chorzów",2015,2632
"24974",2464000,"Powiat m.Częstochowa",2015,2817
"24975",2465000,"Powiat m.Dąbrowa Górnicza",2015,2442
"24976",2466000,"Powiat m.Gliwice",2015,3043
"24977",2467000,"Powiat m.Jastrzębie-Zdrój",2015,1790
"24978",2468000,"Powiat m.Jaworzno",2015,2867
"24979",2469000,"Powiat m.Katowice",2015,3179
"24980",2470000,"Powiat m.Mysłowice",2015,2554
"24981",2471000,"Powiat m.Piekary Śląskie",2015,2377
"24982",2472000,"Powiat m.Ruda Śląska",2015,2153
"24983",2473000,"Powiat m.Rybnik",2015,2414
"24984",2474000,"Powiat m.Siemianowice Śląskie",2015,2606
"24985",2475000,"Powiat m.Sosnowiec",2015,2571
"24986",2476000,"Powiat m.Świętochłowice",2015,2453
"24987",2477000,"Powiat m.Tychy",2015,3424
"24988",2478000,"Powiat m.Zabrze",2015,2386
"24989",2479000,"Powiat m.Żory",2015,2259
"24990",2601000,"Powiat buski",2015,2747
"24991",2602000,"Powiat jędrzejowski",2015,2568
"24992",2603000,"Powiat kazimierski",2015,0
"24993",2604000,"Powiat kielecki",2015,0
"24994",2605000,"Powiat konecki",2015,0
"24995",2606000,"Powiat opatowski",2015,0
"24996",2607000,"Powiat ostrowiecki",2015,2221
"24997",2608000,"Powiat pińczowski",2015,1240
"24998",2609000,"Powiat sandomierski",2015,2170
"24999",2610000,"Powiat skarżyski",2015,2567
"25000",2611000,"Powiat starachowicki",2015,2315
"25001",2612000,"Powiat staszowski",2015,2394
"25002",2613000,"Powiat włoszczowski",2015,0
"25003",2661000,"Powiat m.Kielce",2015,3830
"25004",2801000,"Powiat bartoszycki",2015,1773
"25005",2802000,"Powiat braniewski",2015,2260
"25006",2803000,"Powiat działdowski",2015,2566
"25007",2804000,"Powiat elbląski",2015,2500
"25008",2805000,"Powiat ełcki",2015,2320
"25009",2806000,"Powiat giżycki",2015,2641
"25010",2807000,"Powiat iławski",2015,2456
"25011",2808000,"Powiat kętrzyński",2015,1888
"25012",2809000,"Powiat lidzbarski",2015,2119
"25013",2810000,"Powiat mrągowski",2015,2750
"25014",2811000,"Powiat nidzicki",2015,2312
"25015",2812000,"Powiat nowomiejski",2015,2280
"25016",2813000,"Powiat olecki",2015,2558
"25017",2814000,"Powiat olsztyński",2015,2351
"25018",2815000,"Powiat ostródzki",2015,2658
"25019",2816000,"Powiat piski",2015,1486
"25020",2817000,"Powiat szczycieński",2015,2181
"25021",2818000,"Powiat gołdapski",2015,1832
"25022",2819000,"Powiat węgorzewski",2015,2250
"25023",2861000,"Powiat m.Elbląg",2015,2822
"25024",2862000,"Powiat m.Olsztyn",2015,3910
"25025",3001000,"Powiat chodzieski",2015,2058
"25026",3002000,"Powiat czarnkowsko-trzcianecki",2015,1950
"25027",3003000,"Powiat gnieźnieński",2015,2112
"25028",3004000,"Powiat gostyński",2015,2484
"25029",3005000,"Powiat grodziski",2015,2365
"25030",3006000,"Powiat jarociński",2015,2793
"25031",3007000,"Powiat kaliski",2015,1389
"25032",3008000,"Powiat kępiński",2015,3170
"25033",3009000,"Powiat kolski",2015,1729
"25034",3010000,"Powiat koniński",2015,2363
"25035",3011000,"Powiat kościański",2015,1799
"25036",3012000,"Powiat krotoszyński",2015,2276
"25037",3013000,"Powiat leszczyński",2015,2136
"25038",3014000,"Powiat międzychodzki",2015,2314
"25039",3015000,"Powiat nowotomyski",2015,2362
"25040",3016000,"Powiat obornicki",2015,2634
"25041",3017000,"Powiat ostrowski",2015,2431
"25042",3018000,"Powiat ostrzeszowski",2015,1605
"25043",3019000,"Powiat pilski",2015,2458
"25044",3020000,"Powiat pleszewski",2015,3523
"25045",3021000,"Powiat poznański",2015,3931
"25046",3022000,"Powiat rawicki",2015,2442
"25047",3023000,"Powiat słupecki",2015,1821
"25048",3024000,"Powiat szamotulski",2015,1622
"25049",3025000,"Powiat średzki",2015,2824
"25050",3026000,"Powiat śremski",2015,2399
"25051",3027000,"Powiat turecki",2015,2338
"25052",3028000,"Powiat wągrowiecki",2015,2382
"25053",3029000,"Powiat wolsztyński",2015,2679
"25054",3030000,"Powiat wrzesiński",2015,3421
"25055",3031000,"Powiat złotowski",2015,2211
"25056",3061000,"Powiat m.Kalisz",2015,2613
"25057",3062000,"Powiat m.Konin",2015,2941
"25058",3063000,"Powiat m.Leszno",2015,3119
"25059",3064000,"Powiat m.Poznań",2015,4622
"25060",3201000,"Powiat białogardzki",2015,1619
"25061",3202000,"Powiat choszczeński",2015,2214
"25062",3203000,"Powiat drawski",2015,1936
"25063",3204000,"Powiat goleniowski",2015,3146
"25064",3205000,"Powiat gryficki",2015,1910
"25065",3206000,"Powiat gryfiński",2015,2499
"25066",3207000,"Powiat kamieński",2015,2476
"25067",3208000,"Powiat kołobrzeski",2015,3585
"25068",3209000,"Powiat koszaliński",2015,2166
"25069",3210000,"Powiat myśliborski",2015,2247
"25070",3211000,"Powiat policki",2015,3546
"25071",3212000,"Powiat pyrzycki",2015,1902
"25072",3213000,"Powiat sławieński",2015,2083
"25073",3214000,"Powiat stargardzki",2015,2844
"25074",3215000,"Powiat szczecinecki",2015,2256
"25075",3216000,"Powiat świdwiński",2015,1664
"25076",3217000,"Powiat wałecki",2015,1883
"25077",3218000,"Powiat łobeski",2015,1608
"25078",3261000,"Powiat m.Koszalin",2015,3128
"25079",3262000,"Powiat m.Szczecin",2015,3794
"25080",3263000,"Powiat m.Świnoujście",2015,3986
"25081",201000,"Powiat bolesławiecki",2016,2790
"25082",202000,"Powiat dzierżoniowski",2016,1873
"25083",203000,"Powiat głogowski",2016,3028
"25084",204000,"Powiat górowski",2016,0
"25085",205000,"Powiat jaworski",2016,1841
"25086",206000,"Powiat jeleniogórski",2016,2339
"25087",207000,"Powiat kamiennogórski",2016,1338
"25088",208000,"Powiat kłodzki",2016,1706
"25089",209000,"Powiat legnicki",2016,2340
"25090",210000,"Powiat lubański",2016,2326
"25091",211000,"Powiat lubiński",2016,2895
"25092",212000,"Powiat lwówecki",2016,1325
"25093",213000,"Powiat milicki",2016,1749
"25094",214000,"Powiat oleśnicki",2016,2892
"25095",215000,"Powiat oławski",2016,3097
"25096",216000,"Powiat polkowicki",2016,2420
"25097",217000,"Powiat strzeliński",2016,3056
"25098",218000,"Powiat średzki",2016,3957
"25099",219000,"Powiat świdnicki",2016,2508
"25100",220000,"Powiat trzebnicki",2016,3600
"25101",221000,"Powiat wałbrzyski",2016,1391
"25102",222000,"Powiat wołowski",2016,2433
"25103",223000,"Powiat wrocławski",2016,4145
"25104",224000,"Powiat ząbkowicki",2016,2167
"25105",225000,"Powiat zgorzelecki",2016,2474
"25106",226000,"Powiat złotoryjski",2016,1794
"25107",261000,"Powiat m.Jelenia Góra",2016,2412
"25108",262000,"Powiat m.Legnica",2016,2517
"25109",264000,"Powiat m.Wrocław",2016,4717
"25110",265000,"Powiat m.Wałbrzych od 2013",2016,1711
"25111",401000,"Powiat aleksandrowski",2016,2147
"25112",402000,"Powiat brodnicki",2016,2099
"25113",403000,"Powiat bydgoski",2016,2929
"25114",404000,"Powiat chełmiński",2016,1873
"25115",405000,"Powiat golubsko-dobrzyński",2016,1431
"25116",406000,"Powiat grudziądzki",2016,1878
"25117",407000,"Powiat inowrocławski",2016,2496
"25118",408000,"Powiat lipnowski",2016,2128
"25119",409000,"Powiat mogileński",2016,2110
"25120",410000,"Powiat nakielski",2016,2503
"25121",411000,"Powiat radziejowski",2016,1511
"25122",412000,"Powiat rypiński",2016,1758
"25123",413000,"Powiat sępoleński",2016,1829
"25124",414000,"Powiat świecki",2016,3199
"25125",415000,"Powiat toruński",2016,2356
"25126",416000,"Powiat tucholski",2016,2298
"25127",417000,"Powiat wąbrzeski",2016,1245
"25128",418000,"Powiat włocławski",2016,1130
"25129",419000,"Powiat żniński",2016,1676
"25130",461000,"Powiat m.Bydgoszcz",2016,3478
"25131",462000,"Powiat m.Grudziądz",2016,2378
"25132",463000,"Powiat m.Toruń",2016,3750
"25133",464000,"Powiat m.Włocławek",2016,2632
"25134",601000,"Powiat bialski",2016,0
"25135",602000,"Powiat biłgorajski",2016,2858
"25136",603000,"Powiat chełmski",2016,1614
"25137",604000,"Powiat hrubieszowski",2016,2233
"25138",605000,"Powiat janowski",2016,2408
"25139",606000,"Powiat krasnostawski",2016,2782
"25140",607000,"Powiat kraśnicki",2016,2472
"25141",608000,"Powiat lubartowski",2016,3219
"25142",609000,"Powiat lubelski",2016,3546
"25143",610000,"Powiat łęczyński",2016,3317
"25144",611000,"Powiat łukowski",2016,3218
"25145",612000,"Powiat opolski",2016,2224
"25146",613000,"Powiat parczewski",2016,2479
"25147",614000,"Powiat puławski",2016,3213
"25148",615000,"Powiat radzyński",2016,2848
"25149",616000,"Powiat rycki",2016,2307
"25150",617000,"Powiat świdnicki",2016,3982
"25151",618000,"Powiat tomaszowski",2016,1384
"25152",619000,"Powiat włodawski",2016,2000
"25153",620000,"Powiat zamojski",2016,1794
"25154",661000,"Powiat m.Biała Podlaska",2016,2808
"25155",662000,"Powiat m.Chełm",2016,2533
"25156",663000,"Powiat m.Lublin",2016,4711
"25157",664000,"Powiat m.Zamość",2016,2688
"25158",801000,"Powiat gorzowski",2016,2355
"25159",802000,"Powiat krośnieński",2016,2024
"25160",803000,"Powiat międzyrzecki",2016,2130
"25161",804000,"Powiat nowosolski",2016,2295
"25162",805000,"Powiat słubicki",2016,2331
"25163",806000,"Powiat strzelecko-drezdenecki",2016,2283
"25164",807000,"Powiat sulęciński",2016,2335
"25165",808000,"Powiat świebodziński",2016,2140
"25166",809000,"Powiat zielonogórski",2016,2321
"25167",810000,"Powiat żagański",2016,2019
"25168",811000,"Powiat żarski",2016,2023
"25169",812000,"Powiat wschowski",2016,2210
"25170",861000,"Powiat m.Gorzów Wielkopolski",2016,2556
"25171",862000,"Powiat m.Zielona Góra",2016,3565
"25172",1001000,"Powiat bełchatowski",2016,2453
"25173",1002000,"Powiat kutnowski",2016,2871
"25174",1003000,"Powiat łaski",2016,2018
"25175",1004000,"Powiat łęczycki",2016,2466
"25176",1005000,"Powiat łowicki",2016,2934
"25177",1006000,"Powiat łódzki wschodni",2016,0
"25178",1007000,"Powiat opoczyński",2016,2643
"25179",1008000,"Powiat pabianicki",2016,2714
"25180",1009000,"Powiat pajęczański",2016,0
"25181",1010000,"Powiat piotrkowski",2016,1784
"25182",1011000,"Powiat poddębicki",2016,1809
"25183",1012000,"Powiat radomszczański",2016,2562
"25184",1013000,"Powiat rawski",2016,2766
"25185",1014000,"Powiat sieradzki",2016,2408
"25186",1015000,"Powiat skierniewicki",2016,0
"25187",1016000,"Powiat tomaszowski",2016,2863
"25188",1017000,"Powiat wieluński",2016,0
"25189",1018000,"Powiat wieruszowski",2016,2818
"25190",1019000,"Powiat zduńskowolski",2016,2457
"25191",1020000,"Powiat zgierski",2016,2819
"25192",1021000,"Powiat brzeziński",2016,3054
"25193",1061000,"Powiat m.Łódź",2016,3738
"25194",1062000,"Powiat m.Piotrków Trybunalski",2016,2811
"25195",1063000,"Powiat m.Skierniewice",2016,3543
"25196",1201000,"Powiat bocheński",2016,3268
"25197",1202000,"Powiat brzeski",2016,3111
"25198",1203000,"Powiat chrzanowski",2016,2745
"25199",1204000,"Powiat dąbrowski",2016,2565
"25200",1205000,"Powiat gorlicki",2016,2143
"25201",1206000,"Powiat krakowski",2016,4338
"25202",1207000,"Powiat limanowski",2016,2461
"25203",1208000,"Powiat miechowski",2016,0
"25204",1209000,"Powiat myślenicki",2016,3390
"25205",1210000,"Powiat nowosądecki",2016,2578
"25206",1211000,"Powiat nowotarski",2016,3915
"25207",1212000,"Powiat olkuski",2016,2651
"25208",1213000,"Powiat oświęcimski",2016,2555
"25209",1214000,"Powiat proszowicki",2016,0
"25210",1215000,"Powiat suski",2016,0
"25211",1216000,"Powiat tarnowski",2016,0
"25212",1217000,"Powiat tatrzański",2016,6442
"25213",1218000,"Powiat wadowicki",2016,2641
"25214",1219000,"Powiat wielicki",2016,4263
"25215",1261000,"Powiat m.Kraków",2016,5824
"25216",1262000,"Powiat m.Nowy Sącz",2016,2928
"25217",1263000,"Powiat m.Tarnów",2016,2832
"25218",1401000,"Powiat białobrzeski",2016,2619
"25219",1402000,"Powiat ciechanowski",2016,2759
"25220",1403000,"Powiat garwoliński",2016,902
"25221",1404000,"Powiat gostyniński",2016,1959
"25222",1405000,"Powiat grodziski",2016,4693
"25223",1406000,"Powiat grójecki",2016,3694
"25224",1407000,"Powiat kozienicki",2016,2788
"25225",1408000,"Powiat legionowski",2016,4482
"25226",1409000,"Powiat lipski",2016,0
"25227",1410000,"Powiat łosicki",2016,2854
"25228",1411000,"Powiat makowski",2016,0
"25229",1412000,"Powiat miński",2016,3767
"25230",1413000,"Powiat mławski",2016,2623
"25231",1414000,"Powiat nowodworski",2016,3262
"25232",1415000,"Powiat ostrołęcki",2016,0
"25233",1416000,"Powiat ostrowski",2016,2541
"25234",1417000,"Powiat otwocki",2016,5328
"25235",1418000,"Powiat piaseczyński",2016,5223
"25236",1419000,"Powiat płocki",2016,2927
"25237",1420000,"Powiat płoński",2016,2492
"25238",1421000,"Powiat pruszkowski",2016,4932
"25239",1422000,"Powiat przasnyski",2016,2739
"25240",1423000,"Powiat przysuski",2016,1692
"25241",1424000,"Powiat pułtuski",2016,2555
"25242",1425000,"Powiat radomski",2016,1960
"25243",1426000,"Powiat siedlecki",2016,0
"25244",1427000,"Powiat sierpecki",2016,2491
"25245",1428000,"Powiat sochaczewski",2016,2952
"25246",1429000,"Powiat sokołowski",2016,3241
