"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_80_m2_szt"
"26973",3214000,"Powiat stargardzki",2015,39
"26974",3215000,"Powiat szczecinecki",2015,19
"26975",3216000,"Powiat świdwiński",2015,8
"26976",3217000,"Powiat wałecki",2015,13
"26977",3218000,"Powiat łobeski",2015,10
"26978",3261000,"Powiat m.Koszalin",2015,16
"26979",3262000,"Powiat m.Szczecin",2015,193
"26980",3263000,"Powiat m.Świnoujście",2015,12
"26981",201000,"Powiat bolesławiecki",2016,34
"26982",202000,"Powiat dzierżoniowski",2016,17
"26983",203000,"Powiat głogowski",2016,26
"26984",204000,"Powiat górowski",2016,0
"26985",205000,"Powiat jaworski",2016,21
"26986",206000,"Powiat jeleniogórski",2016,15
"26987",207000,"Powiat kamiennogórski",2016,12
"26988",208000,"Powiat kłodzki",2016,27
"26989",209000,"Powiat legnicki",2016,5
"26990",210000,"Powiat lubański",2016,10
"26991",211000,"Powiat lubiński",2016,29
"26992",212000,"Powiat lwówecki",2016,8
"26993",213000,"Powiat milicki",2016,5
"26994",214000,"Powiat oleśnicki",2016,22
"26995",215000,"Powiat oławski",2016,12
"26996",216000,"Powiat polkowicki",2016,4
"26997",217000,"Powiat strzeliński",2016,7
"26998",218000,"Powiat średzki",2016,0
"26999",219000,"Powiat świdnicki",2016,81
"27000",220000,"Powiat trzebnicki",2016,16
"27001",221000,"Powiat wałbrzyski",2016,17
"27002",222000,"Powiat wołowski",2016,10
"27003",223000,"Powiat wrocławski",2016,53
"27004",224000,"Powiat ząbkowicki",2016,13
"27005",225000,"Powiat zgorzelecki",2016,9
"27006",226000,"Powiat złotoryjski",2016,14
"27007",261000,"Powiat m.Jelenia Góra",2016,90
"27008",262000,"Powiat m.Legnica",2016,71
"27009",264000,"Powiat m.Wrocław",2016,592
"27010",265000,"Powiat m.Wałbrzych od 2013",2016,33
"27011",401000,"Powiat aleksandrowski",2016,5
"27012",402000,"Powiat brodnicki",2016,0
"27013",403000,"Powiat bydgoski",2016,10
"27014",404000,"Powiat chełmiński",2016,6
"27015",405000,"Powiat golubsko-dobrzyński",2016,0
"27016",406000,"Powiat grudziądzki",2016,0
"27017",407000,"Powiat inowrocławski",2016,11
"27018",408000,"Powiat lipnowski",2016,0
"27019",409000,"Powiat mogileński",2016,0
"27020",410000,"Powiat nakielski",2016,7
"27021",411000,"Powiat radziejowski",2016,0
"27022",412000,"Powiat rypiński",2016,6
"27023",413000,"Powiat sępoleński",2016,3
"27024",414000,"Powiat świecki",2016,3
"27025",415000,"Powiat toruński",2016,9
"27026",416000,"Powiat tucholski",2016,0
"27027",417000,"Powiat wąbrzeski",2016,3
"27028",418000,"Powiat włocławski",2016,0
"27029",419000,"Powiat żniński",2016,7
"27030",461000,"Powiat m.Bydgoszcz",2016,146
"27031",462000,"Powiat m.Grudziądz",2016,19
"27032",463000,"Powiat m.Toruń",2016,56
"27033",464000,"Powiat m.Włocławek",2016,12
"27034",601000,"Powiat bialski",2016,0
"27035",602000,"Powiat biłgorajski",2016,5
"27036",603000,"Powiat chełmski",2016,0
"27037",604000,"Powiat hrubieszowski",2016,0
"27038",605000,"Powiat janowski",2016,0
