"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_produkcyjnym_proc"
"7275",405000,"Powiat golubsko-dobrzyński",2003,60
"7276",406000,"Powiat grudziądzki",2003,60.9
"7277",407000,"Powiat inowrocławski",2003,63.8
"7278",408000,"Powiat lipnowski",2003,59.5
"7279",409000,"Powiat mogileński",2003,62
"7280",410000,"Powiat nakielski",2003,62.5
"7281",411000,"Powiat radziejowski",2003,59.7
"7282",412000,"Powiat rypiński",2003,59.8
"7283",413000,"Powiat sępoleński",2003,60.9
"7284",414000,"Powiat świecki",2003,63
"7285",415000,"Powiat toruński",2003,61.9
"7286",416000,"Powiat tucholski",2003,60.8
"7287",417000,"Powiat wąbrzeski",2003,60.9
"7288",418000,"Powiat włocławski",2003,60.2
"7289",419000,"Powiat żniński",2003,62.8
"7290",461000,"Powiat m.Bydgoszcz",2003,65
"7291",462000,"Powiat m.Grudziądz",2003,63.8
"7292",463000,"Powiat m.Toruń",2003,67
"7293",464000,"Powiat m.Włocławek",2003,66
"7294",601000,"Powiat bialski",2003,56.1
"7295",602000,"Powiat biłgorajski",2003,59
"7296",603000,"Powiat chełmski",2003,57.9
"7297",604000,"Powiat hrubieszowski",2003,58.8
"7298",605000,"Powiat janowski",2003,57.6
"7299",606000,"Powiat krasnostawski",2003,58
"7300",607000,"Powiat kraśnicki",2003,59.5
"7301",608000,"Powiat lubartowski",2003,59.7
"7302",609000,"Powiat lubelski",2003,59.3
"7303",610000,"Powiat łęczyński",2003,62.1
"7304",611000,"Powiat łukowski",2003,57.6
"7305",612000,"Powiat opolski",2003,59.4
"7306",613000,"Powiat parczewski",2003,58
"7307",614000,"Powiat puławski",2003,61.1
"7308",615000,"Powiat radzyński",2003,57.8
"7309",616000,"Powiat rycki",2003,60.1
"7310",617000,"Powiat świdnicki",2003,63.2
"7311",618000,"Powiat tomaszowski",2003,58.5
"7312",619000,"Powiat włodawski",2003,59.9
"7313",620000,"Powiat zamojski",2003,56.3
"7314",661000,"Powiat m.Biała Podlaska",2003,65.2
"7315",662000,"Powiat m.Chełm",2003,65.6
"7316",663000,"Powiat m.Lublin",2003,66.9
"7317",664000,"Powiat m.Zamość",2003,65
"7318",801000,"Powiat gorzowski",2003,63
"7319",802000,"Powiat krośnieński",2003,64.1
"7320",803000,"Powiat międzyrzecki",2003,63.8
"7321",804000,"Powiat nowosolski",2003,63.3
"7322",805000,"Powiat słubicki",2003,64.4
"7323",806000,"Powiat strzelecko-drezdenecki",2003,62.7
"7324",807000,"Powiat sulęciński",2003,61.6
"7325",808000,"Powiat świebodziński",2003,62.5
"7326",809000,"Powiat zielonogórski",2003,64
"7327",810000,"Powiat żagański",2003,62.8
"7328",811000,"Powiat żarski",2003,63.1
"7329",812000,"Powiat wschowski",2003,62.1
"7330",861000,"Powiat m.Gorzów Wielkopolski",2003,66.9
"7331",862000,"Powiat m.Zielona Góra",2003,67.1
"7332",1001000,"Powiat bełchatowski",2003,64.9
"7333",1002000,"Powiat kutnowski",2003,62.8
"7334",1003000,"Powiat łaski",2003,61.6
"7335",1004000,"Powiat łęczycki",2003,59.8
"7336",1005000,"Powiat łowicki",2003,60.6
